scan day,onset_img,age,key_t,offset_word,delay_frames_after,rt,img_trigger,offset_img,delay_frames_before,word,duration_frames,gender,word_score_pc,ID,pause_trigger,session,word_trigger,pause_trigger_t,response,word_score_warriner,onset_word,duration_measured_img,correct_resp,word_label,condition,no,duration_measured_word,img
Monday,8.797675959001936,22,9.335275196004659,2.1810641780029982,180,0.5375992370027234,21,9.499525596002059,336,chipmunk,42,female,-1.071197614358652,01,31,6,11,3.500879965002241,b,7.33,1.3502895130004617,0.701849637000123,1,pos,faceWord_exp,1,0.8307746650025365,image_stim_p.png
Monday,18.869505376002053,22,19.563145722000627,13.209426597000856,180,0.693640345998574,21,19.576531850005267,336,sun,42,female,-1.2017878999114775,01,31,6,11,14.21281128800183,b,6.92,12.515678484000091,0.7070264740032144,1,pos,faceWord_exp,2,0.6937481130007654,image_stim_p.png
Monday,28.951412205999077,22,29.523804272001144,23.286397148003743,180,0.5723920660020667,22,29.653408883001248,336,mayor,42,female,0.3271241198863318,01,32,6,12,24.289861185003247,y,4.59,22.593385328000295,0.701996677002171,1,neg,faceWord_exp,3,0.6930118200034485,image_stim_n.png
Monday,39.02947469300125,22,39.616897879001044,33.36320395300572,180,0.5874231859997963,21,39.730413113000395,336,church,42,female,0.4070035035588155,01,41,6,13,34.36671020400536,b,5.21,32.672040671001014,0.7009384199991473,1,neu,faceWord_exp,4,0.6911632820047089,image_stim_p.png
Monday,46.48643517400342,22,47.037990308999724,43.440243237004324,336,0.5515551349963062,21,47.18346760600252,180,handshake,42,female,-1.283661754694624,01,31,6,11,44.44362023100257,b,6.21,42.7466182720018,0.697032431999105,1,pos,faceWord_exp,5,0.6936249650025275,image_stim_p.png
Monday,56.55607719100226,22,57.11404625599971,53.50043151900172,336,0.5579690649974509,22,57.26029819199903,180,law,42,female,0.7240429444440241,01,32,6,12,54.50385285800439,y,4.55,52.80612952800584,0.7042210009967675,1,neg,faceWord_exp,6,0.6943019909958821,image_stim_n.png
Monday,67.50962924399937,22,68.06089118000091,63.57745577600144,336,0.5512619360015378,22,68.67620920700574,180,fee,42,female,2.6698720582687456,01,32,6,12,64.782345738,y,2.86,62.882838756006095,1.1665799630063702,1,neg,faceWord_exp,7,0.6946170199953485,image_stim_n.png
Monday,84.19654068000091,22,86.025211046006,78.41907399699994,180,1.828670366005099,21,84.90094385100383,336,river,42,female,-1.8284590275958619,01,31,6,11,79.53736032899906,b,6.72,77.40684280999994,0.704403171002923,1,pos,faceWord_exp,8,1.0122311869999976,image_stim_p.png
Monday,92.42822691100446,22,93.26139991800301,88.61120647700591,336,0.8331730069985497,21,93.12205632800033,180,camera,42,female,-1.0219663684796234,01,31,6,11,89.61419800700241,b,6.61,87.91651570500107,0.6938294169958681,1,pos,faceWord_exp,9,0.694690772004833,image_stim_p.png
Monday,105.9464667659995,22,106.56279682300374,100.27542836700013,180,0.6163300570042338,22,106.64233664000494,336,prairie,42,female,-1.1818642926883074,01,42,6,13,101.27872903800017,y,5.33,99.58391548000509,0.6958698740054388,1,neu,faceWord_exp,10,0.6915128869950422,image_stim_n.png
