img_trigger,condition,ID,pause_trigger,offset_word,word_label,response,img,onset_img,duration_measured_word,duration_frames,rt,session,key_t,age,gender,onset_word,offset_img,delay_frames_before,correct_resp,duration_measured_img,no,pause_trigger_t,word_score_warriner,delay_frames_after,scan day,word_trigger,word,word_score_pc
22,faceWord_exp,12345,32,1.7451540000038221,neg,y,image_stim_n.png,3.8912928999998257,0.7038424999991548,42,0.40280210000491934,1,4.294095000004745,22,female,1.0413115000046673,4.577960399998119,120,1,0.6866674999982934,1,2.744902300000831,2.05,60,Monday,12,victim,3.457530661450998
21,faceWord_exp,12345,41,6.290664899999683,neu,y,image_stim_p.png,7.438712800001667,0.6914342000018223,42,0.4545587000029627,1,7.89327150000463,22,female,5.599230699997861,8.122764699997788,60,0,0.6840518999961205,2,2.744902300000831,5.44,120,Monday,13,bridge,0.1935892361901769
21,faceWord_exp,12345,31,10.837950300003286,pos,b,image_stim_p.png,12.931883199998992,0.686034300000756,42,0.38893280000047525,1,13.320815999999468,22,female,10.15191600000253,13.61798650000128,120,1,0.6861033000022871,3,11.837283000000753,6.9,60,Monday,11,pineapple,-1.6708771386143015
21,faceWord_exp,12345,41,15.316681600001175,neu,b,image_stim_p.png,17.375634199997876,0.6792438999982551,42,0.3246755000000121,1,17.700309699997888,22,female,14.63743770000292,18.06444349999947,120,1,0.6888093000015942,4,16.317639599998074,5.71,60,Monday,13,tourist,-0.31568469709749714
22,faceWord_exp,12345,32,19.781820700001845,neg,y,image_stim_n.png,21.843339200000628,0.6980325000040466,42,0.45283159999962663,1,22.296170800000255,22,female,19.083788199997798,22.52762800000346,120,1,0.6842888000028324,5,20.782232600002317,3.52,60,Monday,12,hospital,2.561630339716405
21,faceWord_exp,12345,41,24.226058500004,neu,b,image_stim_p.png,25.296262800002296,0.6836268000042764,42,0.39710460000060266,1,25.6933674000029,22,female,23.542431699999725,25.97482480000326,60,1,0.6785620000009658,6,20.782232600002317,5.41,120,Monday,13,school,0.26215401176465297
21,faceWord_exp,12345,31,28.672266800000216,pos,b,image_stim_p.png,30.742837800004054,0.6818239999993239,42,0.39812130000063917,1,31.140959100004693,22,female,27.990442800000892,31.420008599998255,120,1,0.6771707999942009,7,29.67512220000208,6.35,60,Monday,11,sled,-1.9273821271493088
22,faceWord_exp,12345,32,33.118787899999006,neg,y,image_stim_n.png,34.185412999999244,0.6798658999978215,42,0.45082730000285665,1,34.6362403000021,22,female,32.438922000001185,34.86746270000003,60,1,0.682049700000789,8,29.67512220000208,4.21,120,Monday,12,policeman,0.397042668763988
21,faceWord_exp,12345,31,37.56536590000178,pos,b,image_stim_p.png,39.629348700000264,0.6840557000032277,42,0.40593720000470057,1,40.035285900004965,22,female,36.88131019999855,40.31296000000293,120,1,0.6836113000026671,9,38.56756570000289,6.14,60,Monday,11,limousine,-1.4783411251765788
21,faceWord_exp,12345,31,42.01156749999791,pos,b,image_stim_p.png,43.08154360000481,0.6790241999988211,42,0.5468763999961084,1,43.628420000000915,22,female,41.33254329999909,43.76183719999972,60,1,0.6802935999949113,10,38.56756570000289,6.37,120,Monday,11,wealthy,-1.8465637543339983
