word,pause_trigger,img_trigger,word_score_warriner,age,duration_frames,response,onset_img,condition,offset_word,delay_frames_before,onset_word,word_score_pc,key_t,pause_trigger_t,duration_measured_img,rt,ID,duration_measured_word,word_trigger,offset_img,scan day,session,no,word_label,correct_resp,img,delay_frames_after,gender
trust,31,21,7.24,22,42,y,7.532410521002021,faceWord_exp,1.7337120220036013,336,1.0112639790022513,-2.1205664047688315,8.385038064996479,2.8675866590056103,0.70076863799477,0.8526275439944584,14,0.72244804300135,11,8.23317915899679,Monday,4,1,pos,0,image_stim_p.png,180,male
insult,32,22,2.62,22,42,b,17.643168037000578,faceWord_exp,11.933861871002591,336,11.240086160003557,4.2176174504439885,18.168826267996337,12.934525988996029,0.6905505540053127,0.5256582309957594,14,0.6937757109990343,12,18.33371859100589,Monday,4,2,neg,0,image_stim_n.png,180,male
parent,31,21,6.73,22,42,y,27.658793392998632,faceWord_exp,22.033621866998146,336,21.339869097995688,-1.2094761189992442,28.25254274600593,23.034284776003915,0.6909453310072422,0.593749353007297,14,0.6937527690024581,11,28.349738724005874,Monday,4,3,pos,0,image_stim_p.png,180,male
honey,31,21,7.27,22,42,b,35.07445222900424,faceWord_exp,32.04986859600467,180,31.35606520299916,-2.066768843681998,35.768391687000985,33.05055754199566,0.6916904879908543,0.6939394579967484,14,0.6938033930055099,11,35.76614271699509,Monday,4,4,pos,1,image_stim_p.png,336,male
worker,41,21,5.95,22,42,b,45.0917120820086,faceWord_exp,42.06639604100201,180,41.37251914900844,0.0196438746392397,45.80231026399997,43.067063762006,0.6910381279885769,0.7105981819913723,14,0.6938768919935683,13,45.782750209997175,Monday,4,5,neu,1,image_stim_p.png,336,male
elevator,41,21,5.95,22,42,b,55.10982241600868,faceWord_exp,52.08281069500663,180,51.39006053400226,0.1872293205875,55.73523300900706,53.083326295003644,0.7061085189925507,0.625410592998378,14,0.6927501610043691,13,55.815930935001234,Monday,4,6,neu,1,image_stim_p.png,336,male
zone,32,22,4.75,22,42,y,65.14118384200265,faceWord_exp,62.115847366003436,180,61.42177534599614,0.42679466080263373,65.88522296100564,63.11652301900904,0.6910380129993428,0.7440391190029914,14,0.6940720200072974,12,65.83222185500199,Monday,4,7,neg,1,image_stim_n.png,336,male
harmonica,31,21,6.32,22,42,b,77.75750069299829,faceWord_exp,72.13219788399874,336,71.43909965500643,-1.3206920491180312,78.31751274700218,73.13285523600644,0.691214229009347,0.5600120540038915,14,0.6930982289923122,11,78.44871492200764,Monday,4,8,pos,1,image_stim_p.png,180,male
red,41,21,5.67,22,42,b,85.17403427799582,faceWord_exp,82.14862386899767,180,81.45350196000072,0.4395766978022416,85.8843733780086,83.14930546699907,0.6911090840003453,0.7103391000127885,14,0.6951219089969527,13,85.86514336199616,Monday,4,9,neu,1,image_stim_p.png,336,male
festival,31,21,6.84,22,42,b,97.79032228300639,faceWord_exp,92.16502901700733,336,91.47107347700512,-2.93465986085152,98.35097845499695,93.16570365399821,0.69114495399117,0.5606561719905585,14,0.6939555400022073,11,98.48146723699756,Monday,4,10,pos,1,image_stim_p.png,180,male
bread,31,21,6.52,22,42,b,107.8084942590067,faceWord_exp,102.18142407899722,336,101.4879961389961,-1.5215329943370883,108.40034521999769,103.18212092200702,0.7058059010014404,0.5918509609909961,14,0.6934279400011292,11,108.51430016000813,Monday,4,11,pos,1,image_stim_p.png,180,male
baseball,42,22,5.79,22,42,y,115.23969641100848,faceWord_exp,112.21446076700522,180,111.51993336000305,-0.4066038871991289,115.78297811299853,113.21516702600638,0.6912445630005095,0.543281701990054,14,0.6945274070021696,13,115.93094097400899,Monday,4,12,neu,1,image_stim_n.png,336,male
saw,32,22,4.16,22,42,y,125.25620652700309,faceWord_exp,122.23085907100176,180,121.53549061399826,-0.10198134801944247,125.83344665300683,123.23154704799526,0.6910421359934844,0.5772401260037441,14,0.6953684570034966,12,125.94724866299657,Monday,4,13,neg,1,image_stim_n.png,336,male
bonfire,31,21,6.53,22,42,b,137.87285520099977,faceWord_exp,132.24724477500422,336,131.55254823500582,-1.7974288604529352,138.43250937800622,133.24796613100625,0.6907265879999613,0.5596541770064505,14,0.6946965399984038,11,138.56358178899973,Monday,4,14,pos,1,image_stim_p.png,180,male
put,41,21,5.09,22,42,b,147.88895807899826,faceWord_exp,142.26364200899843,336,141.56824777800648,0.3545861367636661,148.59907830400334,143.26409749600862,0.6912189260037849,0.7101202250050846,14,0.6953942309919512,13,148.58017700500204,Monday,4,15,neu,1,image_stim_p.png,180,male
team,41,21,5.91,22,42,b,157.90553479400114,faceWord_exp,152.28000983300444,336,151.584840223004,-0.9453395472380092,158.44926113700785,153.28068694200192,0.690941858003498,0.5437263430067105,14,0.6951696100004483,13,158.59647665200464,Monday,4,16,neu,1,image_stim_p.png,180,male
kitchen,31,21,6.17,22,42,b,167.9218122470047,faceWord_exp,162.2963305459998,336,161.60173410800053,-1.5082836116280287,168.53118178099976,163.29706205200637,0.690625329996692,0.60936953399505,14,0.6945964379992802,11,168.6124375770014,Monday,4,17,pos,1,image_stim_p.png,180,male
hand,41,21,5.9,22,42,b,177.94001541100442,faceWord_exp,172.31281090799894,336,171.61892930000613,-0.29144085929118746,178.48126759700244,173.31354443800228,0.7055999439908192,0.5412521859980188,14,0.6938816079928074,13,178.64561535499524,Monday,4,18,neu,1,image_stim_p.png,180,male
hall,41,21,5.89,22,42,b,187.97140263099573,faceWord_exp,182.34584475100564,336,181.65056549600558,0.4398740830446768,188.61467081600858,183.34655427200778,0.69076630800555,0.6432681850128574,14,0.6952792550000595,13,188.66216893900128,Monday,4,19,neu,1,image_stim_p.png,180,male
businessman,41,21,5.38,22,42,b,197.9874444760062,faceWord_exp,192.36192368999764,336,191.6683605270082,0.6669259665908855,198.698444818001,193.36291206799797,0.69112130299618,0.7110003419948043,14,0.6935631629894488,13,198.67856577900238,Monday,4,20,neu,1,image_stim_p.png,180,male
battle,32,22,3.52,22,42,y,208.004078715996,faceWord_exp,202.37862447899533,336,201.6838390949997,3.668156535681199,208.64758272199833,203.37929338299728,0.6909519830078352,0.6435040060023312,14,0.6947853839956224,12,208.69503069900384,Monday,4,21,neg,1,image_stim_n.png,180,male
denial,32,22,3.57,22,42,y,218.01951784000266,faceWord_exp,212.39500714700262,336,211.70022159299697,2.8314410724962364,218.59653684899968,213.39566745799675,0.6919291459926171,0.5770190089970129,14,0.694785554005648,12,218.71144698599528,Monday,4,22,neg,1,image_stim_n.png,180,male
guard,42,22,5.89,22,42,y,225.43694201600738,faceWord_exp,222.4115260200051,180,221.71692125100526,0.29188517290671034,225.9974989760085,223.41205998900114,0.6908977479906753,0.5605569600011222,14,0.6946047689998522,13,226.12783976399805,Monday,4,23,neu,1,image_stim_n.png,336,male
pig,32,22,4.83,22,42,y,238.05502519200672,faceWord_exp,232.42784884700086,336,231.73350585800654,0.060511318752979076,238.82958264299668,233.4284543810063,0.7059877579886233,0.7745574509899598,14,0.6943429889943218,12,238.76101294999535,Monday,4,24,neg,1,image_stim_n.png,180,male
dog,31,21,7.0,22,42,b,245.48629194100795,faceWord_exp,242.46107286000915,180,241.76545558100042,-1.7294291477603156,246.18033741600811,243.4615806100046,0.6909837059938582,0.6940454750001663,14,0.6956172790087294,11,246.1772756470018,Monday,4,25,pos,1,image_stim_p.png,336,male
truce,31,21,6.42,22,42,b,258.101215319999,faceWord_exp,252.4773960570019,336,251.78083406199585,-1.6859102219357711,258.71247972700803,253.4778765469964,0.6920883679995313,0.6112644070090028,14,0.69656199500605,11,258.79330368799856,Monday,4,26,pos,1,image_stim_p.png,180,male
snake,32,22,4.03,22,42,y,265.5190121170017,faceWord_exp,262.49363146199903,180,261.7986421270034,1.95458394600482,266.1291954449989,263.4942790000059,0.6910721440071939,0.6101833279972197,14,0.6949893349956255,12,266.2100842610089,Monday,4,27,neg,1,image_stim_n.png,336,male
explosion,32,22,3.17,22,42,y,278.13547115199617,faceWord_exp,272.5100692940032,336,271.8161933299998,3.1835494020570807,278.76216624300287,273.5107020870055,0.6909748390025925,0.6266950910066953,14,0.6938759640033823,12,278.82644599099876,Monday,4,28,neg,1,image_stim_n.png,180,male
door,42,22,5.43,22,42,y,285.56844419799745,faceWord_exp,282.5264761330036,180,281.8311145100015,0.37753019343780747,286.1453769159998,283.526923944999,0.6909627679997357,0.5769327180023538,14,0.6953616230020998,13,286.2594069659972,Monday,4,29,neu,1,image_stim_n.png,336,male
stampede,32,22,4.48,22,42,y,295.5845833140047,faceWord_exp,292.55950139400375,180,291.8649637280032,2.7437052692255306,296.16223836000427,293.5601345729956,0.6914588939980604,0.5776550459995633,14,0.6945376660005422,12,296.27604220800276,Monday,4,30,neg,1,image_stim_n.png,336,male
empty,32,22,3.78,22,42,y,305.60339956700045,faceWord_exp,302.57588128899806,180,301.88215774499986,2.8496222967354625,306.21119315500255,303.57647679699585,0.7056869000080042,0.6077935880020959,14,0.6937235439982032,12,306.30908646700846,Monday,4,31,neg,1,image_stim_n.png,336,male
chestnut,41,21,5.68,22,42,b,318.23452332000306,faceWord_exp,312.60895157500636,336,311.9143012679997,-0.4880378396985329,318.9438570810016,313.6093364240078,0.6909113019937649,0.709333760998561,14,0.6946503070066683,13,318.9254346219968,Monday,4,32,neu,1,image_stim_p.png,180,male
banjo,31,21,6.35,22,42,b,328.25048492300266,faceWord_exp,322.6253388920013,336,321.9313564799959,-1.2316584124512135,328.8264551409957,323.6259340999968,0.6909875830024248,0.5759702179930173,14,0.6939824120054254,11,328.9414725060051,Monday,4,33,pos,1,image_stim_p.png,180,male
torment,32,22,2.53,22,42,y,335.66719023900805,faceWord_exp,332.6416110029968,180,331.9464232820028,4.5355840269859025,336.21094310400076,333.6423233999958,0.6909192579914816,0.5437528649927117,14,0.6951877209939994,12,336.35810949699953,Monday,4,34,neg,1,image_stim_n.png,336,male
journalist,42,22,5.3,22,42,y,348.2834379709966,faceWord_exp,342.6580746219988,336,341.96380496899656,0.18094025084207666,348.8924620110047,343.65868513500027,0.6910827399988193,0.6090240400080802,14,0.6942696530022658,13,348.9745207109954,Monday,4,35,neu,1,image_stim_n.png,180,male
