no,delay_frames_before,word_score_pc,condition,delay_frames_after,response,offset_word,word_label,onset_word,key_t,pause_trigger_t,duration_frames,gender,scan day,img,correct_resp,ID,onset_img,offset_img,word,rt,word_score_warriner,duration_measured_img,random_timepoint,duration_measured_word,age,session
1,80,-0.18281188470513854,faceWord_exp,98,left,1.8135476330062374,neu,1.0120325869938824,4.30317400599597,2.813621923996834,48,male,Monday,image_stim_n.png,1,1,3.251712328987196,4.047101306990953,spatula,1.0514616770087741,5.14,0.7953889780037571,17.269929829984903,0.801515046012355,22,1
2,107,-1.0601571884744718,faceWord_exp,136,right,6.467623094998999,neu,5.673041771980934,8.868768227985129,7.46806301898323,48,male,Monday,image_stim_p.png,1,1,8.309106971981237,9.100086254999042,fiddle,0.559661256003892,5.05,0.7909792830178048,22.327324737998424,0.7945813230180647,22,1
3,154,-1.7483058493195842,faceWord_exp,57,right,12.16730393798207,pos,11.372977091989014,15.052468295994913,13.167961147002643,48,male,Monday,image_stim_p.png,1,1,14.793215285986662,15.583911828987766,woman,0.2592530100082513,7.09,0.7906965430011041,28.8114330410026,0.794326845993055,22,1
4,94,-3.1501939707833047,faceWord_exp,119,right,17.333751351980027,pos,16.541151668992825,19.236576145980507,18.334452098002657,48,male,Monday,image_stim_p.png,1,1,18.95414767600596,19.750177896989044,happy,0.2824284699745476,8.47,0.7960302209830843,32.97236514498945,0.792599682987202,22,1
5,128,-1.4783411251765788,faceWord_exp,182,right,22.53404726399458,pos,21.738840467005502,25.16917360399384,23.534260132990312,48,male,Monday,image_stim_p.png,1,1,24.71981727000093,25.517122805002145,limousine,0.44935633399290964,6.14,0.7973055350012146,38.73803534099716,0.7952067969890777,22,1
6,154,-0.3369766028281135,faceWord_exp,75,left,29.35061779199168,neu,28.55631622899091,32.56921732600313,30.35101851800573,48,male,Monday,image_stim_n.png,1,1,31.979341126978397,32.78366600899608,corkscrew,0.5898761990247294,5.26,0.8043248820176814,45.99755782997818,0.7943015630007721,22,1
7,126,-2.146343780688921,faceWord_exp,141,right,34.83339553899714,pos,34.038169087987626,37.55283339199377,35.83412778098136,48,male,Monday,image_stim_p.png,1,1,36.98510831099702,37.78359701100271,lemonade,0.5677250809967518,7.05,0.7984887000056915,51.00332614398212,0.795226451009512,22,1
8,174,-0.7213913907893977,faceWord_exp,131,left,40.933541729988065,neu,40.138179393979954,44.31894751699292,41.934233943000436,48,male,Monday,image_stim_n.png,1,1,43.89886398598901,44.70014175499091,treaty,0.42008353100391105,5.42,0.8012777690018993,57.917080666986294,0.795362336008111,22,1
9,62,-0.9990759838186469,faceWord_exp,168,left,47.68305791300372,neu,46.8877420820063,49.2691094839829,48.68401830698713,48,male,Monday,image_stim_n.png,1,1,48.771546436997596,49.56701091097784,field,0.49756304698530585,5.73,0.7954644739802461,62.789764397981344,0.7953158309974242,22,1
10,127,0.3759356543037889,faceWord_exp,138,right,53.166710413002875,neu,52.37548219200107,55.852661015000194,54.167197778006084,48,male,Monday,image_stim_p.png,1,1,55.33537859900389,56.13333283099928,fence,0.5172824159963056,5.05,0.7979542319953907,69.3535966819909,0.791228221001802,22,1
