response,word,scan day,duration_measured_img,onset_word,offset_img,age,delay_frames_before,pause_trigger_t,offset_word,word_trigger,word_score_warriner,session,ID,condition,pause_trigger,key_t,img,correct_resp,duration_measured_word,rt,no,gender,duration_frames,delay_frames_after,onset_img,word_label,word_score_pc,img_trigger
b,bugle,Monday,0.8122452220413834,1.0195360950892791,8.605247335042804,22,336,2.723519729101099,1.7234009420499206,13,5.05,6,5,faceWord_exp,41,8.594038003007881,image_stim_p.png,1,0.7038648469606414,0.8010358900064602,1,female,42,180,7.793002113001421,neu,-0.441124933220443,21
y,bee,Monday,0.7019679949153215,11.613138330052607,16.03926481702365,22,180,13.306754358112812,12.306170225027017,12,3.68,6,5,faceWord_exp,32,16.110829817014746,image_stim_n.png,1,0.6930318949744105,0.773532994906418,2,female,42,336,15.337296822108328,neg,1.5036737146000605,22
y,mayor,Monday,0.702745052985847,21.64674397010822,28.672485215007327,22,336,23.339940949110314,22.339359653997235,12,4.59,6,5,faceWord_exp,32,28.70960196503438,image_stim_n.png,1,0.6926156838890165,0.7398618030129,3,female,42,180,27.96974016202148,neg,0.3271241198863318,22
y,protest,Monday,0.7019113319693133,31.682305646012537,36.1056934830267,22,180,33.37314134009648,32.372399062034674,12,4.42,6,5,faceWord_exp,32,36.29272758006118,image_stim_n.png,1,0.6900934160221368,0.8889454290037975,4,female,42,336,35.403782151057385,neg,1.346131993343653,22
b,girl,Monday,0.7033683729823679,43.343280152999796,47.855295811081305,22,180,45.123000286053866,44.122443331056274,11,7.15,6,5,faceWord_exp,31,47.94353710405994,image_stim_p.png,1,0.7791631780564785,0.7916096659610048,5,female,42,336,47.15192743809894,pos,-1.313583728320736,21
b,escalator,Monday,0.8078030800679699,53.46241993911099,58.85666597611271,22,180,55.20696904708166,54.15531046700198,13,5.95,6,5,faceWord_exp,41,58.77667571301572,image_stim_p.png,1,0.6928905278909951,0.7278128169709817,6,female,42,336,58.04886289604474,neu,-0.1293625696653618,21
y,judge,Monday,0.6922760880552232,65.3947340650484,69.8052878701128,22,180,67.08925220300443,66.08847976906691,12,3.89,6,5,faceWord_exp,32,70.15977027907502,image_stim_n.png,1,0.6937457040185109,1.0467584970174357,7,female,42,336,69.11301178205758,neg,1.421533554407035,22
y,church,Monday,0.7854789979755878,75.4124304400757,80.10685455100611,22,180,77.10608017910272,76.10528496210463,13,5.21,6,5,faceWord_exp,42,81.42573537200224,image_stim_n.png,1,0.6928545220289379,2.104359818971716,8,female,42,336,79.32137555303052,neu,0.4070035035588155,22
b,chocolate,Monday,0.7013885830529034,85.84839851607103,92.87135364708956,22,336,87.53907276806422,86.53822032001335,11,7.63,6,5,faceWord_exp,31,92.87556288309861,image_stim_p.png,1,0.6898218039423227,0.7055978190619498,9,female,42,180,92.16996506403666,pos,-2.539279812815429,21
b,pumpkin,Monday,0.7045018259668723,95.87964450509753,100.30491036805324,22,180,97.57246662408579,96.57170620502438,11,7.0,6,5,faceWord_exp,31,100.29233675310388,image_stim_p.png,1,0.6920616999268532,0.6919282110175118,10,female,42,336,99.60040854208637,pos,-1.1380831950062478,21
