age,word_trigger,correct_resp,onset_word,response,session,ID,word_label,word,pause_trigger_t,gender,offset_word,word_score_warriner,no,img,offset_img,onset_img,condition,key_t,img_trigger,word_score_pc,duration_frames,rt,delay_frames_after,scan day,duration_measured_img,delay_frames_before,pause_trigger,duration_measured_word
22,11,1,1.0178844999754801,b,2,AHJ,pos,summer,2.7228182000108063,male,1.7225989999715239,7.5,1,image_stim_p.png,5.453487100021448,4.7634768999996595,faceWord_exp,5.254736099974252,21,-1.7608811602119443,42,0.4912591999745928,336,Monday,0.6900102000217885,180,31,0.7047144999960437
22,13,1,11.057764699973632,b,2,AHJ,neu,nose,12.75041560002137,male,11.750002899963874,5.5,2,image_stim_p.png,18.07978919998277,17.376949600002263,faceWord_exp,17.847614599973895,21,-0.049892793833906636,42,0.4706649999716319,180,Monday,0.702839599980507,336,41,0.6922381999902427
22,13,1,21.08682929998031,y,2,AHJ,neu,whole,22.778502299974207,male,21.77773440000601,5.86,3,image_stim_n.png,28.107531299989205,27.412464699998964,faceWord_exp,27.99211709998781,22,0.10630403813009667,42,0.579652399988845,180,Monday,0.6950665999902412,336,42,0.6909051000257023
22,12,1,31.11467390001053,y,2,AHJ,neg,tired,32.80578029999742,male,31.805469600018114,4.29,4,image_stim_n.png,35.536868099996354,34.83509180002147,faceWord_exp,35.28845419996651,22,2.351878020671037,42,0.4533623999450356,336,Monday,0.7017762999748811,180,32,0.690795700007584
22,11,1,41.14224590000231,b,2,AHJ,pos,piano,42.833558599988464,male,41.83318259997759,6.4,5,image_stim_p.png,48.163013499986846,47.46183430001838,faceWord_exp,47.81430289999116,21,-1.7947555393350414,42,0.3524685999727808,180,Monday,0.7011791999684647,336,31,0.690936699975282
22,11,1,51.17054259998258,b,2,AHJ,pos,embrace,52.861175999976695,male,51.8610235999804,7.0,6,image_stim_p.png,55.59225340001285,54.888952400011476,faceWord_exp,55.22678969998378,21,-2.461915733068042,42,0.33783729997230694,336,Monday,0.7033010000013746,180,31,0.690480999997817
22,12,1,61.197078500001226,y,2,AHJ,neg,office,62.88906830002088,male,61.888720499991905,4.54,7,image_stim_n.png,65.6199556000065,64.91649689996848,faceWord_exp,65.47119609999936,22,0.6502198887451732,42,0.5546992000308819,336,Monday,0.703458700038027,180,32,0.6916419999906793
22,11,1,71.22466509998776,b,2,AHJ,pos,barbecue,72.91678819997469,male,71.91638329997659,7.1,8,image_stim_p.png,75.64779770001769,74.9470355999656,faceWord_exp,75.36577999999281,21,-2.5746228757417584,42,0.41874440002720803,336,Monday,0.7007621000520885,180,31,0.6917181999888271
22,11,1,81.25326879997738,b,2,AHJ,pos,mercy,82.94434089999413,male,81.94423789996654,6.4,9,image_stim_p.png,88.27404970000498,87.57040779996896,faceWord_exp,87.8419384000008,21,-1.0752281295040744,42,0.2715306000318378,180,Monday,0.7036419000360183,336,31,0.6909690999891609
22,11,1,91.27861559996381,b,2,AHJ,pos,musical,92.97228220000397,male,91.9719594999915,7.68,10,image_stim_p.png,98.30178009998053,97.59732140001142,faceWord_exp,97.9863288999768,21,-1.3503642789447028,42,0.3890074999653734,180,Monday,0.7044586999691091,336,31,0.6933439000276849
22,11,1,101.3089164000121,b,2,AHJ,pos,spaghetti,102.99993799999356,male,101.99974020000082,6.91,11,image_stim_p.png,105.73096010001609,105.02708119997988,faceWord_exp,105.48221689998172,21,-1.7539828459428422,42,0.455135700001847,336,Monday,0.7038789000362158,180,31,0.6908237999887206
22,12,1,111.33419999998296,y,2,AHJ,neg,ricochet,113.0277590000187,male,112.0276294000214,4.75,12,image_stim_n.png,115.75869149999926,115.05420319997938,faceWord_exp,115.45994049997535,22,1.0482300490198866,42,0.40573729999596253,336,Monday,0.7044883000198752,180,32,0.6934294000384398
22,13,1,121.36184239998693,y,2,AHJ,neu,eggplant,123.055591500015,male,122.05518999998458,5.55,13,image_stim_n.png,125.78642620000755,125.08269189996645,faceWord_exp,125.62087109999266,22,-0.09980687036967174,42,0.5381792000262067,336,Monday,0.7037343000411056,180,42,0.6933475999976508
22,11,1,131.39152629999444,b,2,AHJ,pos,artist,133.08315379999112,male,132.08295199996792,6.76,14,image_stim_p.png,135.8141260999837,135.11033920000773,faceWord_exp,135.86538039997686,21,-1.2978987804410356,42,0.7550411999691278,336,Monday,0.7037868999759667,180,31,0.6914256999734789
22,11,1,141.42041379999137,b,2,AHJ,pos,joke,143.11092810000991,male,142.1106403999729,7.88,15,image_stim_p.png,145.84231969999382,145.14037390000885,faceWord_exp,145.45992049999768,21,-1.8879163634684628,42,0.3195465999888256,336,Monday,0.7019457999849692,180,31,0.6902265999815427
22,11,1,151.4482431000215,b,2,AHJ,pos,carnival,153.13865209999494,male,152.13851269998122,6.48,16,image_stim_p.png,158.46811259997776,157.76569749996997,faceWord_exp,158.0694638999994,21,-2.4114282062334524,42,0.3037664000294171,180,Monday,0.7024151000077836,336,31,0.6902695999597199
22,12,1,161.47179239999969,y,2,AHJ,neg,sick,163.16651800001273,male,162.1664230999886,2.29,17,image_stim_n.png,165.89743979997002,165.19441230001394,faceWord_exp,165.63221030001296,22,3.4738609063027237,42,0.43779799999902025,336,Monday,0.7030274999560788,180,32,0.6946306999889202
