word,ID,rt,onset_img,pause_trigger_t,word_score_pc,correct_resp,key_t,word_label,offset_word,duration_measured_word,session,word_trigger,offset_img,img_trigger,scan day,duration_measured_img,gender,no,duration_frames,delay_frames_after,response,age,pause_trigger,onset_word,img,delay_frames_before,word_score_warriner,condition
grief,Anders,0.5352499000146054,4.773557399981655,2.7392658999888226,4.735833249102137,1,5.3088072999962606,neg,1.7369197999942116,0.7053140999923926,5,12,5.474049399985233,22,Monday,0.7004920000035781,male,1,42,336,y,22,32,1.031605700001819,image_stim_n.png,180,2.33,faceWord_exp
penguin,Anders,0.6042509000108112,14.813976299978094,12.782673899986548,-1.2194148821621404,1,15.418227199988905,pos,11.780207099975087,0.6898533999919891,5,11,15.517407399980584,21,Monday,0.70343110000249,male,2,42,336,b,22,31,11.090353699983098,image_stim_p.png,180,6.65,faceWord_exp
editor,Anders,0.43777799999224953,27.45964409998851,22.826005699986126,0.14106522732466809,1,27.89742209998076,neu,21.823645199998282,0.6923459999961779,5,13,28.16355879997718,21,Monday,0.7039146999886725,male,3,42,180,b,22,41,21.131299200002104,image_stim_p.png,336,5.43,faceWord_exp
curse,Anders,0.43746030001784675,37.50318459997652,32.86879649999901,3.659937177091274,0,37.94064489999437,neg,31.866883999988204,0.6914890999905765,5,12,38.20696229999885,22,Monday,0.7037777000223286,male,4,42,180,b,22,32,31.175394899997627,image_stim_n.png,336,2.9,faceWord_exp
ambulance,Anders,0.572017099999357,44.94351889999234,42.91272759999265,2.2468136409924253,1,45.5155359999917,neg,41.91017049999209,0.6893506000051275,5,12,45.64721090000239,22,Monday,0.7036920000100508,male,5,42,336,y,22,32,41.220819899986964,image_stim_n.png,180,3.71,faceWord_exp
cherry,Anders,0.4521429000014905,57.592342199990526,52.95584469998721,-1.7441234463665167,1,58.044485099992016,pos,51.95343599998159,0.6910854000016116,5,11,58.2932033999823,21,Monday,0.7008611999917775,male,6,42,180,b,22,31,51.26235059997998,image_stim_p.png,336,7.05,faceWord_exp
apricot,Anders,0.43501059999107383,65.03308299998753,62.99914939998416,-1.2450836009557775,1,65.4680935999786,neu,61.99725449999096,0.6944531000044663,5,13,65.73390829999698,21,Monday,0.7008253000094555,male,7,42,336,b,22,41,61.30280139998649,image_stim_p.png,180,5.95,faceWord_exp
hierarchy,Anders,0.5185167999879923,77.67905330000212,73.04212519997964,1.0236166268558873,1,78.19757009999012,neg,72.04066309999325,0.6946719000115991,5,12,78.38010899999063,22,Monday,0.7010556999885011,male,8,42,180,y,22,32,71.34599119998165,image_stim_n.png,336,4.95,faceWord_exp
stapler,Anders,0.5009697999921627,85.12038859998574,83.08591999998316,0.19443075193465506,1,85.62135839997791,neu,82.08347449998837,0.6946339000132866,5,13,85.82046109999646,21,Monday,0.7000725000107195,male,9,42,336,b,22,41,81.38884059997508,image_stim_p.png,180,5.25,faceWord_exp
intellect,Anders,0.4336174000054598,97.7673092999903,93.12871449999511,-2.249771083793789,1,98.20092669999576,pos,92.12700119998772,0.6939724000112619,5,11,98.4664444999944,21,Monday,0.6991352000040933,male,10,42,180,b,22,31,91.43302879997646,image_stim_p.png,336,6.62,faceWord_exp
peaceful,Anders,0.7050800999859348,105.20369389999541,103.1726904999814,-2.641671297166366,1,105.90877399998135,pos,102.17061749999993,0.6942698000057135,5,11,105.9072240999958,21,Monday,0.7035302000003867,male,11,42,336,b,22,31,101.47634769999422,image_stim_p.png,180,8.0,faceWord_exp
wit,Anders,0.4363660999806598,115.24838679999812,113.21587610000279,-1.2397352233188434,1,115.68475289997878,pos,112.21388100000331,0.6935726000228897,5,11,115.95061109997914,21,Monday,0.702224299981026,male,12,42,336,b,22,31,111.52030839998042,image_stim_p.png,180,7.25,faceWord_exp
drum,Anders,0.4016062999726273,127.89622470000177,123.25875989999622,-1.4373817092238501,1,128.2978309999744,pos,122.25682439998491,0.6953418999910355,5,11,128.5969664999866,21,Monday,0.7007417999848258,male,13,42,180,b,22,31,121.56148249999387,image_stim_p.png,336,6.05,faceWord_exp
screech,Anders,0.41441219998523593,135.34042789999512,133.30211589997634,2.424733943851676,0,135.75484009998036,neg,132.30011569999624,0.6941644000180531,5,12,136.03760709997732,22,Monday,0.6971791999822017,male,14,42,336,b,22,32,131.6059512999782,image_stim_n.png,180,3.5,faceWord_exp
mob,Anders,0.4688023000198882,147.981922499981,143.34601859998656,2.490397821352158,1,148.4507248000009,neg,142.34410580000258,0.6962733000109438,5,12,148.6835841999855,22,Monday,0.7016617000044789,male,15,42,180,y,22,32,141.64783249999164,image_stim_n.png,336,3.7,faceWord_exp
cash,Anders,0.5042577999993227,158.02385579998372,153.3887869999744,-1.6872526925643307,1,158.52811359998304,pos,152.38686979998602,0.6953762999910396,5,11,158.72645519999787,21,Monday,0.7025994000141509,male,16,42,180,b,22,31,151.69149349999498,image_stim_p.png,336,7.51,faceWord_exp
book,Anders,0.5368857000139542,168.06772269998328,163.4320649000001,-1.1429809241505904,1,168.60460839999723,pos,162.43016209997586,0.6934883999929298,5,11,168.77031239998178,21,Monday,0.702589699998498,male,17,42,180,b,22,31,161.73667369998293,image_stim_p.png,336,7.05,faceWord_exp
whine,Anders,0.5200316999980714,175.50805589999072,173.47544769998058,3.0668244091236065,1,176.0280875999888,neg,172.47399339999538,0.6952105000091251,5,12,176.2110031999764,22,Monday,0.7029472999856807,male,18,42,336,y,22,32,171.77878289998625,image_stim_n.png,180,2.82,faceWord_exp
newspaper,Anders,0.5710227999952622,185.5506858000008,183.5191410999978,0.3309936143559913,1,186.12170859999605,neu,182.51728149998235,0.6946543999947608,5,13,186.25435319999815,21,Monday,0.7036673999973573,male,19,42,336,b,22,41,181.82262709998759,image_stim_p.png,180,5.11,faceWord_exp
banker,Anders,0.5873348999884911,198.19681289998698,193.56241289997706,0.8708146708303101,1,198.78414779997547,neg,192.56061279997812,0.6948395999788772,5,12,198.90267989999847,22,Monday,0.7058670000114944,male,20,42,180,y,22,32,191.86577319999924,image_stim_n.png,336,4.89,faceWord_exp
clue,Anders,-5.934884000016609,208.2396074999997,203.6054011999804,0.07992973296861662,0,202.30472349998308,neu,202.60352149998653,0.6955809000064619,5,13,208.94371729998966,21,Monday,0.7041097999899648,male,21,42,180,y,22,41,201.90794059998007,image_stim_p.png,336,5.38,faceWord_exp
ant,Anders,0.538854899990838,215.67967839998892,213.64875019999454,1.5300907112092572,1,216.21853329997975,neg,212.64685179997468,0.6939958999864757,5,12,216.38388419998228,22,Monday,0.7042057999933604,male,22,42,336,y,22,32,211.9528558999882,image_stim_n.png,180,3.9,faceWord_exp
dead,Anders,0.5201164000027347,225.72457849999773,223.692084099981,4.0294120701769724,1,226.24469490000047,neg,222.69017359998543,0.6955794999958016,5,12,226.42761079999036,22,Monday,0.7030322999926284,male,23,42,336,y,22,32,221.99459409998963,image_stim_n.png,180,2.02,faceWord_exp
awe,Anders,0.5007813000120223,238.37346609999076,233.7356509999954,-2.1428059827362134,1,238.8742474000028,pos,232.73358269999153,0.6952061000047252,5,11,239.07304789999034,21,Monday,0.6995817999995779,male,24,42,180,b,22,31,232.0383765999868,image_stim_p.png,336,6.85,faceWord_exp
jealousy,Anders,0.6369477999978699,245.81163229999947,243.77874300000258,3.693241029119933,1,246.44858009999734,neg,242.77729839997482,0.6909535999875516,5,12,246.51418919998105,22,Monday,0.7025568999815732,male,25,42,336,y,22,32,242.08634479998727,image_stim_n.png,180,2.58,faceWord_exp
tulip,Anders,-1.4806416000064928,255.85383119998733,253.82240599999204,-2.547338598571031,0,254.37318959998083,pos,252.82020649997867,0.6944799999764655,5,11,256.55746789998375,21,Monday,0.703636699996423,male,26,42,336,y,22,31,252.1257265000022,image_stim_p.png,180,7.25,faceWord_exp
dread,Anders,0.48629020000225864,265.89857140000095,263.8655892999959,4.006417686109669,1,266.3848616000032,neg,262.8635979999963,0.6950314000132494,5,12,266.6008837999834,22,Monday,0.7023123999824747,male,27,42,336,y,22,32,262.168566599983,image_stim_n.png,180,3.0,faceWord_exp
dangerous,Anders,0.5857733999728225,275.94299290000345,273.9089681999758,3.17672342877373,1,276.52876629997627,neg,272.9072043999913,0.6938646000053268,5,12,276.64400770000066,22,Monday,0.7010147999972105,male,28,42,336,y,22,32,272.213339799986,image_stim_n.png,180,2.33,faceWord_exp
water,Anders,0.5015722999814898,288.58921279999777,283.9521737000032,-1.2320142343270626,1,289.09078509997926,pos,282.9503258999903,0.694238399999449,5,11,289.2903366999817,21,Monday,0.7011238999839406,male,29,42,180,b,22,31,282.2560874999908,image_stim_p.png,336,7.0,faceWord_exp
spring,Anders,0.48640270001487806,298.63134619998164,293.99574359998223,-2.625984580876632,1,299.1177488999965,pos,292.99346030000015,0.6938920000102371,5,11,299.3330122999905,21,Monday,0.7016661000088789,male,30,42,180,b,22,31,292.2995682999899,image_stim_p.png,336,7.64,faceWord_exp
applause,Anders,0.519808799988823,306.0720397999976,304.03864969999995,-2.3591802685249372,1,306.5918485999864,pos,303.03731259997585,0.6947768999962136,5,11,306.7743988999864,21,Monday,0.7023590999888256,male,31,42,336,b,22,31,302.34253569997963,image_stim_p.png,180,7.12,faceWord_exp
corn,Anders,0.5879202999931294,316.1140835999977,314.0828513999877,-1.235914274808286,1,316.7020038999908,neu,313.08005889999913,0.6954032000212464,5,13,316.8175380999746,22,Monday,0.7034544999769423,male,32,42,336,y,22,42,312.3846556999779,image_stim_n.png,180,5.95,faceWord_exp
mandolin,Anders,0.5177704999805428,326.1608215000015,324.12558799999533,-1.4097678477610591,1,326.678591999982,neu,323.12352429999737,0.6940749000059441,5,13,326.86053139998694,21,Monday,0.6997098999854643,male,33,42,336,b,22,41,322.4294493999914,image_stim_p.png,180,5.7,faceWord_exp
number,Anders,0.4359288999985438,336.20201310000266,334.169147299981,0.2374341841762725,1,336.6379420000012,neu,333.16676969997934,0.6945142000040505,5,13,336.90391769999405,21,Monday,0.7019045999913942,male,34,42,336,b,22,41,332.4722554999753,image_stim_p.png,180,5.59,faceWord_exp
cab,Anders,0.48542729998007417,348.84853889999795,344.21208119997755,0.1828236131989572,0,349.333966199978,neg,343.2101816999784,0.6956340000033379,5,12,349.5497970999859,22,Monday,0.701258199987933,male,35,42,180,b,22,32,342.5145476999751,image_stim_n.png,336,4.81,faceWord_exp
company,Anders,0.7010079000028782,356.2908272999921,354.255531599978,0.4587040848007746,1,356.99183519999497,neu,353.2534254999773,0.6946737999969628,5,13,356.9905450999795,21,Monday,0.6997177999874111,male,36,42,336,b,22,41,352.55875169998035,image_stim_p.png,180,5.64,faceWord_exp
theater,Anders,0.4513071000110358,368.935977599991,364.2990426000033,-1.8816288507581482,1,369.38728470000206,pos,363.2967706999916,0.6940567000128794,5,11,369.6367737999826,21,Monday,0.7007961999916006,male,37,42,180,b,22,31,362.60271399997873,image_stim_p.png,336,6.14,faceWord_exp
rum,Anders,0.5541627999919001,376.37407389999134,374.3420055999886,-1.1343736111597311,1,376.92823669998324,neu,373.34017399998265,0.6947687999927439,5,13,377.0772211999865,21,Monday,0.7031472999951802,male,38,42,336,b,22,41,372.6454051999899,image_stim_p.png,180,5.57,faceWord_exp
morning,Anders,0.5021169999963604,389.0218700999976,384.3858785999764,-1.211925852261804,1,389.523987099994,pos,383.3833904999774,0.6940867999801412,5,11,389.72355860000243,21,Monday,0.7016885000048205,male,39,42,180,b,22,31,382.68930369999725,image_stim_p.png,336,6.41,faceWord_exp
tangerine,Anders,0.48695179997594096,396.46113630000036,394.4293575999909,-1.178487968131687,1,396.9480880999763,pos,393.4272062999953,0.6939744999981485,5,11,397.16378549998626,21,Monday,0.702649199985899,male,40,42,336,b,22,31,392.73323179999716,image_stim_p.png,180,6.81,faceWord_exp
