word_label,ID,word,no,word_trigger,scan day,pause_trigger,duration_measured_img,offset_word,session,word_score_pc,onset_img,offset_img,key_t,response,word_score_warriner,rt,delay_frames_after,condition,duration_measured_word,onset_word,delay_frames_before,age,correct_resp,img_trigger,gender,pause_trigger_t,img,duration_frames
pos,C,garden,1,11,Monday,31,0.7053693449997809,1.7109984020062257,1,-2.3673221107876317,7.405429221005761,8.110798566005542,2.7969416190026095,y,7.25,-4.6084876020031516,180,faceWord_exp,0.7026721309957793,1.0083262710104464,336,22,0,21,female,2.711447395005962,image_stim_p.png,42
neu,C,tourist,2,13,Monday,41,0.6984229020017665,11.810866555999382,1,-0.31568469709749714,17.44556793299853,18.143990835000295,13.363731849996839,b,5.71,-4.08183608300169,180,faceWord_exp,0.6931142829998862,11.117752272999496,336,22,1,21,female,12.811188499006676,image_stim_p.png,42
neg,C,envy,3,12,Monday,32,0.7001008720108075,21.84404390399868,1,3.3697994362845387,27.477067334999447,28.177168207010254,23.04606183100259,y,3.05,-4.431005503996857,180,faceWord_exp,0.6939592099952279,21.150084694003453,336,22,1,22,female,22.84448704800161,image_stim_n.png,42
pos,C,wealthy,4,11,Monday,31,0.7059181370132137,31.877251270998386,1,-1.8465637543339983,37.50457379799627,38.210491935009486,33.0470194320078,b,6.37,-4.4575543659884715,180,faceWord_exp,0.6932129549968522,31.184038316001534,336,22,1,21,female,32.87758562799718,image_stim_p.png,42
pos,C,lemonade,5,11,Monday,31,0.6909957330062753,41.91019050400064,1,-2.146343780688921,44.935982975002844,45.62697870800912,42.79700297000818,b,7.05,-2.1389800049946643,336,faceWord_exp,0.6942689679999603,41.21592153600068,180,22,1,21,female,42.91066418100672,image_stim_p.png,42
neu,C,spatula,6,13,Monday,41,0.70714156399481,51.92695484199794,1,-0.18281188470513854,57.55264753200754,58.25978909600235,53.69542785800877,b,5.14,-3.8572196739987703,180,faceWord_exp,0.694554909990984,51.232399932006956,336,22,1,21,female,52.92755181599932,image_stim_p.png,42
neg,C,deceit,7,12,Monday,32,0.7070996460097376,61.96013956100796,1,4.314775126713813,67.58633435399679,68.29343400000653,62.646432545006974,y,2.89,-4.939901808989816,180,faceWord_exp,0.6946106880059233,61.26552887300204,336,22,1,22,female,62.96068194700638,image_stim_n.png,42
neg,C,aggressive,8,12,Monday,32,0.6907117739901878,71.99330375000136,1,2.166851165767892,75.0191839550098,75.70989572899998,72.4296219710086,y,3.08,-2.589561984001193,336,faceWord_exp,0.6952303419966483,71.29807340800471,180,22,1,22,female,72.99363957700552,image_stim_n.png,42
neg,C,victim,9,12,Monday,32,0.6914054539956851,82.00987009600794,1,3.457530661450998,85.03511561000778,85.72652106400346,82.09566077600175,y,2.05,-2.9394548340060282,336,faceWord_exp,0.6958250750030857,81.31404502100486,180,22,1,22,female,83.01038767599675,image_stim_n.png,42
neu,C,keyboard,10,13,Monday,41,0.7056680189998588,92.02625166400685,1,-0.08455950357770388,95.0539896679984,95.75965768699825,93.07925422099652,b,5.17,-1.9747354470018763,336,faceWord_exp,0.6908484949963167,91.33540316901053,180,22,1,21,female,93.02690424800676,image_stim_p.png,42
pos,C,lake,11,11,Monday,31,0.6908152480027638,102.05948702800379,1,-1.5151286486205269,105.08544651900593,105.77626176700869,102.53085002100852,b,7.13,-2.5545964979974087,336,faceWord_exp,0.6959820089978166,101.36350501900597,180,22,1,21,female,103.06011490999663,image_stim_p.png,42
pos,C,beach,12,11,Monday,31,0.707718099001795,112.0761837970058,1,-2.8031613090757777,117.70164508200833,118.40936318101012,112.59591376699973,b,7.21,-5.1057313150085974,180,faceWord_exp,0.6962087090068962,111.3799750879989,336,22,1,21,female,113.07666719700501,image_stim_p.png,42
pos,C,zoo,13,11,Monday,31,0.6897160410007928,122.1093675709999,1,-2.1296901000704778,125.1353092270001,125.8250252680009,122.44534148200182,b,7.0,-2.6899677449982846,336,faceWord_exp,0.6946083069924498,121.41475926400744,180,22,1,21,female,123.10979327300447,image_stim_p.png,42
neg,C,hospital,14,12,Monday,32,0.6908644089999143,132.1259095310088,1,2.561630339716405,135.15151745500043,135.84238186400034,132.87769114899857,y,3.52,-2.2738263060018653,336,faceWord_exp,0.6955197140050586,131.43038981700374,180,22,1,22,female,133.1263370020024,image_stim_n.png,42
pos,C,oak,15,11,Monday,31,0.6913043550011935,142.14219204201072,1,-1.0543324261381863,147.76769830500416,148.45900266000535,142.67869589600014,b,6.47,-5.089002409004024,180,faceWord_exp,0.695886623012484,141.44630541899824,336,22,1,21,female,143.14268856000854,image_stim_p.png,42
neg,C,bribe,16,12,Monday,32,0.7060204099980183,152.15871582800173,1,2.3815246085651838,155.18635022600938,155.8923706360074,152.51234333199682,y,3.32,-2.674006894012564,336,faceWord_exp,0.6934627019945765,151.46525312600716,180,22,1,22,female,153.15940212100395,image_stim_n.png,42
neg,C,tornado,17,12,Monday,32,0.7078969279973535,162.19215688999975,1,3.6605330306018913,167.81751261600584,168.5254095440032,162.56213924000622,y,3.63,-5.255373375999625,180,faceWord_exp,0.6957372719916748,161.49641961800808,336,22,1,22,female,163.1923860329989,image_stim_n.png,42
neu,C,noun,18,13,Monday,41,0.7078407980006887,172.22516319600982,1,0.11872473318936595,177.85075207000773,178.55859286800842,172.62804467399837,b,5.22,-5.222707396009355,180,faceWord_exp,0.6960477210086538,171.52911547500116,336,22,1,21,female,173.22580802900484,image_stim_p.png,42
neg,C,avalanche,19,12,Monday,32,0.7072038420010358,182.25833727199642,1,3.2148840110758776,187.88461111299694,188.59181495499797,183.69456889900903,y,4.0,-4.190042213987908,180,faceWord_exp,0.6946498039906146,181.5636874680058,336,22,1,22,female,183.2590130030003,image_stim_n.png,42
neu,C,famous,20,13,Monday,41,0.6912787109904457,192.29159494700434,1,-0.8050043475134195,195.31701646200963,196.00829517300008,192.4439313250041,b,5.89,-2.873085137005546,336,faceWord_exp,0.6946587919956073,191.59693615500873,180,22,1,21,female,193.29200709200813,image_stim_p.png,42
neu,C,tomato,21,13,Monday,41,0.6906250070023816,202.3083123230026,1,-1.3575770021145472,205.33414104599797,206.02476605300035,202.71031513399794,b,5.8,-2.6238259120000293,336,faceWord_exp,0.6956729100056691,201.61263941299694,180,22,1,21,female,203.3087220400048,image_stim_p.png,42
neg,C,gasp,22,12,Monday,32,0.6904335879953578,212.32456040500256,1,1.3014161644429498,215.3509650400083,216.04139862800366,213.01076138801,y,4.5,-2.3402036519983085,336,faceWord_exp,0.6959759369929088,211.62858446800965,180,22,1,22,female,213.32521744699625,image_stim_n.png,42
pos,C,pie,23,11,Monday,31,0.7055022369895596,222.3411019490013,1,-2.2727319315779937,225.36910909700964,226.0746113339992,222.52813984200475,b,6.45,-2.840969255004893,336,faceWord_exp,0.6937437509914162,221.6473581980099,180,22,1,21,female,223.34173721300613,image_stim_p.png,42
pos,C,boat,24,11,Monday,31,0.6912683870032197,232.37447080200945,1,-1.0613549170130714,237.9998424869991,238.69111087400233,233.54479929800436,b,6.36,-4.45504318899475,180,faceWord_exp,0.6965547010040609,231.6779161010054,336,22,1,21,female,233.3751001000055,image_stim_p.png,42
pos,C,moral,25,11,Monday,31,0.6910620830021799,242.39098173299863,1,-1.1443669013398097,245.41656029000296,246.10762237300514,242.8452085480094,b,6.85,-2.571351741993567,336,faceWord_exp,0.6956632349902065,241.69531849800842,180,22,1,21,female,243.39155752300576,image_stim_p.png,42
pos,C,limousine,26,11,Monday,31,0.6909343809966231,252.40768496000965,1,-1.4783411251765788,255.43327905600017,256.1242134369968,253.2434032559977,b,6.14,-2.1898758000024827,336,faceWord_exp,0.6953256250126287,251.71235933499702,180,22,1,21,female,253.40807699300058,image_stim_p.png,42
pos,C,happy,27,11,Monday,31,0.7075138840009458,262.42404408199945,1,-3.1501939707833047,268.04990146000637,268.7574153440073,262.6771145439998,b,8.47,-5.372786916006589,180,faceWord_exp,0.6958410669903969,261.72820301500906,336,22,1,21,female,263.42458182900737,image_stim_p.png,42
neu,C,fiddle,28,13,Monday,41,0.6914398100052495,272.4571341499977,1,-1.0601571884744718,275.48241922300076,276.173859033006,273.54257852800947,y,5.05,-1.9398406949912896,336,faceWord_exp,0.6944902839895803,271.76264386600815,180,22,0,21,female,273.45782200200483,image_stim_p.png,42
neu,C,field,29,13,Monday,41,0.6905293140007416,282.47375506600656,1,-0.9990759838186469,285.4999427319999,286.19047204600065,282.79356564499903,b,5.73,-2.706377087000874,336,faceWord_exp,0.6950538780074567,281.7787011879991,180,22,1,21,female,283.473902386002,image_stim_p.png,42
neg,C,alligator,30,12,Monday,32,0.7056175519974204,292.4903527639981,1,1.9014187675556817,298.1179606420046,298.82357819400204,294.0778581909981,y,4.23,-4.040102451006533,180,faceWord_exp,0.692982786000357,291.79736997799773,336,22,1,22,female,293.49060909500986,image_stim_n.png,42
neu,C,rocket,31,13,Monday,41,0.6911167380021652,302.5234899700008,1,-0.17528733847197087,305.5490648900013,306.2401816280035,303.7434241380106,b,5.8,-1.8056407519907225,336,faceWord_exp,0.6955807289923541,301.82790924100846,180,22,1,21,female,303.5240982499963,image_stim_p.png,42
neg,C,hurricane,32,12,Monday,32,0.7077615399903152,312.53963929601014,1,3.648586845460279,318.16550981900946,318.8732713589998,312.94319114100654,y,3.16,-5.222318678002921,180,faceWord_exp,0.6950330470135668,311.84460624899657,336,22,1,22,female,313.54052408800635,image_stim_n.png,42
pos,C,sled,33,11,Monday,31,0.6907537269871682,322.5731256029976,1,-1.9273821271493088,325.59898551100923,326.2897392379964,323.02516040499904,y,6.35,-2.57382510601019,336,faceWord_exp,0.6960398329974851,321.8770857700001,180,22,0,21,female,323.57379109199974,image_stim_p.png,42
pos,C,pineapple,34,11,Monday,31,0.707411340001272,332.5902776820003,1,-1.6708771386143015,338.2155817330058,338.9229930730071,332.59355021300144,b,6.9,-5.622031520004384,180,faceWord_exp,0.6958358109986875,331.8944418710016,336,22,1,21,female,333.59010252200824,image_stim_p.png,42
neu,C,embassy,35,13,Monday,41,0.6899297000054503,342.6230020970106,1,-0.05916451699915906,345.64897083600226,346.3389005360077,343.72616876100074,b,5.3,-1.9228020750015276,336,faceWord_exp,0.6954325060069095,341.9275695910037,180,22,1,21,female,343.62281848699786,image_stim_p.png,42
neu,C,beer,36,13,Monday,41,0.7076406129926909,352.63951947200985,1,-0.9222259722889368,358.2648700770078,358.9725106900005,353.0427054580068,b,5.67,-5.222164619000978,180,faceWord_exp,0.696045786011382,351.94347368599847,336,22,1,21,female,353.6398318700085,image_stim_p.png,42
neg,C,policeman,37,12,Monday,32,0.7053688119922299,362.67273205499805,1,0.397042668763988,368.3006213680055,369.00599017999775,362.89252157200826,b,4.21,-5.408099795997259,180,faceWord_exp,0.6930155769950943,361.97971647800296,336,22,0,22,female,363.67343398800585,image_stim_n.png,42
pos,C,woman,38,11,Monday,31,0.6905030790076125,372.7057513129985,1,-1.7483058493195842,375.7321500620019,376.4226531410095,372.99081670399755,b,7.09,-2.74133335800434,336,faceWord_exp,0.6958113409928046,372.00993997200567,180,22,1,21,female,373.7065390229982,image_stim_p.png,42
neu,C,bridge,39,13,Monday,42,0.6911269049887778,382.7224225020036,1,0.1935892361901769,385.7480127200106,386.43913962499937,383.19170424599724,b,5.44,-2.556308474013349,336,faceWord_exp,0.6959718569996767,382.02645064500393,180,22,0,22,female,383.7229237230058,image_stim_n.png,42
neu,C,corkscrew,40,13,Monday,41,0.6931095530017046,392.7390771700011,1,-0.3369766028281135,398.3623609589995,399.0554705120012,393.20796229199914,b,5.26,-5.1543986670003505,180,faceWord_exp,0.6952858320000814,392.04379133800103,336,22,1,21,female,393.7389887180034,image_stim_p.png,42
neu,C,hamster,41,13,Monday,41,0.7070767519908259,402.7553226050077,1,-1.1856791528275217,408.3810547720059,409.0881315239967,403.07521916300175,b,5.88,-5.305835609004134,180,faceWord_exp,0.6955276210064767,402.0597949840012,336,22,1,21,female,403.75556642700394,image_stim_p.png,42
neg,C,mouse,42,12,Monday,32,0.700176600003033,412.7886419730057,1,1.5906822936049958,418.42179529099667,419.1219718909997,412.9083331599977,b,4.8,-5.51346213099896,180,faceWord_exp,0.6958413420070428,412.0928006309987,336,22,0,22,female,413.78927769300935,image_stim_n.png,42
pos,C,love,43,11,Monday,31,0.7077525299973786,422.8214671980095,1,-2.40140153221556,428.4474416440062,429.15519417400355,423.00786119799886,b,8.0,-5.439580446007312,180,faceWord_exp,0.6959643870068248,422.12550281100266,336,22,1,21,female,423.8222485620063,image_stim_p.png,42
neg,C,commander,44,12,Monday,32,0.7046277449990157,432.85517497800174,1,0.98843671158419,435.8829467410105,436.58757448600954,433.52497835899703,y,4.73,-2.357968382013496,336,faceWord_exp,0.6932178019924322,432.1619571760093,180,22,1,22,female,433.85564913500275,image_stim_n.png,42
neg,C,plot,45,12,Monday,32,0.6912274490023265,442.8881961550069,1,0.2016963621838916,445.91367708100006,446.6049045300024,443.4915847060038,b,4.9,-2.422092374996282,336,faceWord_exp,0.6968367310037138,442.19135942400317,180,22,0,22,female,443.8884242159984,image_stim_n.png,42
neg,C,sandpaper,46,12,Monday,32,0.6916174979996867,452.90465919600683,1,0.5814463879932942,455.9297076410003,456.62132513899996,453.740412885003,b,4.95,-2.1892947559972527,336,faceWord_exp,0.6952586340048583,452.209400562002,180,22,0,22,female,453.9049292830023,image_stim_n.png,42
neg,C,lonely,47,12,Monday,32,0.6905616500007454,462.9536191060033,1,4.010420717126172,465.9806742869987,466.67123593699944,463.49045895200106,y,2.67,-2.490215334997629,336,faceWord_exp,0.694770709000295,462.258848397003,180,22,1,22,female,463.9552054860105,image_stim_n.png,42
pos,C,kiss,48,11,Monday,31,0.7002839650085662,472.9712212010054,1,-2.8785481086132907,478.60402192499896,479.3043058900075,473.92348221600696,b,7.78,-4.680539708992001,180,faceWord_exp,0.6957558360008989,472.2754653650045,336,22,1,21,female,473.970775875001,image_stim_p.png,42
neg,C,diplomat,49,12,Monday,32,0.7002428880077787,483.00428308700793,1,0.13451130194660302,486.0374327949976,486.73767568300536,483.4903358230076,b,4.65,-2.5470969719899585,336,faceWord_exp,0.695429850005894,482.30885323700204,180,22,0,22,female,484.0049462110037,image_stim_n.png,42
neu,C,man,50,13,Monday,42,0.690879682006198,493.03764956400846,1,-0.277657621999038,496.063042505004,496.7539221870102,493.37449529999867,b,5.42,-2.6885472050053068,336,faceWord_exp,0.6963425139983883,492.3413070500101,180,22,0,22,female,494.0380063229968,image_stim_n.png,42
neu,C,fence,51,13,Monday,42,0.7056285110011231,503.0538339659979,1,0.3759356543037889,506.0817754340096,506.78740394501074,504.0241351099976,y,5.05,-2.057640324012027,336,faceWord_exp,0.6934581759996945,502.3603757899982,180,22,1,22,female,504.0546265110024,image_stim_n.png,42
neg,C,meeting,52,12,Monday,32,0.6913581190019613,513.0863958900009,1,0.7573178762670367,518.7125316739985,519.4038897930004,513.3062140999973,b,4.55,-5.40631757400115,180,faceWord_exp,0.6947532449994469,512.3916426450014,336,22,0,22,female,514.0876536569995,image_stim_n.png,42
neu,C,treaty,53,13,Monday,42,0.7078086590045132,523.103934660001,1,-0.7213913907893977,528.7295822099986,529.4373908690031,524.1730639309972,b,5.42,-4.556518279001466,180,faceWord_exp,0.6953887779964134,522.4085458820045,336,22,0,22,female,524.1038851600024,image_stim_n.png,42
neu,C,whale,54,13,Monday,42,0.7069218690012349,533.1369591020048,1,-0.8455595735963974,538.7627219290007,539.4696437980019,533.2896518990019,b,5.81,-5.47307002999878,180,faceWord_exp,0.6957457219978096,532.441213380007,336,22,0,22,female,534.1374059049995,image_stim_n.png,42
pos,C,fun,55,11,Monday,31,0.7072740709991194,543.1703370930045,1,-3.2613064969771037,548.7960774350067,549.5033515060059,543.4891204710002,b,8.37,-5.306956964006531,180,faceWord_exp,0.6959507309948094,542.4743863620097,336,22,1,21,female,544.1705761729972,image_stim_p.png,42
pos,C,new,56,11,Monday,31,0.7072335519915214,553.2035054610024,1,-1.2313279950095668,558.8296828270104,559.5369163790019,553.4236365570105,b,7.68,-5.406046269999933,180,faceWord_exp,0.697154887006036,552.5063505739963,336,22,1,21,female,554.2040799460083,image_stim_p.png,42
neu,C,truck,57,13,Monday,41,0.7080662609951105,563.2357822159975,1,-0.5907285556577869,568.8621179620095,569.5701842230046,564.7222456120071,b,5.16,-4.139872350002406,180,faceWord_exp,0.6948775669879979,562.5409046490095,336,22,1,21,female,564.2373921030085,image_stim_p.png,42
pos,C,plum,58,11,Monday,31,0.7049763720133342,573.2697602230037,1,-1.1648995537800455,578.8977152989974,579.6026916710107,573.9229120560049,b,6.15,-4.974803242992493,180,faceWord_exp,0.6938439899968216,572.5759162330069,336,22,1,21,female,574.270328123006,image_stim_p.png,42
neg,C,jury,59,12,Monday,32,0.707024667004589,583.3196337510017,1,1.7036686386059527,588.9458108539984,589.652835521003,583.7233165770012,b,4.23,-5.222494276997168,180,faceWord_exp,0.7051752050028881,582.6144585459988,336,22,0,22,female,584.3201680700004,image_stim_n.png,42
neu,C,school,60,13,Monday,41,0.6912777600082336,593.3527731310023,1,0.26215401176465297,598.9783081130008,599.669585873009,593.6052460229985,b,5.41,-5.37306209000235,180,faceWord_exp,0.6956156569940504,592.6571574740083,336,22,1,21,female,594.3533251870103,image_stim_p.png,42
