pause_trigger,correct_resp,offset_word,word,word_score_warriner,img,word_trigger,duration_measured_img,onset_img,delay_frames_before,duration_frames,gender,rt,session,ID,delay_frames_after,scan day,word_score_pc,no,duration_measured_word,img_trigger,response,key_t,word_label,age,onset_word,offset_img,pause_trigger_t,condition
41,1,1.7058545999461785,bell,5.67,image_stim_p.png,13,0.6938471000175923,4.7478969999356195,180,42,female,0.6447064999956638,4,Dolly,336,Monday,-0.6996261236875504,1,0.6936870999634266,21,b,5.392603499931283,neu,23,1.012167499982752,5.441744099953212,2.70743529999163,faceWord_exp
42,0,11.762293600011617,journalist,5.3,image_stim_n.png,13,0.6909119000192732,17.40945609996561,336,42,female,0.4253949000267312,4,Dolly,180,Monday,0.18094025084207666,2,0.6970687001012266,22,b,17.83485099999234,neu,23,11.06522489991039,18.100367999984883,12.764374799910001,faceWord_exp
32,1,21.802680999971926,flood,2.76,image_stim_n.png,12,0.6845424000639468,24.8371953999158,180,42,female,0.60365130007267,4,Dolly,336,Monday,3.803034067475641,3,0.6891091000288725,22,y,25.44084669998847,neg,23,21.113571899943054,25.521737799979746,22.804416099912487,faceWord_exp
32,1,31.82656869990751,saw,4.16,image_stim_n.png,12,0.6831136000109836,37.464404099970125,336,42,female,0.3340765000320971,4,Dolly,180,Monday,-0.10198134801944247,4,0.6887741999235004,22,y,37.79848060000222,neg,23,31.13779449998401,38.14751769998111,32.828017799998634,faceWord_exp
32,1,41.849775600014254,stampede,4.48,image_stim_n.png,12,0.6985017999541014,44.88739279995207,180,42,female,0.5834338000277057,4,Dolly,336,Monday,2.7437052692255306,5,0.6860603000968695,22,y,45.47082659997977,neg,23,41.163715299917385,45.58589459990617,42.85137059993576,faceWord_exp
32,1,51.889966599992476,torment,2.53,image_stim_n.png,12,0.6871732999570668,57.52412279997952,336,42,female,0.5215271000051871,4,Dolly,180,Monday,4.5355840269859025,6,0.6917362000094727,22,y,58.04564989998471,neg,23,51.198230399983004,58.21129609993659,52.89189709990751,faceWord_exp
32,1,61.91310229990631,fallacy,4.0,image_stim_n.png,12,0.6867965999990702,67.5482627999736,336,42,female,0.5531673999503255,4,Dolly,180,Monday,2.7422742606943906,7,0.6941570999333635,22,y,68.10143019992393,neg,23,61.21894519997295,68.23505939997267,62.91512859996874,faceWord_exp
31,1,71.93734689999837,honey,7.27,image_stim_p.png,11,0.6984485000139102,77.57634679996409,336,42,female,0.4324433000292629,4,Dolly,180,Monday,-2.066768843681998,8,0.6867579000536352,21,b,78.00879009999335,pos,23,71.25058899994474,78.274795299978,72.93841209996026,faceWord_exp
41,1,81.97734749992378,chestnut,5.68,image_stim_p.png,13,0.6838379999389872,87.61463680001907,336,42,female,0.41832349996548146,4,Dolly,180,Monday,-0.4880378396985329,9,0.6923032000195235,21,b,88.03296029998455,neu,23,81.28504429990426,88.29847479995806,82.97887120000087,faceWord_exp
32,1,92.00060119992122,animosity,3.4,image_stim_n.png,12,0.6880847999127582,95.03215159999672,180,42,female,0.5232408000156283,4,Dolly,336,Monday,3.4698173961771306,10,0.683566499967128,22,y,95.55539240001235,neg,23,91.31703469995409,95.72023639990948,93.0023041999666,faceWord_exp
41,1,102.02431199990679,shoulder,5.1,image_stim_p.png,13,0.6859420000109822,107.65928719996009,336,42,female,0.4525672000600025,4,Dolly,180,Monday,0.12602488928311428,11,0.6922075999900699,21,b,108.11185440002009,neu,23,101.33210439991672,108.34522919997107,103.02570559992455,faceWord_exp
31,1,112.04726869997103,wonder,6.68,image_stim_p.png,11,0.6899319000076503,115.0769333000062,180,42,female,0.5571335999993607,4,Dolly,336,Monday,-2.303583541830637,12,0.6955880000023171,21,b,115.63406690000556,pos,23,111.35168069996871,115.76686520001385,113.04870129993651,faceWord_exp
31,1,122.07208600000013,harmonica,6.32,image_stim_p.png,11,0.6978177999844775,125.1107262999285,180,42,female,0.5154673000797629,4,Dolly,336,Monday,-1.3206920491180312,13,0.6908064000308514,21,b,125.62619360000826,pos,23,121.38127959996928,125.80854409991298,123.07313019991852,faceWord_exp
32,1,132.11180660000537,court,3.52,image_stim_n.png,12,0.686548100085929,135.14452719991095,180,42,female,0.5540512000443414,4,Dolly,336,Monday,2.0765857872261098,14,0.6917555000400171,22,y,135.6985783999553,neg,23,131.42005109996535,135.83107529999688,133.113271899987,faceWord_exp
32,1,142.15175690001342,expensive,3.36,image_stim_n.png,12,0.6982987000374123,147.79188289993908,336,42,female,0.29918760003056377,4,Dolly,180,Monday,-0.3663992490442602,15,0.6961136000463739,22,y,148.09107049996965,neg,23,141.45564329996705,148.4901815999765,143.15339369990397,faceWord_exp
32,1,152.1918346999446,battle,3.52,image_stim_n.png,12,0.6962854999583215,157.8332769999979,336,42,female,0.6485732999863103,4,Dolly,180,Monday,3.668156535681199,16,0.6947236999403685,22,y,158.48185029998422,neg,23,151.49711100000422,158.52956249995623,153.19344149995595,faceWord_exp
