X1,condition,word_label,word_score_pc,img,delay_frames_before,gender,duration_measured_img,key_t,ID,delay_frames_after,word_score_warriner,offset_img,duration_measured_word,rt,word,session,correct_resp,duration_frames,offset_word,response,no,scan.day,age,onset_word,onset_img
1,faceWord_exp,neu,-0.92222597,image_stim_n.png,113,male,0.7123688,4730074e20,EK,159,567,4443111e20,0.6958764,0.999332,beer,1,NA,42,1726513e20,j,1,Tuesday,20,1030636e20,3730742e19
2,faceWord_exp,pos,-2.80316131,image_stim_p.png,107,male,0.6975214,999608e21,EK,150,721,1032649e20,0.689527,0.367109,beach,1,1,42,7809737e19,b,2,Tuesday,20,712021e21,9628971e20
3,faceWord_exp,neu,-0.17528734,image_stim_p.png,178,male,0.7040358,1696451e20,EK,197,58,1724302e20,0.6916772,0.4255187,rocket,1,1,42,1354307e20,b,3,Tuesday,20,1285139e20,1653899e20
4,faceWord_exp,pos,-2.27273193,image_stim_p.png,74,male,0.7069005,2294622e20,EK,154,645,2319406e20,0.6919749,0.4590591,pie,1,1,42,2122631e20,b,4,Tuesday,20,2053434e20,2248716e20
5,faceWord_exp,neu,-1.06015719,image_stim_n.png,252,male,0.7019411,3126312e20,EK,142,505,3139275e20,0.6914895,0.5723121,fiddle,1,NA,42,2646031e20,j,5,Tuesday,20,2576882e20,306908e21
6,faceWord_exp,pos,-1.16489955,image_stim_p.png,144,male,0.7051111,3736273e20,EK,98,615,376093e21,0.6919959,0.4585439,plum,1,1,42,3447614e20,b,6,Tuesday,20,3378415e20,3690419e20
7,faceWord_exp,neg,3.21488401,image_stim_n.png,192,male,0.705292,4347926e20,EK,128,4,4387602e20,0.6916181,0.3085316,avalanche,1,NA,42,3994274e20,j,7,Tuesday,20,3925112e20,4317073e19
8,faceWord_exp,neu,-0.18281188,image_stim_n.png,104,male,0.6896144,489459e21,EK,181,514,4915927e20,0.6920194,0.4762439,spatula,1,0,42,4670932e20,b,8,Tuesday,20,460173e21,4846966e20
9,faceWord_exp,pos,-1.84656375,image_stim_p.png,181,male,0.7006984,5627914e20,EK,125,637,5662581e20,0.691569,0.3540306,wealthy,1,1,42,5287592e19,b,9,Tuesday,20,5218435e20,5592511e20
10,faceWord_exp,neg,3.66053303,image_stim_n.png,184,male,0.7037749,6302906e20,EK,159,363,632091e21,0.6937574,0.5237355,tornado,1,NA,42,5940912e19,j,10,Tuesday,20,5871536e19,6250532e20
11,faceWord_exp,neu,-1.357577,image_stim_n.png,160,male,0.7024469,6982926e20,EK,204,58,6995928e20,0.6919555,0.5724246,tomato,1,NA,42,6655903e20,j,11,Tuesday,20,6586708e20,6925684e20
12,faceWord_exp,neg,0.39704267,image_stim_n.png,155,male,0.6888119,7719456e18,EK,126,421,7735871e20,0.6933899,0.5246597,policeman,1,NA,42,7405888e20,j,12,Tuesday,20,7336549e20,766699e21
13,faceWord_exp,neg,0.58144639,image_stim_n.png,246,male,0.7036626,8464577e19,EK,123,495,8499215e20,0.6934514,0.3572801,sandpaper,1,NA,42,8015884e20,j,13,Tuesday,20,7946539e20,8428849e20
14,faceWord_exp,neu,0.11872473,image_stim_p.png,184,male,0.703969,9142888e19,EK,172,522,9162537e20,0.6943635,0.5074737,noun,1,1,42,8774209e20,b,14,Tuesday,20,8704773e20,909214e21
15,faceWord_exp,neu,0.19358924,image_stim_n.png,121,male,0.7048579,9794545e20,EK,136,544,9809197e20,0.69213,0.5583464,bridge,1,NA,42,9534201e20,j,15,Tuesday,20,9464988e20,9738711e20
16,faceWord_exp,neu,-1.18567915,image_stim_p.png,138,male,0.7040359,1037454e19,EK,120,588,1040919e20,0.6935248,0.3574918,hamster,1,1,42,1010585e20,b,16,Tuesday,20,100365e21,1033879e20
17,faceWord_exp,neg,1.59068229,image_stim_n.png,140,male,0.703195,1095786e20,EK,134,48,1098585e19,0.6918382,0.4233391,mouse,1,NA,42,1067919e20,j,17,Tuesday,20,1061e23,1091553e20
18,faceWord_exp,neg,4.31477513,image_stim_n.png,170,male,0.6890867,1160282e20,EK,194,289,1163417e20,0.6936745,0.3756121,deceit,1,NA,42,1127918e20,j,18,Tuesday,20,1120981e20,1156526e20
19,faceWord_exp,neg,3.45753066,image_stim_n.png,165,male,0.7051014,1235295e20,EK,149,205,1237583e20,0.6945055,0.4763186,victim,1,NA,42,1202757e20,j,19,Tuesday,20,1195812e20,1230532e20
20,faceWord_exp,neu,-0.72139139,image_stim_p.png,111,male,0.6895479,1292949e20,EK,213,542,1295082e20,0.6940586,0.4763162,treaty,1,1,42,1269415e20,b,20,Tuesday,20,1262475e20,1288186e20
21,faceWord_exp,pos,-2.14634378,image_stim_p.png,180,male,0.7054945,1372781e20,EK,173,705,1374914e20,0.6934481,0.492157,lemonade,1,1,42,1337581e20,b,21,Tuesday,20,1330647e20,1367859e19
22,faceWord_exp,pos,-2.1296901,image_stim_p.png,180,male,0.6890567,1446276e20,EK,140,7,1447914e20,0.6900419,0.525206,zoo,1,1,42,1410747e20,b,22,Tuesday,20,1403847e20,1441024e20
23,faceWord_exp,pos,-1.51512865,image_stim_p.png,141,male,0.7039789,1506956e20,EK,199,713,1509079e20,0.6944722,0.4916159,lake,1,1,42,1478246e20,b,23,Tuesday,20,1471301e20,1502039e20
24,faceWord_exp,neg,0.98843671,image_stim_n.png,186,male,0.7022868,1585444e20,EK,200,473,1587579e19,0.6914259,0.4888177,commander,1,NA,42,1549245e20,j,24,Tuesday,20,1542331e20,1580556e20
25,faceWord_exp,neu,-0.05916452,image_stim_n.png,158,male,0.7031518,1659778e19,EK,135,53,1661577e20,0.6938833,0.5232215,embassy,1,NA,42,1627911e20,j,25,Tuesday,20,1620973e20,1654546e20
26,faceWord_exp,pos,-2.40140153,image_stim_p.png,127,male,0.6894336,1718108e20,EK,144,8,1719411e20,0.6943218,0.5591287,love,1,1,42,1691076e19,b,26,Tuesday,20,1684133e19,1712517e20
27,faceWord_exp,neu,-0.84555957,image_stim_p.png,97,male,0.6890736,1771608e20,EK,194,581,1773741e20,0.6953188,0.4757774,whale,1,NA,42,1750419e20,j,27,Tuesday,20,1743466e20,1766851e20
28,faceWord_exp,pos,-1.74830585,image_stim_p.png,217,male,0.7051106,1853108e20,EK,163,709,1856575e20,0.6943148,0.3583709,woman,1,1,42,1813075e20,b,28,Tuesday,20,1806132e20,1849524e20
29,faceWord_exp,neu,-0.3369766,image_stim_p.png,145,male,0.6889759,1920107e17,EK,179,526,1922073e19,0.6943955,0.4923599,corkscrew,1,1,42,1890748e20,b,29,Tuesday,20,1883804e20,1915184e20
30,faceWord_exp,neu,-0.80500435,image_stim_n.png,124,male,0.705287,198494e21,EK,173,589,1986906e20,0.694095,0.5087266,famous,1,NA,42,1958906e20,j,30,Tuesday,20,1951965e20,1979853e20
31,faceWord_exp,neu,-0.59072856,image_stim_p.png,157,male,0.7016405,2054605e20,EK,188,516,205624e21,0.6915252,0.5381667,truck,1,1,42,2022739e20,b,31,Tuesday,20,2015823e20,2049223e19
