X1,offset_img,response,session,no,word,gender,correct_resp,img,word_score_warriner,condition,duration_frames,duration_measured_word,offset_word,age,word_label,ID,delay_frames_before,onset_word,rt,duration_measured_img,onset_img,scan.day,delay_frames_after,key_t,word_score_pc
1,4982207e20,j,2,1,sick,male,NA,image_stim_n.png,229,faceWord_exp,42,0.6996217,1715596e20,20,neg,EK,147,1015974e20,0.9563293,0.7031743,4279033e19,Tuesday,81,5235362e19,3.47386091
2,105155e21,b,2,2,carnival,male,1,image_stim_p.png,648,faceWord_exp,42,0.6912598,7032216e20,20,pos,EK,165,6340957e20,0.506325,0.7031679,9812332e20,Tuesday,192,1031866e20,-2.41142821
3,1623211e19,j,2,3,angry,male,NA,image_stim_n.png,253,faceWord_exp,42,0.6916863,144154e21,20,neg,EK,66,1372371e20,0.3749624,0.6883174,1554379e20,Tuesday,194,1591875e20,3.42964517
4,2348198e20,j,2,4,perjury,male,NA,image_stim_n.png,295,faceWord_exp,42,0.6920675,2016532e20,20,neg,EK,156,1947326e20,0.4591982,0.688986,2279299e20,Tuesday,129,2325219e20,3.22289354
5,2961527e20,b,2,5,tree,male,1,image_stim_p.png,759,faceWord_exp,42,0.6907375,2633193e20,20,pos,EK,153,2564119e19,0.4724846,0.702408,2891287e20,Tuesday,116,2938535e20,-1.3695212
6,3656515e19,j,2,6,highway,male,NA,image_stim_p.png,519,faceWord_exp,42,0.691485,3224852e20,20,neu,EK,215,3155703e20,0.4244732,0.7042975,3586085e20,Tuesday,73,3628532e20,0.65001981
7,4233171e20,j,2,7,problem,male,NA,image_stim_n.png,352,faceWord_exp,42,0.6917075,3848178e20,20,neg,EK,188,3779007e20,0.3425656,0.6892557,4164246e20,Tuesday,160,4198502e20,4.02985566
8,4776499e20,b,2,8,pan,male,0,image_stim_n.png,515,faceWord_exp,42,0.69425,4569839e20,20,neu,EK,81,4500414e20,0.4432827,0.6891635,4707582e20,Tuesday,116,4751911e20,0.32961963
9,5329826e20,b,2,9,whole,male,1,image_stim_p.png,586,faceWord_exp,42,0.6940173,5039827e20,20,neu,EK,131,4970426e20,0.409305,0.6898495,5260841e20,Tuesday,149,5301772e20,0.10630404
10,5983155e20,j,2,10,business,male,NA,image_stim_n.png,548,faceWord_exp,42,0.693676,5648158e20,20,neu,EK,157,5578791e20,0.4581665,0.7052339,5912631e20,Tuesday,172,5958448e20,-0.0605835
11,6694809e20,b,2,11,piano,male,1,image_stim_p.png,64,faceWord_exp,42,0.6919856,6339826e20,20,pos,EK,169,6270627e20,0.4877664,0.7009173,6624717e20,Tuesday,188,6673494e20,-1.79475554
12,7164914e20,j,2,12,scissors,male,NA,image_stim_n.png,503,faceWord_exp,42,0.6936217,7078135e20,20,neu,EK,9,7008773e20,0.6257671,0.6900966,7095905e20,Tuesday,62,7158482e20,0.42720371
13,7684794e20,b,2,13,summer,male,1,image_stim_p.png,75,faceWord_exp,42,0.6938781,7338131e20,20,pos,EK,165,7268744e20,0.5089175,0.6887164,7615922e20,Tuesday,80,7666814e20,-1.76088116
14,8156453e19,b,2,14,eggplant,male,1,image_stim_p.png,555,faceWord_exp,42,0.6937662,7888126e20,20,neu,EK,118,781875e21,0.5091212,0.6890109,8087551e20,Tuesday,146,8138464e20,-0.09980687
15,8814777e20,j,2,15,plea,male,NA,image_stim_n.png,435,faceWord_exp,42,0.6944692,846978e21,20,neg,EK,163,8400333e20,0.5916637,0.7048755,8744289e20,Tuesday,154,8803456e20,2.16648128
16,9379775e20,b,2,16,day,male,1,image_stim_p.png,636,faceWord_exp,42,0.6948245,9141452e20,20,pos,EK,100,907197e21,0.4752983,0.6887247,9310903e20,Tuesday,201,9358433e20,-1.25026587
17,102081e21,b,2,17,asparagus,male,1,image_stim_p.png,543,faceWord_exp,42,0.6937869,9784781e20,20,neu,EK,210,9715402e19,0.4920637,0.705212,1013758e20,Tuesday,144,1018679e20,-0.34443889
18,1070642e20,j,2,18,ricochet,male,NA,image_stim_n.png,475,faceWord_exp,42,0.6911422,1051809e20,20,neg,EK,69,1044897e20,0.5015581,0.6981123,1063661e20,Tuesday,217,1068676e20,1.04823005
19,1143641e19,b,2,19,street,male,1,image_stim_p.png,507,faceWord_exp,42,0.6936072,1113808e20,20,neu,EK,135,1106872e20,0.3913722,0.7053033,1136588e20,Tuesday,209,1140501e20,0.32289266
20,1214641e20,j,2,20,terrorist,male,NA,image_stim_n.png,235,faceWord_exp,42,0.6936413,1185474e20,20,neg,EK,131,1178537e20,0.4917009,0.7050307,120759e21,Tuesday,178,1212507e20,4.53793017
21,1282649e20,j,2,21,van,male,NA,image_stim_n.png,443,faceWord_exp,42,0.6948209,1251306e20,20,neg,EK,144,1244358e20,0.3413198,0.7055278,1275593e19,Tuesday,170,1279007e20,-0.14866519
22,1354138e20,j,2,22,toaster,male,NA,image_stim_n.png,58,faceWord_exp,42,0.6951474,1317984e20,20,neu,EK,173,1311033e20,0.4749374,0.7047738,134709e21,Tuesday,174,135184e21,-0.54510099
23,1431971e20,j,2,23,clang,male,NA,image_stim_n.png,41,faceWord_exp,42,0.6927832,1390137e20,20,neg,EK,208,138321e20,0.4593671,0.6893445,1425077e20,Tuesday,104,1429671e20,1.47229047
24,1480815e20,b,2,24,restaurant,male,1,image_stim_p.png,695,faceWord_exp,42,0.6935226,1456303e20,20,pos,EK,104,1449368e20,0.5254453,0.6899022,1473916e20,Tuesday,186,1479171e20,-2.07028367
25,155947e21,b,2,25,axe,male,0,image_stim_n.png,348,faceWord_exp,42,0.6903353,1518803e20,20,neg,EK,200,15119e22,0.588884,0.7021874,1552448e20,Tuesday,133,1558337e20,0.73211099
26,1615302e20,j,2,26,hoe,male,NA,image_stim_n.png,48,faceWord_exp,42,0.6944987,1588635e20,20,neg,EK,117,158169e21,0.4931296,0.6897463,1608404e20,Tuesday,105,1613336e20,0.26235753
27,1679134e20,j,2,27,landslide,male,NA,image_stim_n.png,476,faceWord_exp,42,0.6938756,1639801e20,20,neg,EK,192,1632862e20,0.5077419,0.7042132,1672092e20,Tuesday,151,1677169e20,3.56171732
28,1745966e20,b,2,28,musical,male,1,image_stim_p.png,768,faceWord_exp,42,0.6938763,17113e22,20,pos,EK,164,1704361e20,0.4092392,0.705689,1738909e20,Tuesday,109,1743002e20,-1.35036428
29,1797133e20,j,2,29,heavy,male,NA,image_stim_n.png,478,faceWord_exp,42,0.6942079,1771132e20,20,neg,EK,113,176419e21,0.4422721,0.6891465,1790241e20,Tuesday,88,1794664e20,1.33936367
30,1848131e20,b,2,30,vacation,male,1,image_stim_p.png,853,faceWord_exp,42,0.6936168,1818798e20,20,pos,EK,133,1811862e20,0.3088668,0.6888816,1841242e20,Tuesday,137,184433e21,-3.15653769
31,1911131e20,j,2,31,excuse,male,NA,image_stim_n.png,452,faceWord_exp,42,0.6917713,1877964e20,20,neg,EK,155,1871047e20,0.4891954,0.7025087,1904106e19,Tuesday,95,1908997e19,2.37338812
32,1963629e20,b,2,32,apartment,male,1,image_stim_p.png,572,faceWord_exp,42,0.6933904,1933962e20,20,neu,EK,135,1927029e20,0.4267468,0.6900627,1956728e20,Tuesday,123,1960996e20,-0.5485436
33,2025795e20,b,2,33,winter,male,1,image_stim_p.png,55,faceWord_exp,42,0.6932512,1991137e20,20,neu,EK,164,1984204e20,0.3748311,0.704757,2018748e20,Tuesday,160,2022496e20,0.34953732
34,2101295e20,b,2,34,embrace,male,1,image_stim_p.png,7,faceWord_exp,42,0.6937172,2059462e20,20,pos,EK,207,2052524e20,0.5082923,0.7048637,2094246e20,Tuesday,168,2099329e20,-2.46191573
35,2167637e20,b,2,35,monkey,male,1,image_stim_p.png,582,faceWord_exp,42,0.6947575,2136304e20,20,neu,EK,144,2129356e20,0.5754443,0.7063086,2160574e20,Tuesday,147,2166328e20,-0.66800041
36,2233793e20,j,2,36,tired,male,NA,image_stim_n.png,429,faceWord_exp,42,0.6941641,2199127e20,20,neg,EK,164,2192185e20,0.5419234,0.7051084,2226741e19,Tuesday,164,2232161e20,2.35187802
37,2314471e20,j,2,37,cough,male,NA,image_stim_n.png,357,faceWord_exp,42,0.6939765,2268125e20,20,neg,EK,234,2261186e19,0.4914539,0.7058908,2307412e20,Tuesday,159,2312327e20,2.48322475
38,2382965e20,b,2,38,chicken,male,1,image_stim_p.png,617,faceWord_exp,42,0.6913541,2347958e20,20,pos,EK,166,2341044e19,0.5360298,0.7001283,2375964e20,Tuesday,79,2381324e20,-1.32055984
