X1,offset_img,condition,duration_measured_word,onset_word,rt,no,session,offset_word,img,duration_measured_img,scan.day,ID,gender,key_t,correct_resp,response,word_label,delay_frames_before,word_score_warriner,word_score_pc,word,duration_frames,onset_img,delay_frames_after,age
1,5569796e20,faceWord_exp,0.7009656,1013405e20,0.4227496,1,3,171437e21,image_stim_p.png,0.7025092,Tuesday,EK,male,5290037e20,1,b,pos,182,662,-1.09304117,goldfish,42,4867287e20,141,20
2,1165303e20,faceWord_exp,0.690633,7929831e20,0.4564603,2,3,8620464e19,image_stim_p.png,0.7030344,Tuesday,EK,male,1140645e20,1,b,pos,138,632,-1.10091215,saxophone,42,1094999e20,163,20
3,1821989e20,faceWord_exp,0.6927546,1437691e20,0.420604,3,3,1506966e20,image_stim_n.png,0.7012899,Tuesday,EK,male,179392e21,0,b,neg,145,432,1.75924049,cold,42,175186e20,105,20
4,2343625e20,faceWord_exp,0.6933476,1997727e20,0.5089079,4,3,2067062e20,image_stim_n.png,0.6888282,Tuesday,EK,male,2325633e20,NA,j,neu,123,555,-0.12329175,faucet,42,2274742e19,175,20
5,2948754e20,faceWord_exp,0.690205,2636267e20,0.5556688,5,3,2705287e20,image_stim_p.png,0.7034877,Tuesday,EK,male,2933973e20,1,b,pos,102,684,-1.72806695,computer,42,2878406e19,150,20
6,3593609e20,faceWord_exp,0.6931626,3199299e20,0.4749723,6,3,3268616e20,image_stim_n.png,0.7049629,Tuesday,EK,male,357061e20,NA,j,neg,151,3,3.42119106,tax,42,3523113e20,184,20
7,429193e21,faceWord_exp,0.6939826,3900859e20,0.5085388,7,3,3970257e20,image_stim_p.png,0.705142,Tuesday,EK,male,427227e21,1,b,pos,149,7,-1.88947782,coffee,42,4221416e20,188,20
8,4975257e20,faceWord_exp,0.6921326,4606053e20,0.5417945,8,3,4675267e20,image_stim_n.png,0.7050403,Tuesday,EK,male,4958932e20,NA,j,neu,136,561,0.59906232,witness,42,4904753e19,151,20
9,5666917e20,faceWord_exp,0.692069,5227711e19,0.6057497,9,3,5296918e20,image_stim_n.png,0.7023364,Tuesday,EK,male,5657258e20,NA,j,neg,178,347,3.58308291,cyclone,42,5596683e19,136,20
10,634857e21,faceWord_exp,0.6938953,5894184e20,0.5244588,10,3,5963574e19,image_stim_n.png,0.7042657,Tuesday,EK,male,6330589e20,NA,j,neu,187,534,-0.17938607,patent,42,6278143e18,201,20
11,7118674e20,faceWord_exp,0.6906518,6684509e20,0.4707444,11,3,6753574e20,image_stim_n.png,0.70185090000000006,Tuesday,EK,male,7095563e20,NA,j,neg,175,418,1.91977,belch,42,7048489e20,152,20
12,7740217e20,faceWord_exp,0.691302,7372756e20,0.3588587,12,3,7441887e20,image_stim_n.png,0.705332,Tuesday,EK,male,770557e21,NA,j,neg,135,345,3.60179409,grievance,42,7669684e20,59,20
13,8173543e20,faceWord_exp,0.6907529,7839472e20,0.4585311,13,3,7908548e20,image_stim_p.png,0.6888375,Tuesday,EK,male,8150513e20,1,b,neu,116,589,-1.00488419,gum,42,8104659e20,170,20
14,8891879e20,faceWord_exp,0.6926393,8457609e20,0.4752651,14,3,8526873e20,image_stim_p.png,0.705213,Tuesday,EK,male,8868884e20,NA,j,pos,175,7,-1.99509716,park,42,8821358e20,182,20
15,951686e21,faceWord_exp,0.6938942,9195804e20,0.4401659,15,3,9265194e20,image_stim_p.png,0.7035775,Tuesday,EK,male,9490518e20,1,b,pos,107,629,-1.6804307,flute,42,9446502e20,123,20
16,1018852e20,faceWord_exp,0.6934342,9722516e20,0.6086175,16,3,979186e21,image_stim_p.png,0.7052495,Tuesday,EK,male,1017885e19,1,b,neu,194,57,0.07332603,jungle,42,1011799e20,178,20
17,1086857e20,faceWord_exp,0.6920878,1048597e20,0.5385756,17,3,1055518e20,image_stim_n.png,0.7024441,Tuesday,EK,male,1085218e20,0,b,neg,143,328,2.30689799,trial,42,1079833e20,175,20
18,1154183e20,faceWord_exp,0.6934526,1116087e20,0.5083969,18,3,1123021e20,image_stim_p.png,0.7048811,Tuesday,EK,male,1152218e20,1,b,pos,143,711,-1.90026118,couple,42,1147135e20,107,20
19,1215349e20,faceWord_exp,0.6939744,1172078e20,0.542106,19,3,1179017e20,image_stim_p.png,0.7053029,Tuesday,EK,male,1213717e20,1,b,pos,174,725,-1.60190475,family,42,1208296e20,134,20
20,1285348e20,faceWord_exp,0.6946414,1237744e20,0.4915832,20,3,1244691e20,image_stim_p.png,0.7047575,Tuesday,EK,male,1283216e20,1,b,pos,200,715,-1.94989982,symphony,42,1278301e20,177,20
21,135618e21,faceWord_exp,0.6947768,13149e22,0.5417135,21,3,1321848e20,image_stim_n.png,0.7049115,Tuesday,EK,male,1354548e20,NA,j,neu,162,595,-0.68841714,egg,42,1349131e20,127,20
22,141168e21,faceWord_exp,0.6948879,1377408e20,0.5609754,22,3,1384357e20,image_stim_p.png,0.6906576,Tuesday,EK,male,1410383e20,1,b,pos,121,718,-1.77601448,island,42,1404773e20,129,20
23,146518e21,faceWord_exp,0.6940545,1433238e20,0.4103393,23,3,1440179e20,image_stim_n.png,0.6894942,Tuesday,EK,male,1462388e20,NA,j,neg,107,211,3.61297492,criminal,42,1458285e20,92,20
24,1517011e20,faceWord_exp,0.6920945,1480591e20,0.4548427,24,3,1487512e20,image_stim_p.png,0.7020751,Tuesday,EK,male,1514539e20,1,b,pos,133,821,-3.23060792,joy,42,1509991e20,106,20
25,1575678e20,faceWord_exp,0.6937114,1534741e20,0.4930731,25,3,1541678e20,image_stim_n.png,0.7053052,Tuesday,EK,male,1573555e20,NA,j,neu,160,573,0.30770997,reality,42,1568625e20,102,20
26,1634843e20,faceWord_exp,0.6939318,1592738e20,0.5255718,26,3,1599677e20,image_stim_n.png,0.7053026,Tuesday,EK,male,1633046e20,NA,j,neg,167,395,1.88022247,dusty,42,162779e21,205,20
27,1700176e20,faceWord_exp,0.6936441,1669073e20,0.524137,27,3,1676009e17,image_stim_p.png,0.7039292,Tuesday,EK,male,1698378e20,1,b,neu,101,51,0.05858023,cabinet,42,1693136e20,119,20
28,1768008e19,faceWord_exp,0.6945004,1720064e20,0.5415033,28,3,1727009e20,image_stim_n.png,0.7052101,Tuesday,EK,male,1766371e19,NA,j,neu,202,563,-0.2307175,pen,42,1760956e20,175,20
29,1823841e19,faceWord_exp,0.6942965,1797232e20,0.5260017,29,3,1804175e20,image_stim_n.png,0.6891626,Tuesday,EK,male,1822209e20,NA,j,neu,75,575,0.50626956,year,42,1816949e20,98,20
30,1884173e20,faceWord_exp,0.6935823,1840238e20,0.5416701,30,3,1847174e20,image_stim_n.png,0.7049923,Tuesday,EK,male,188254e21,NA,j,neg,178,457,0.79626545,reporter,42,1877123e20,177,20
31,196084e21,faceWord_exp,0.6916705,1913756e20,0.5014715,31,3,1920673e20,image_stim_p.png,0.6983757,Tuesday,EK,male,1958871e20,1,b,neu,197,572,0.20373951,plane,42,1953856e20,143,20
32,2015172e20,faceWord_exp,0.6946387,1984733e20,0.5935183,32,3,1991679e20,image_stim_n.png,0.6895114,Tuesday,EK,male,2014212e20,NA,j,neu,98,548,0.20463314,glass,42,2008277e20,132,20
33,2077171e20,faceWord_exp,0.6938267,2037233e20,0.3590513,33,3,2044171e20,image_stim_n.png,0.7053272,Tuesday,EK,male,2073708e20,NA,j,neg,154,34,3.41722096,delirium,42,2070118e20,72,20
34,2126336e20,faceWord_exp,0.6945509,2089225e20,0.3423219,34,3,2096171e20,image_stim_p.png,0.6888148,Tuesday,EK,male,2122871e20,1,b,pos,138,711,-2.09849014,rose,42,2119448e20,167,20
35,218267e21,faceWord_exp,0.6942005,2154227e20,0.5094375,35,3,2161169e20,image_stim_n.png,0.6893888,Tuesday,EK,male,218087e21,NA,j,neg,86,468,0.41231466,foot,42,2175776e20,177,20
36,2239669e20,faceWord_exp,0.694386,2212225e20,0.4929068,36,3,2219169e20,image_stim_p.png,0.6893859,Tuesday,EK,male,2237704e20,1,b,pos,80,675,-1.08419432,bird,42,2232775e20,188,20
37,2308669e20,faceWord_exp,0.6944846,2271056e20,0.5249772,37,3,2278001e20,image_stim_n.png,0.7051258,Tuesday,EK,male,2306868e20,NA,j,neu,140,558,-0.94534014,tuba,42,2301618e19,142,20
38,2386e23,faceWord_exp,0.6909457,2332424e19,0.47248830000000003,38,3,2339334e20,image_stim_p.png,0.7021912,Tuesday,EK,male,2383703e20,1,b,pos,236,675,-1.21267843,agreement,42,2378978e20,95,20
39,2432833e19,faceWord_exp,0.6943948,2401889e20,0.5423022,39,3,2408833e19,image_stim_p.png,0.6891002,Tuesday,EK,male,2431365e20,1,b,pos,101,748,-2.22873799,hope,42,2425942e20,171,20
40,2490832e19,faceWord_exp,0.6938011,2461395e20,0.5581718,40,3,2468333e20,image_stim_n.png,0.7048699,Tuesday,EK,male,2489365e20,NA,j,neg,91,46,0.04118445,cabbage,42,2483783e20,125,20
41,2546831e20,faceWord_exp,0.6947715,2511717e17,0.4923794,41,3,2518665e20,image_stim_p.png,0.6889765,Tuesday,EK,male,2544865e19,1,b,pos,126,663,-1.41069285,car,42,2539942e20,142,20
