X1,img,scan.day,onset_word,delay_frames_before,correct_resp,word_score_pc,condition,duration_frames,duration_measured_word,gender,no,offset_word,word_score_warriner,key_t,ID,word,delay_frames_after,duration_measured_img,response,session,age,onset_img,word_label,rt,offset_img
1,image_stim_n.png,Tuesday,1011636e20,134,NA,2.69782709,faceWord_exp,42,0.7020347,male,1,1713671e20,302,4467381e20,EK,scream,135,0.726435,j,4,20,4070522e20,neg,0.3968598,4796957e20
2,image_stim_n.png,Tuesday,7054694e20,186,NA,3.80303407,faceWord_exp,42,0.6932761,male,2,774797e21,276,1120036e20,EK,flood,98,0.703148,j,4,20,1087707e20,neg,0.3232898,1158022e20
3,image_stim_p.png,Tuesday,1322282e20,148,1,-1.50828361,faceWord_exp,42,0.6906811,male,3,139135e21,617,1688359e20,EK,kitchen,110,0.702139,b,4,20,1641139e20,pos,0.4722024,1711353e19
4,image_stim_p.png,Tuesday,1895361e19,246,1,-1.52153299,faceWord_exp,42,0.6931627,male,4,1964678e19,652,2426687e20,EK,bread,91,0.7039425,b,4,20,2377617e20,pos,0.4907032,2448011e20
5,image_stim_p.png,Tuesday,2600426e20,88,1,-1.20947612,faceWord_exp,42,0.6924252,male,5,2669669e20,673,288672e20,EK,parent,112,0.7042874,b,4,20,2819213e20,pos,0.6750669,2889642e19
6,image_stim_p.png,Tuesday,3077226e20,91,1,-1.17416437,faceWord_exp,42,0.691738,male,6,31464e22,723,3351621e20,EK,bay,52,0.7032403,b,4,20,3301008e20,pos,0.5061295,3371332e20
7,image_stim_n.png,Tuesday,3458622e19,128,NA,3.99747402,faceWord_exp,42,0.6936271,male,7,3527985e20,255,38e25,EK,accident,70,0.7031169,j,4,20,3744341e20,neg,0.5565864,3814653e19
8,image_stim_p.png,Tuesday,3931992e19,130,1,-0.40660389,faceWord_exp,42,0.6933034,male,8,4001322e20,579,4266648e20,EK,baseball,262,0.6894979,b,4,20,4220696e20,neu,0.4595154,4289646e20
9,image_stim_n.png,Tuesday,4726999e20,131,NA,0.35458614,faceWord_exp,42,0.6940508,male,9,4796404e20,509,5068307e20,EK,put,193,0.7049948,j,4,20,501747e21,neu,0.5083703,508797e21
10,image_stim_p.png,Tuesday,5410205e20,67,1,-1.68591022,faceWord_exp,42,0.6942541,male,10,547963e21,642,5644923e20,EK,truce,88,0.6888035,b,4,20,5594097e20,pos,0.5082582,5662978e20
11,image_stim_p.png,Tuesday,5810314e20,151,1,-2.30358354,faceWord_exp,42,0.693188,male,11,5879633e20,668,617829e21,EK,wonder,164,0.6895379,b,4,20,6134e23,pos,0.4429018,6202954e20
12,image_stim_n.png,Tuesday,6477281e20,130,NA,0.19555717,faceWord_exp,42,0.6902447,male,12,6546305e20,495,6814971e20,EK,majority,122,0.701976,j,4,20,6766079e20,neg,0.4889209,6836276e20
