X1,ID,duration_measured_img,delay_frames_after,correct_resp,response,offset_word,no,key_t,word_label,gender,condition,offset_img,duration_frames,rt,onset_img,word_score_warriner,onset_word,duration_measured_word,word,img,session,word_score_pc,scan.day,delay_frames_before,age
1,EK,0.7040631,114,NA,j,1712962e20,1,5399879e20,neu,male,faceWord_exp,5563118e19,42,0.5408234,4859055e20,595,1012798e20,0.7001639,corn,image_stim_n.png,5,-1.235914275,Tuesday,182,20
2,EK,0.7024545,132,NA,j,8162931e20,2,1191587e20,neg,male,faceWord_exp,1209629e20,42,0.5220322,1139384e20,371,7471987e20,0.6909443,ambulance,image_stim_n.png,5,2.246813641,Tuesday,192,20
3,EK,0.7041306,162,NA,j,1499729e20,3,1814959e20,neu,male,faceWord_exp,1842944e20,42,0.4242802,1772531e20,511,1430515e20,0.6921392,newspaper,image_stim_n.png,5,0.330993614,Tuesday,162,20
4,EK,0.7040226,136,1,b,2182938e20,4,2654946e20,pos,male,faceWord_exp,2672937e19,42,0.5241107,2602535e20,751,211367e21,0.692679,cash,image_stim_p.png,5,-1.687252693,Tuesday,249,20
5,EK,0.7042279,140,1,b,2974593e20,5,3199924e20,pos,male,faceWord_exp,321629e21,42,0.5405663,3145868e20,656,2900496e19,0.7409687,tea,image_stim_p.png,5,-1.410303557,Tuesday,95,20
6,EK,0.7039889,126,1,b,3522923e20,6,3801594e20,pos,male,faceWord_exp,3826254e20,42,0.4573884,3755855e20,641,3453826e20,0.6909645,morning,image_stim_p.png,5,-1.211925852,Tuesday,138,20
7,EK,0.7039172,114,1,b,4106248e20,7,4419899e20,pos,male,faceWord_exp,4439586e20,42,0.5070453,4369195e20,705,4036967e19,0.6928102,book,image_stim_p.png,5,-1.142980924,Tuesday,156,20
8,EK,0.7018096,138,1,b,4699561e20,8,5096501e20,pos,male,faceWord_exp,5129564e19,42,0.37118,5059383e20,705,4630237e20,0.6932449,cherry,image_stim_p.png,5,-1.744123446,Tuesday,214,20
9,EK,0.7063449,134,1,b,5429558e19,9,5768207e20,pos,male,faceWord_exp,5794664e20,42,0.4417677,572403e21,685,5360111e20,0.6944686,awe,image_stim_p.png,5,-2.142805983,Tuesday,175,20
10,EK,0.6894428,159,NA,j,6087887e20,10,6304895e20,neu,male,faceWord_exp,6317902e19,42,0.5593709,6248958e20,579,6018501e20,0.6938621,carrot,image_stim_n.png,5,-0.32385553500000003,Tuesday,95,20
11,EK,0.7018348,155,NA,j,6652824e20,11,6918238e20,neg,male,faceWord_exp,6937872e20,42,0.5054926,6867688e19,45,6583734e19,0.6908951,election,image_stim_n.png,5,0.571256085,Tuesday,127,20
12,EK,0.7031728,186,1,b,7266206e20,12,7484879e20,neu,male,faceWord_exp,7504533e20,42,0.5066264,7434216e20,528,7196808e20,0.6939766,ticket,image_stim_p.png,5,-0.750223965,Tuesday,99,20
13,EK,0.7052858,163,1,b,7884553e20,13,819823e21,neu,male,faceWord_exp,8179522e20,42,0.8923625,8108993e20,538,7815077e20,0.694761,clue,image_stim_p.png,5,0.079929733,Tuesday,133,20
14,EK,0.7046677,207,1,b,852119e21,14,8804849e20,neu,male,faceWord_exp,8834516e20,42,0.4080001,8764049e20,558,8451738e20,0.6945263,dime,image_stim_p.png,5,-0.822006693,Tuesday,144,20
15,EK,0.7050358,188,NA,j,924951e21,15,9594834e20,neg,male,faceWord_exp,9621171e20,42,0.4416644,9550668e20,258,9180319e20,0.6919113,jealousy,image_stim_n.png,5,3.693241029,Tuesday,179,20
16,EK,0.7055676,208,NA,j,100045e20,16,1038819e20,neu,male,faceWord_exp,1040616e20,42,0.5258273,1033561e20,584,9935121e20,0.6937473,umbrella,image_stim_n.png,5,0.002541127,Tuesday,197,20
