scan day,duration_frames,word_score_pc,duration_measured_word,word_score_warriner,img,duration_measured_img,img_trigger,gender,offset_word,onset_img,ID,pause_trigger,correct_resp,rt,delay_frames_before,word,age,onset_word,offset_img,session,key_t,condition,pause_trigger_t,word_label,word_trigger,response,no,delay_frames_after
Monday,42,-0.02119054453060663,0.6785359000205062,5.97,image_stim_n.png,0.6907145999721251,22,female,1.6905547000351362,4.765554100042209,2,42,0,-2.608157899987418,180,power,22,1.01201880001463,5.456268700014334,2,2.157396200054791,faceWord_exp,2.69044890004443,neu,13,b,1,336
Monday,42,0.1106807997481866,0.6835490999510512,5.65,image_stim_p.png,0.6801975999842398,21,female,11.75737730000401,14.843648000038229,2,41,1,-1.418745500035584,180,theory,22,11.073828200052958,15.523845600022469,2,13.424902500002645,faceWord_exp,12.757729100005236,neu,13,b,2,336
Monday,42,0.2623575316864496,0.6894021000480279,4.8,image_stim_n.png,0.6889024000265636,22,female,21.822032200056128,24.88276720000431,2,32,1,-1.959012699953746,180,hoe,22,21.1326301000081,25.571669600030873,2,22.923754500050563,faceWord_exp,22.82378560001962,neg,12,y,3,336
Monday,42,3.4296451702105397,0.6821651000063866,2.53,image_stim_n.png,0.6799844999914058,22,female,31.870960200030822,34.94061800005147,2,32,1,-2.4681111000245437,180,angry,22,31.188795100024436,35.62060250004288,2,32.47250690002693,faceWord_exp,32.872523300000466,neg,12,y,4,336
Monday,42,0.2032181950076048,0.6960086000035517,4.57,image_stim_n.png,0.6911060999846086,22,female,41.91816400003154,47.55971220001811,2,32,0,-5.071706599963363,336,lab,22,41.22215540002799,48.25081830000272,2,42.48800560005475,faceWord_exp,42.9189232000499,neg,12,b,5,180
Monday,42,2.166481281776448,0.6941661000018939,4.35,image_stim_n.png,0.6782668000087142,22,female,51.951755100046284,57.57199910003692,2,32,1,-4.618398000020534,336,plea,22,51.25758900004439,58.25026590004563,2,52.953601100016385,faceWord_exp,52.95302559999982,neg,12,y,6,180
Monday,42,-1.2978987804410356,0.6902889999910258,6.76,image_stim_p.png,0.6877201999886893,21,female,61.950446900038514,67.59474260004936,2,31,1,-5.3094927000347525,336,artist,22,61.26015790004749,68.28246280003805,2,62.285249900014605,faceWord_exp,62.94975150004029,pos,11,b,7,180
Monday,42,-0.09980687036967174,0.6883907999726944,5.55,image_stim_n.png,0.6864579999819398,22,female,71.98258760001045,77.61053320002975,2,42,0,-5.395491999981459,336,eggplant,22,71.29419680003775,78.29699120001169,2,72.21504120004829,faceWord_exp,72.98396870004945,neu,13,b,8,180
Monday,42,-1.5621536719325724,0.6917740000062622,6.81,image_stim_p.png,0.681251100031659,21,female,81.99671680002939,87.61515420000069,2,31,1,-4.913364199979696,336,sailboat,22,81.30494280002313,88.29640530003235,2,82.70179000002099,faceWord_exp,82.99928770004772,pos,11,b,9,180
Monday,42,-0.6680004122251881,0.69087039999431,5.82,image_stim_n.png,0.6788936000084504,22,female,91.9965191000374,97.6665856000036,2,42,0,-4.867888899985701,336,monkey,22,91.3056487000431,98.34547920001205,2,92.7986967000179,faceWord_exp,92.99771560000954,neu,13,b,10,180
Monday,42,0.17918122123944408,0.6838249000138603,5.27,image_stim_p.png,0.6811937000020407,21,female,102.04520370002137,107.67884890001733,2,41,1,-5.098197599989362,336,verb,22,101.36137880000751,108.36004260001937,2,102.58065130002797,faceWord_exp,103.04605920001632,neu,13,b,11,180
Monday,42,-0.34443889393116306,0.6845555999898352,5.43,image_stim_p.png,0.6837647000211291,21,female,112.05970390001312,117.69249200000195,2,41,1,-5.179833699949086,336,asparagus,22,111.37514830002328,118.37625670002308,2,112.51265830005286,faceWord_exp,113.05991910002194,neu,13,b,12,180
Monday,42,0.0657349158769076,0.6863776000100188,5.29,image_stim_n.png,0.6793388000223786,22,female,122.0765610000235,125.11130340001546,2,42,0,-2.3670480999862775,180,camel,22,121.39018340001348,125.79064220003784,2,122.74425530002918,faceWord_exp,123.07812310004374,neu,13,b,13,336
