delay_frames_after,no,onset_img,ID,response,word_score_pc,offset_word,key_t,word,duration_frames,delay_frames_before,correct_resp,duration_measured_word,condition,word_trigger,session,word_score_warriner,onset_word,offset_img,age,pause_trigger,img,duration_measured_img,pause_trigger_t,scan day,gender,rt,word_label,img_trigger
120,1,4.631517699977849,JSN,y,0.98843671158419,1.2845745999948122,6.117286399996374,commander,18,200,1,0.288815700012492,faceWord_exp,12,1,4.73,0.9957588999823201,4.917068199982168,23,32,image_stim_n.png,0.2855505000043195,2.2848139999841806,Monday,female,1.4857687000185251,neg,22
200,2,9.230241899989778,JSN,b,0.11872473318936595,7.217548499989789,10.250335599994287,noun,18,120,1,0.29713489999994636,faceWord_exp,13,1,5.22,6.920413599989843,9.516990099975374,23,41,image_stim_p.png,0.2867481999855954,8.217383699986385,Monday,female,1.0200937000045087,neu,21
120,3,16.49527859999216,JSN,y,-0.05916451699915906,13.149509199982276,17.416551000002073,embassy,18,200,1,0.2950162999914028,faceWord_exp,13,1,5.3,12.854492899990873,16.78264359998866,23,42,image_stim_n.png,0.2873649999964982,14.149495899997419,Monday,female,0.9212724000099115,neu,22
200,4,21.093700600002194,JSN,b,-1.0613549170130714,19.08195490000071,21.549228799995035,boat,18,120,1,0.29648860002635047,faceWord_exp,11,1,6.36,18.78546629997436,21.382005099992966,23,31,image_stim_p.png,0.28830449999077246,20.082548299978953,Monday,female,0.4555281999928411,pos,21
120,5,28.359787699999288,JSN,y,-0.31568469709749714,25.015109799976926,28.915026199974818,tourist,18,200,1,0.29690299998037517,faceWord_exp,13,1,5.71,24.71820679999655,28.647694699990097,23,42,image_stim_n.png,0.2879069999908097,26.01514689999749,Monday,female,0.5552384999755304,neu,22
200,6,32.9593382999883,JSN,y,0.13451130194660302,30.947398899996188,34.014052699989406,diplomat,18,120,1,0.29548000000067987,faceWord_exp,12,1,4.65,30.651918899995508,33.246740699978545,23,32,image_stim_n.png,0.287402399990242,31.947780299989972,Monday,female,1.054714400001103,neg,22
120,7,40.22556399999303,JSN,y,-0.7213913907893977,36.87996619998012,40.779928199975984,treaty,18,200,1,0.29731799999717623,faceWord_exp,13,1,5.42,36.58264819998294,40.512749599991366,23,42,image_stim_n.png,0.28718559999833815,37.88038570000208,Monday,female,0.554364199982956,neu,22
200,8,44.823954499996034,JSN,b,0.1935892361901769,42.81232109997654,45.312912399997,bridge,18,120,1,0.29573279997566715,faceWord_exp,13,1,5.44,42.516588300000876,45.112438199983444,23,41,image_stim_p.png,0.28848369998740964,43.81299399997806,Monday,female,0.48895790000096895,neu,21
120,9,52.090592099993955,JSN,b,0.26215401176465297,48.74542919997475,52.561845999996876,school,18,200,1,0.2966514999861829,faceWord_exp,13,1,5.41,48.44877769998857,52.37821179997991,23,41,image_stim_p.png,0.28761969998595305,49.74562109998078,Monday,female,0.471253900002921,neu,21
200,10,56.68963169999188,JSN,b,-2.3673221107876317,54.67737039999338,57.21144629997434,garden,18,120,1,0.29677970000193454,faceWord_exp,11,1,7.25,54.380590699991444,56.97732399997767,23,31,image_stim_p.png,0.2876922999857925,55.678131299995584,Monday,female,0.5218145999824628,pos,21
