response,pause_trigger_t,img_trigger,delay_frames_before,age,word_score_pc,word,duration_measured_word,duration_measured_img,key_t,ID,session,rt,delay_frames_after,word_score_warriner,word_label,offset_word,img,onset_word,word_trigger,pause_trigger,condition,gender,onset_img,duration_frames,scan day,no,offset_img,correct_resp
y,2.3007463999965694,22,200,23,3.227422121163128,riot,0.27460199999040924,0.27508819999638945,5.034196000022348,JSN,5,0.3437329000153113,120,3.15,neg,1.2994758000131696,image_stim_n.png,1.0248738000227604,12,32,faceWord_exp,female,4.690463100007037,18,Tuesday,1,4.965551300003426,1
y,8.26667370001087,22,120,23,-0.4963231956276321,hairbrush,0.27425280000898056,0.2764768000051845,9.917402300023241,JSN,5,0.5950719000247773,200,5.95,neu,7.265372100024251,image_stim_n.png,6.991119300015271,13,42,faceWord_exp,female,9.322330399998464,18,Tuesday,2,9.598807200003648,1
y,14.23279150002054,22,200,23,0.3309936143559913,newspaper,0.2818179000169039,0.2794784999859985,17.133327999996254,JSN,5,0.5149883999838494,120,5.11,neu,13.23132760002045,image_stim_n.png,12.949509700003546,13,42,faceWord_exp,female,16.618339600012405,18,Tuesday,3,16.897818099998403,1
b,20.198579200019594,21,120,23,-1.4373817092238501,drum,0.2851370999997016,0.2784739999915473,21.86638320001657,JSN,5,0.6142304000095464,200,6.05,pos,19.19735950001632,image_stim_p.png,18.912222400016617,11,31,faceWord_exp,female,21.252152800007025,18,Tuesday,4,21.530626799998572,1
b,26.164837800024543,21,200,23,-2.9544920916265727,friendly,0.28051630000118166,0.2807176999922376,29.164790100010578,JSN,5,0.6161583999928553,120,7.84,pos,25.1631078000064,image_stim_p.png,24.88259150000522,11,31,faceWord_exp,female,28.548631700017722,18,Tuesday,5,28.82934940000996,1
y,32.13045510000666,22,120,23,3.693241029119933,jealousy,0.2810749000054784,0.2775561999878846,33.69742860001861,JSN,5,0.5130368999962229,200,2.58,neg,31.12935760000255,image_stim_n.png,30.84828269999707,12,32,faceWord_exp,female,33.18439170002239,18,Tuesday,6,33.46194790001027,1
y,38.0964625000197,22,200,23,-0.32385553549685003,carrot,0.2838120000087656,0.2819737000099849,41.04633690000628,JSN,5,0.5670952000073157,120,5.79,neu,37.09525470001972,image_stim_n.png,36.81144270001096,13,42,faceWord_exp,female,40.479241699998965,18,Tuesday,7,40.76121540000895,1
b,44.062329100008355,21,200,23,-2.249771083793789,intellect,0.28596000000834465,0.2789286999905016,47.062514200020814,JSN,5,0.614440100005595,120,6.62,pos,43.06097970000701,image_stim_p.png,42.775019699998666,11,31,faceWord_exp,female,46.44807410001522,18,Tuesday,8,46.72700280000572,1
b,50.02766469999915,21,120,23,-2.641671297166366,peaceful,0.286905899993144,0.28029390002484433,52.26195139999618,JSN,5,1.1825154999969527,200,8.0,pos,49.02707300000475,image_stim_p.png,48.740167100011604,11,31,faceWord_exp,female,51.079435899999226,18,Tuesday,9,51.35972980002407,1
b,55.99401370002306,21,200,23,0.002541127499528235,umbrella,0.28556590000516735,0.28041080001275986,58.71123060001992,JSN,5,0.3324391000205651,120,5.84,neu,54.99272190002375,image_stim_p.png,54.707156000018585,13,41,faceWord_exp,female,58.37879149999935,18,Tuesday,10,58.65920230001211,1
