word,word_trigger,pause_trigger,word_label,pause_trigger_t,no,onset_word,word_score_pc,rt,age,img,correct_resp,delay_frames_before,delay_frames_after,scan day,offset_img,gender,ID,onset_img,duration_frames,word_score_warriner,offset_word,condition,session,key_t,duration_measured_word,duration_measured_img,response,img_trigger
mushroom,13,41,neu,2.715135606005788,1,1.0174522940069437,0.08756588783899029,0.4543004249862861,22,image_stim_p.png,1,180,336,Monday,5.498007679008879,female,PK,4.79778703401098,42,5.61,1.7143160949926823,faceWord_exp,5,5.252087458997266,0.6968638009857386,0.7002206449978985,b,21
screech,12,32,neg,12.799355814000592,2,11.107042543007992,2.424733943851676,0.585533351986669,22,image_stim_n.png,1,336,180,Monday,18.132366334000835,female,PK,17.43478910700651,42,3.5,11.798397815000499,faceWord_exp,5,18.020322458993178,0.6913552719925065,0.6975772269943263,y,22
morning,11,31,pos,22.833179116016254,3,21.14350530601223,-1.211925852261804,0.3349782139994204,22,image_stim_p.png,1,180,336,Monday,25.566265514004044,female,PK,24.867878165008733,42,6.41,21.832436722004786,faceWord_exp,5,25.202856379008153,0.6889314159925561,0.6983873489953112,b,21
riot,12,32,neg,32.86728014101391,4,31.174422409007093,3.227422121163128,0.3708592290058732,22,image_stim_n.png,1,336,180,Monday,38.20041409000987,female,PK,37.499925598007394,42,3.15,31.866656325000804,faceWord_exp,5,37.87078482701327,0.692233915993711,0.7004884920024779,y,22
tangerine,11,31,pos,42.90145696699619,5,41.20958107401384,-1.178487968131687,0.38415334798628464,22,image_stim_p.png,1,336,180,Monday,48.23434803701821,female,PK,47.53670512101962,42,6.81,41.90051147300983,faceWord_exp,5,47.92085846900591,0.6909303989959881,0.6976429159985855,b,21
wit,11,31,pos,52.93449467400205,6,51.24437747299089,-1.2397352233188434,0.3716987759980839,22,image_stim_p.png,1,180,336,Monday,55.66844458199921,female,PK,54.967517253011465,42,7.25,51.93453304699506,faceWord_exp,5,55.33921602900955,0.6901555740041658,0.7009273289877456,b,21
dread,12,32,neg,62.96923263199278,7,61.275676393008325,4.006417686109669,0.2880789979826659,22,image_stim_n.png,1,336,180,Monday,68.30239582600188,female,PK,67.60213684101473,42,3.0,61.96860279500834,faceWord_exp,5,67.89021583899739,0.6929264020000119,0.7002589849871583,y,22
penguin,11,31,pos,73.00343945599161,8,71.31130393399508,-1.2194148821621404,0.5048510210181121,22,image_stim_p.png,1,336,180,Monday,78.33652222601813,female,PK,77.6359514729993,42,6.65,72.00264553399757,faceWord_exp,5,78.14080249401741,0.6913416000024881,0.7005707530188374,b,21
friendly,11,31,pos,83.03730993001955,9,81.34516883999459,-2.9544920916265727,0.42115095700137317,22,image_stim_p.png,1,180,336,Monday,85.77026956100599,female,PK,85.0694060800015,42,7.84,82.0366314779967,faceWord_exp,5,85.49055703700287,0.6914626380021218,0.7008634810044896,b,21
mosquito,12,32,neg,93.0712990820175,10,91.38078491701162,2.9843905620469613,0.6049404570076149,22,image_stim_n.png,1,180,336,Monday,95.80430670201895,female,PK,95.1033095229941,42,3.12,92.07068472501123,faceWord_exp,5,95.70824998000171,0.689899807999609,0.7009971790248528,y,22
editor,13,41,neu,103.10542719301884,11,101.41217501499341,0.14106522732466809,0.35252187098376453,22,image_stim_p.png,1,180,336,Monday,105.83826117101125,female,PK,105.139918210014,42,5.43,102.10465821699472,faceWord_exp,5,105.49244008099777,0.6924832020013127,0.6983429609972518,b,21
carrot,13,41,neu,113.13940893401741,12,111.44946951101883,-0.32385553549685003,0.4051276860118378,22,image_stim_p.png,1,180,336,Monday,115.872513454,female,PK,115.17126055699191,42,5.79,112.13864429399837,faceWord_exp,5,115.57638824300375,0.6891747829795349,0.7012528970080893,b,21
dictation,12,32,neg,123.17286835800041,13,121.48114340100437,0.7498341013103271,0.2709766819898505,22,image_stim_n.png,1,336,180,Monday,128.50643943200703,female,PK,127.8067614090105,42,4.26,122.17268839501776,faceWord_exp,5,128.07773809100036,0.691544994013384,0.6996780229965225,y,22
vice,12,32,neg,133.20757956901798,14,131.51597950301948,2.1399531488678094,0.45403912098845467,22,image_stim_n.png,1,180,336,Monday,135.93990331701934,female,PK,135.24007173700375,42,3.81,132.2065688369912,faceWord_exp,5,135.6941108579922,0.6905893339717295,0.6998315800155979,y,22
drum,11,31,pos,143.24164440800087,15,141.54734755199752,-1.4373817092238501,0.32153276802273467,22,image_stim_p.png,1,336,180,Monday,148.57446759499726,female,PK,147.8736816259916,42,6.05,142.24048399401363,faceWord_exp,5,148.19521439401433,0.6931364420161117,0.7007859690056648,b,21
dime,13,41,neu,153.2758149089932,16,151.58168545900844,-0.8220066925000616,0.37013378701522015,22,image_stim_p.png,1,180,336,Monday,156.00858309899922,female,PK,155.3083630100009,42,5.58,152.2747649399971,faceWord_exp,5,155.67849679701612,0.693079480988672,0.7002200889983214,b,21
umbrella,13,41,neu,163.30959803401493,17,161.6177765240136,0.002541127499528235,0.33598998401430435,22,image_stim_p.png,1,180,336,Monday,166.04241284099407,female,PK,165.34346122900024,42,5.84,162.30879697401542,faceWord_exp,5,165.67945121301454,0.6910204500018153,0.6989516119938344,b,21
theater,11,31,pos,173.34352658499847,18,171.65063478599768,-1.8816288507581482,0.4710536139900796,22,image_stim_p.png,1,336,180,Monday,178.67684461700264,female,PK,177.97627058601938,42,6.14,172.3428381459962,faceWord_exp,5,178.44732420000946,0.6922033599985298,0.7005740309832618,b,21
peaceful,11,31,pos,183.37758424901403,19,181.68844352499582,-2.641671297166366,0.35424308700021356,22,image_stim_p.png,1,180,336,Monday,186.1107061060029,female,PK,185.4105678969936,42,8.0,182.3768534270057,faceWord_exp,5,185.7648109839938,0.6884099020098802,0.7001382090093102,b,21
cash,11,31,pos,193.41155171600985,20,191.71755249000853,-1.6872526925643307,0.29161910500261,22,image_stim_p.png,1,180,336,Monday,196.14411210501567,female,PK,195.44023015300627,42,7.51,192.4108672000002,faceWord_exp,5,195.73184925800888,0.6933147099916823,0.7038819520093966,b,21
ambulance,12,32,neg,203.4458797830157,21,201.7523774690053,2.2468136409924253,0.4213144179957453,22,image_stim_n.png,1,336,180,Monday,208.77845171000808,female,PK,208.07807358700666,42,3.71,202.44490961299744,faceWord_exp,5,208.4993880050024,0.692532143992139,0.7003781230014283,y,22
dangerous,12,32,neg,213.47973229800118,22,211.78698347200407,3.17672342877373,0.3371651310008019,22,image_stim_n.png,1,336,180,Monday,218.81269511801656,female,PK,218.11222044599708,42,2.33,212.47908777699922,faceWord_exp,5,218.44938557699788,0.692104304995155,0.7004746720194817,y,22
whine,12,32,neg,223.51363808001042,23,221.82041874100105,3.0668244091236065,0.33821012399857864,22,image_stim_n.png,0,336,180,Monday,228.8469246980094,female,PK,228.14579186501214,42,2.82,222.51291252701776,faceWord_exp,5,228.48400198901072,0.692493786016712,0.7011328329972457,b,22
banker,12,32,neg,233.54775001999224,24,231.85643064099713,0.8708146708303101,0.5722421420214232,22,image_stim_n.png,1,180,336,Monday,236.28087451399188,female,PK,235.57989287999226,42,4.89,232.54701366799418,faceWord_exp,5,236.15213502201368,0.6905830269970465,0.7009816339996178,y,22
cherry,11,31,pos,243.58171413600212,25,241.88839972601272,-1.7441234463665167,0.4725300449936185,22,image_stim_p.png,1,336,180,Monday,248.915160397999,female,PK,248.2136712130159,42,7.05,242.58115934199304,faceWord_exp,5,248.68620125800953,0.6927596159803215,0.7014891849830747,b,21
mandolin,13,42,neu,253.61577950100764,26,251.92624490600429,-1.4097678477610591,0.40431857301155105,22,image_stim_n.png,1,180,336,Monday,256.3488467819989,female,PK,255.6480576269969,42,5.7,252.6150696669938,faceWord_exp,5,256.05237620000844,0.6888247609895188,0.7007891550019849,y,22
ant,12,32,neg,263.6497346610122,27,261.9554634090164,1.5300907112092572,0.43768052899395116,22,image_stim_n.png,1,336,180,Monday,268.9830232289969,female,PK,268.2823798090103,42,3.9,262.6491056329978,faceWord_exp,5,268.72006033800426,0.6936422239814419,0.7006434199865907,y,22
newspaper,13,41,neu,273.68384805100504,28,271.99176048100344,0.3309936143559913,0.35349787800805643,22,image_stim_p.png,1,336,180,Monday,279.0169060440094,female,PK,278.31693306099623,42,5.11,272.68303878599545,faceWord_exp,5,278.6704309390043,0.6912783049920108,0.69997298301314,b,21
hairbrush,13,41,neu,283.717793385993,29,282.0252428179956,-0.4963231956276321,0.3378312469867524,22,image_stim_p.png,1,336,180,Monday,289.05094901600387,female,PK,288.35050825201324,42,5.95,282.71704749099445,faceWord_exp,5,288.688339499,0.6918046729988419,0.7004407639906276,b,21
company,13,41,neu,293.75190585301607,30,292.0590983699949,0.4587040848007746,0.554571816988755,22,image_stim_p.png,1,336,180,Monday,299.08492679399205,female,PK,298.38455094001256,42,5.64,292.75133498900686,faceWord_exp,5,298.9391227570013,0.6922366190119646,0.7003758539794944,b,21
television,11,31,pos,303.78585019300226,31,302.09370697499253,-1.295378487470534,0.5040975140000228,22,image_stim_p.png,1,180,336,Monday,306.5189010910108,female,PK,305.81816024999716,42,7.18,302.7852015719982,faceWord_exp,5,306.3222577639972,0.6914945970056579,0.7007408410136122,b,21
grief,12,32,neg,313.8199051200063,32,312.1262993499986,4.735833249102137,-2.513095288974,22,image_stim_n.png,1,180,336,Monday,316.5527290230093,female,PK,315.8530880289909,42,2.33,312.81917707499815,faceWord_exp,5,313.3399927400169,0.6928777249995619,0.6996409940184094,y,22
intellect,11,31,pos,323.85393981001107,33,322.164971279999,-2.249771083793789,0.4706045829807408,22,image_stim_p.png,1,180,336,Monday,326.5868181340047,female,PK,325.88638937001815,42,6.62,322.8531609479978,faceWord_exp,5,326.3569939529989,0.6881896679988131,0.7004287639865652,b,21
number,13,41,neu,333.8882474449929,34,332.194787837012,0.2374341841762725,0.7717464510060381,22,image_stim_p.png,1,180,336,Monday,336.62113830799353,female,PK,335.920563710999,42,5.59,332.8872164170025,faceWord_exp,5,336.692310162005,0.6924285799905192,0.7005745969945565,b,21
tea,11,31,pos,343.92201182001736,35,342.2279722120147,-1.410303556989907,0.3209503029938787,22,image_stim_p.png,1,336,180,Monday,349.2543494370184,female,PK,348.5548348170123,42,6.56,342.9214140200056,faceWord_exp,5,348.8757851200062,0.6934418079908937,0.6995146200060844,b,21
bus,13,42,neu,353.95646431599744,36,352.2617903969949,0.5156614996478043,0.3708987020072527,22,image_stim_n.png,0,336,180,Monday,359.28902751300484,female,PK,358.5882995889988,42,5.12,352.955297108012,faceWord_exp,5,358.95919829100603,0.6935067110171076,0.7007279240060598,b,22
hierarchy,12,32,neg,363.99006626501796,37,362.2974205810169,1.0236166268558873,0.5546948850096669,22,image_stim_n.png,1,336,180,Monday,369.32310194699676,female,PK,368.62224288700963,42,4.95,362.9893282680132,faceWord_exp,5,369.1769377720193,0.6919076869962737,0.7008590599871241,y,22
army,12,32,neg,374.02447728801053,38,372.3299593690026,1.399169263323496,0.5707398749946151,22,image_stim_n.png,1,180,336,Monday,376.75686282801325,female,PK,376.0562721739989,42,4.65,373.0233707750158,faceWord_exp,5,376.6270120489935,0.6934114060131833,0.7005906540143769,y,22
applause,11,31,pos,384.05816905299434,39,382.3650976920035,-2.3591802685249372,0.3706095870002173,22,image_stim_p.png,1,336,180,Monday,389.3913412900001,female,PK,388.69132072801585,42,7.12,383.0573079030146,faceWord_exp,5,389.06193031501607,0.6922102110111155,0.7000205619842745,b,21
mob,12,32,neg,394.09205199900316,40,392.39824858499924,2.490397821352158,0.6540523230214603,22,image_stim_n.png,1,336,180,Monday,399.42524539201986,female,PK,398.7252011669916,42,3.7,393.09134570500464,faceWord_exp,5,399.37925349001307,0.6930971200054046,0.7000442250282504,y,22
clue,13,42,neu,404.12634314599563,41,402.43502507699304,0.07992973296861662,0.5544167420011945,22,image_stim_n.png,1,336,180,Monday,409.459180491016,female,PK,408.75851096300175,42,5.38,403.12537178301136,faceWord_exp,5,409.31292770500295,0.6903467060183175,0.7006695280142594,y,22
bed,11,31,pos,414.1603650379984,42,412.46580967400223,-1.962809513975644,0.7213586390134878,22,image_stim_p.png,1,336,180,Monday,419.4931675819971,female,PK,418.7927216810058,42,7.16,413.15940606800723,faceWord_exp,5,419.5140803200193,0.6935963940049987,0.7004459009913262,b,21
curse,12,32,neg,424.19421637500636,43,422.5008622610185,3.659937177091274,0.6574457229871769,22,image_stim_n.png,1,336,180,Monday,429.509861922008,female,PK,428.82142243901035,42,2.9,423.19349985400913,faceWord_exp,5,429.4788681619975,0.6926375929906499,0.6884394829976372,y,22
election,12,32,neg,434.2106991990004,44,432.5140999900177,0.5712560851538326,0.6078476870025042,22,image_stim_n.png,1,336,180,Monday,439.5272021490091,female,PK,438.83856078601093,42,4.5,433.2104402410041,faceWord_exp,5,439.44640847301343,0.6963402509863954,0.6886413629981689,y,22
ticket,13,42,neu,444.2287605800084,45,442.53116437399876,-0.7502239645266248,0.5054036169894971,22,image_stim_n.png,1,180,336,Monday,446.9619464169955,female,PK,446.25976103101857,42,5.28,443.22808548799367,faceWord_exp,5,446.76516464800807,0.6969211139949039,0.702185385976918,y,22
