duration_frames,key_t,delay_frames_before,response,onset_img,ID,word_score_warriner,word_score_pc,gender,condition,correct_resp,offset_word,duration_measured_img,word_trigger,duration_measured_word,scan day,rt,offset_img,pause_trigger_t,img_trigger,delay_frames_after,age,word,no,pause_trigger,img,word_label,onset_word,session
42,5.310716150008375,180,b,4.847148726985324,PK,6.38,-1.613773182399739,female,faceWord_exp,1,1.7229937340016477,0.7093973199953325,11,0.696436401020037,Monday,0.46356742302305065,5.556546046980657,2.723742628993932,21,336,22,hygiene,1,31,image_stim_p.png,pos,1.0265573329816107,6
42,17.9616468870081,336,b,17.496777892985847,PK,5.89,-0.4928774877246448,female,faceWord_exp,1,11.857065272983164,0.6942241520155221,13,0.6910969119926449,Monday,0.4648689940222539,18.19100204500137,12.857943201990565,21,180,22,chair,2,41,image_stim_p.png,neu,11.165968360990519,6
42,27.995434840006055,336,b,27.526788137009135,PK,6.32,-1.1812540207039297,female,faceWord_exp,1,21.891009054001188,0.6982282389944885,11,0.6919054989994038,Monday,0.4686467029969208,28.225016376003623,22.891451001982205,21,180,22,elm,3,31,image_stim_p.png,pos,21.199103555001784,6
42,35.46267184798489,180,y,34.96028744400246,PK,5.42,-0.9209473384247756,female,faceWord_exp,1,31.9247683849826,0.6986064609955065,13,0.6897333019878715,Monday,0.5023844039824326,35.65889390499797,32.92581126399455,22,336,22,scooter,4,42,image_stim_n.png,neu,31.235035082994727,6
42,47.980374367994955,336,b,47.593070365983294,PK,5.81,-0.9476055713690849,female,faceWord_exp,0,41.95899958300288,0.699930694012437,13,0.6920648270170204,Monday,0.3873040020116605,48.29300105999573,42.959931802994106,22,180,22,satire,5,42,image_stim_n.png,neu,41.26693475598586,6
42,55.5473210659984,180,b,55.02710471098544,PK,5.89,-0.7656585604551551,female,faceWord_exp,1,51.99315753899282,0.6995921970228665,13,0.6894862340122927,Monday,0.5202163550129626,55.72669690800831,52.99397481000051,21,336,22,audience,6,41,image_stim_p.png,neu,51.303671304980526,6
42,65.49814925799728,180,y,65.06048295099754,PK,2.29,4.2219398121868315,female,faceWord_exp,1,62.027092100004666,0.7001952239952516,12,0.6928013419965282,Monday,0.43766630699974485,65.76067817499279,63.02794046798954,22,336,22,guilt,7,32,image_stim_n.png,neg,61.33429075800814,6
42,75.56479876700905,180,y,75.09406081898487,PK,6.67,-2.035068499528653,female,faceWord_exp,0,72.06118272300228,0.7006952170049772,11,0.690940168016823,Monday,0.4707379480241798,75.79475603598985,73.06205943698296,21,336,22,dolphin,8,31,image_stim_p.png,pos,71.37024255498545,6
42,85.7154868110083,180,y,85.1286926640023,PK,4.32,0.8985553834191027,female,faceWord_exp,1,82.09514166298322,0.6994808919844218,12,0.6918613069865387,Monday,0.5867941470060032,85.82817355598672,83.09616670999094,22,336,22,crow,9,32,image_stim_n.png,neg,81.40328035599669,6
42,95.50079224200454,180,y,95.16190484599792,PK,2.53,3.7741942061665816,female,faceWord_exp,1,92.12921171000926,0.701000669010682,12,0.6933880210272036,Monday,0.3388873960066121,95.8629055150086,93.13017552898964,22,336,22,lost,10,32,image_stim_n.png,neg,91.43582368898205,6
