pause_trigger_t,correct_resp,response,scan day,delay_frames_before,delay_frames_after,pause_trigger,word_score_pc,gender,ID,img,img_trigger,rt,age,offset_word,key_t,no,word_trigger,offset_img,onset_img,duration_frames,word_label,session,condition,word_score_warriner,onset_word,duration_measured_img,duration_measured_word,word
2.7242790500167757,0,y,Monday,180,336,41,0.3759356543037889,female,SSK21,image_stim_p.png,21,-2.3875386680010706,21,1.7206257299985737,2.4251960460096598,1,13,5.5140990489162505,4.81273471401073,42,neu,1,faceWord_exp,5.05,1.021727359853685,0.7013643349055201,0.6988983701448888,fence
12.834428941830993,0,b,Monday,336,180,32,0.7573178762670367,female,SSK21,image_stim_n.png,22,-5.613901352044195,21,11.830684419954196,11.866726039908826,2,12,18.18071160488762,17.48062739195302,42,neg,1,faceWord_exp,4.55,11.139912283979356,0.7000842129345983,0.6907721359748393,meeting
22.894105872837827,1,y,Monday,336,180,32,0.98843671158419,female,SSK21,image_stim_n.png,22,-4.5763373440131545,21,21.891205810941756,22.963413264835253,3,12,28.241501103853807,27.539750608848408,42,neg,1,faceWord_exp,4.73,21.199339486891404,0.701750495005399,0.691866324050352,commander
32.95504797785543,1,b,Monday,180,336,31,-2.146343780688921,female,SSK21,image_stim_p.png,21,-2.924327631946653,21,31.951433999929577,32.070616812910885,4,11,35.69406887493096,34.99494444485754,42,pos,1,faceWord_exp,7.05,31.259008476044983,0.6991244300734252,0.6924255238845944,lemonade
43.01547723985277,1,b,Monday,336,180,31,-2.8031613090757777,female,SSK21,image_stim_p.png,21,-5.644207255914807,21,42.01161806285381,42.01497119595297,5,11,48.36229896196164,47.659178451867774,42,pos,1,faceWord_exp,7.21,41.319703839020804,0.7031205100938678,0.6919142238330096,beach
53.07513082888909,1,b,Monday,336,180,41,-0.31568469709749714,female,SSK21,image_stim_p.png,21,-5.609537065960467,21,52.071823668899015,52.109724120935425,6,13,58.422439154936,57.71926118689589,42,neu,1,faceWord_exp,5.71,51.37967524584383,0.7031779680401087,0.6921484230551869,tourist
63.135534110013396,1,y,Monday,180,336,32,0.13451130194660302,female,SSK21,image_stim_n.png,22,-2.568091402994469,21,62.13207111204974,62.604609647998586,7,12,65.87539434898645,65.17270105099306,42,neg,1,faceWord_exp,4.65,61.439240891020745,0.7026932979933918,0.6928302210289985,diplomat
73.19619090599008,1,b,Monday,336,180,31,-1.6708771386143015,female,SSK21,image_stim_p.png,21,-5.712686975952238,21,72.19228233792819,72.1279694410041,8,11,78.54241444496438,77.84065641695634,42,pos,1,faceWord_exp,6.9,71.49879421689548,0.7017580280080438,0.6934881210327148,pineapple
83.25573811586946,0,y,Monday,180,336,31,-1.1443669013398097,female,SSK21,image_stim_p.png,21,-2.5702321068383753,21,82.2524325819686,82.72322848904878,9,11,85.99504045094363,85.29346059588715,42,pos,1,faceWord_exp,6.85,81.55785527988337,0.7015798550564796,0.6945773020852357,moral
93.31609685183503,1,b,Monday,180,336,31,-1.9273821271493088,female,SSK21,image_stim_p.png,21,-2.7730620559304953,21,92.31267653987743,92.58300640899688,10,11,96.05598759185523,95.35606846492738,42,pos,1,faceWord_exp,6.35,91.62166241696104,0.6999191269278526,0.6910141229163855,sled
103.37630124785937,0,b,Monday,336,180,32,2.3815246085651838,female,SSK21,image_stim_n.png,22,-5.543954226886854,21,102.37285292893648,102.47614486794919,11,12,108.72324548498727,108.02009909483604,42,neg,1,faceWord_exp,3.32,101.67787789995782,0.7031463901512325,0.6949750289786607,bribe
113.4365259448532,1,y,Monday,180,336,32,1.9014187675556817,female,SSK21,image_stim_n.png,22,-2.352293617092073,21,112.43303417996503,113.12097656587139,12,12,116.17626407789066,115.47327018296346,42,neg,1,faceWord_exp,4.23,111.73938916204497,0.7029938949272037,0.693645017920062,alligator
123.49688256694935,1,b,Monday,336,180,31,-1.2313279950095668,female,SSK21,image_stim_p.png,21,-5.677162408130243,21,122.49303608504124,122.4629863158334,13,11,128.8437429680489,128.14014872396365,42,pos,1,faceWord_exp,7.68,121.79951757891104,0.7035942440852523,0.6935185061302036,new
133.5568435199093,1,y,Monday,336,180,32,2.166851165767892,female,SSK21,image_stim_n.png,22,-5.627759421942756,21,132.55298838298768,132.57282643090002,14,12,138.9030659678392,138.20058585284278,42,neg,1,faceWord_exp,3.08,131.86156314099208,0.7024801149964333,0.6914252419956028,aggressive
143.61708718095906,0,y,Monday,180,336,31,-1.1648995537800455,female,SSK21,image_stim_p.png,21,-2.954479021951556,21,142.6136386799626,142.70015362696722,15,11,146.35712493094616,145.65463264891878,42,pos,1,faceWord_exp,6.15,141.919000654947,0.7024922820273787,0.6946380250155926,plum
153.67693232605234,1,b,Monday,180,336,31,-3.1501939707833047,female,SSK21,image_stim_p.png,21,-3.1562065810430795,21,152.6738175288774,152.55988181196153,16,11,156.41763484687544,155.7160883930046,42,pos,1,faceWord_exp,8.47,151.98301277984865,0.7015464538708329,0.6908047490287572,happy
163.73680261988193,1,y,Monday,180,336,42,-0.05916451699915906,female,SSK21,image_stim_n.png,22,-2.551294868113473,21,162.7340315268375,163.22364159883,17,13,166.4770101599861,165.77493646694347,42,neu,1,faceWord_exp,5.3,162.0400380298961,0.702073693042621,0.6939934969414026,embassy
173.79716285294853,1,y,Monday,336,180,32,0.5814463879932942,female,SSK21,image_stim_n.png,22,-5.3113436489365995,21,172.7938428709749,173.1303367370274,18,12,179.14458415983245,178.441680385964,42,neg,1,faceWord_exp,4.95,172.09837015299127,0.7029037738684565,0.6954727179836482,sandpaper
183.85647341283038,1,y,Monday,336,180,42,-0.3369766028281135,female,SSK21,image_stim_n.png,22,-5.043772518169135,21,182.85390139790252,183.4579651178792,19,13,189.2043913488742,188.50173763604835,42,neu,1,faceWord_exp,5.26,182.16300300485454,0.7026537128258497,0.6908983930479735,corkscrew
193.91682433499955,1,y,Monday,336,180,32,3.3697994362845387,female,SSK21,image_stim_n.png,22,-5.17168765515089,21,192.91355433687568,193.38478722283617,20,12,199.2472167960368,198.55647487798706,42,neg,1,faceWord_exp,3.05,192.21581279789098,0.6907419180497527,0.697741538984701,envy
203.96083306591026,1,y,Monday,336,180,32,0.397042668763988,female,SSK21,image_stim_n.png,22,-5.121093571884558,21,202.95713511994109,203.47820391203277,21,12,209.29085080698133,208.59929748391733,42,neg,1,faceWord_exp,4.21,202.26441141800024,0.6915533230639994,0.6927237019408494,policeman
214.0041068289429,1,b,Monday,336,180,41,-0.8050043475134195,female,SSK21,image_stim_p.png,21,-5.622214020928368,21,213.0006248599384,213.02139025600627,22,13,219.33492692490108,218.64360427693464,42,neu,1,faceWord_exp,5.89,212.30267666094005,0.6913226479664445,0.6979481989983469,famous
224.04698729887605,0,b,Monday,336,180,42,-1.3575770021145472,female,SSK21,image_stim_n.png,22,-5.458053628914058,21,223.04458757000975,223.23081722599454,23,13,229.3784546018578,228.6888708549086,42,neu,1,faceWord_exp,5.8,222.34881690889597,0.6895837469492108,0.6957706611137837,tomato
234.09095446998253,1,y,Monday,180,336,32,3.2148840110758776,female,SSK21,image_stim_n.png,22,-2.363799117039889,21,233.08800713391975,233.75871401885524,24,12,236.81455985899083,236.12251313589513,42,neg,1,faceWord_exp,4.0,232.38972916686907,0.6920467230957001,0.6982779670506716,avalanche
244.1342299480457,0,b,Monday,336,180,42,-1.1856791528275217,female,SSK21,image_stim_n.png,22,-5.1438220869749784,21,243.13119311793707,243.63506827200763,25,13,249.48168438882567,248.7788903589826,42,neu,1,faceWord_exp,5.88,242.43332894402556,0.7027940298430622,0.6978641739115119,hamster
254.19490586291067,1,y,Monday,180,336,32,3.6605330306018913,female,SSK21,image_stim_n.png,22,-2.8149980779271573,21,253.19190590502694,253.41151137603447,26,12,256.91805504704826,256.2265094539616,42,neg,1,faceWord_exp,3.63,252.49318048590794,0.6915455930866301,0.6987254191190004,tornado
