word_score_warriner,pause_trigger,onset_word,condition,rt,word_trigger,word,word_score_pc,age,offset_word,duration_measured_img,offset_img,correct_resp,word_label,delay_frames_before,scan day,duration_frames,gender,pause_trigger_t,img_trigger,key_t,delay_frames_after,response,ID,no,onset_img,img,session,duration_measured_word
3.32,32,1.019643299998279,faceWord_exp,0.5500670000001264,12,bribe,2.3815246085651838,20,1.7248289999988629,0.6988875000024564,5.457422700001189,1,neg,180,Monday,42,female,2.7254983999991964,22,5.308602199998859,336,y,T1572,1,4.758535199998732,image_stim_n.png,1,0.7051857000005839
5.67,42,11.061874200000602,faceWord_exp,0.703743600002781,13,beer,-0.9222259722889368,20,11.75608149999971,0.7024525000015274,15.488674500000343,1,neu,180,Monday,42,female,12.756718799999362,22,15.489965600001597,336,y,T1572,2,14.786221999998816,image_stim_n.png,1,0.6942072999991069
8.0,31,21.096044099998835,faceWord_exp,0.3352534999976342,11,love,-2.40140153221556,20,21.787663600000087,0.7009470999983023,28.119506600000022,1,pos,336,Monday,42,female,22.78799340000114,21,27.753812999999354,180,b,T1572,3,27.41855950000172,image_stim_p.png,1,0.6916195000012522
5.05,41,31.127284400001372,faceWord_exp,0.5891363000009733,13,fiddle,-1.0601571884744718,20,31.818591600000218,0.703212699998403,38.15071299999909,1,neu,336,Monday,42,female,32.819394599999214,21,38.03663660000166,180,b,T1572,4,37.447500300000684,image_stim_p.png,1,0.691307199998846
2.89,32,41.15914170000178,faceWord_exp,0.6209811999979138,12,deceit,4.314775126713813,20,41.849863899999036,0.7030860999984725,48.18198019999909,1,neg,336,Monday,42,female,42.85059750000073,22,48.09987529999853,180,y,T1572,5,47.478894100000616,image_stim_n.png,1,0.6907221999972535
4.0,32,51.192189500001405,faceWord_exp,0.6705551999984891,12,avalanche,3.2148840110758776,20,51.881481899999926,0.7028189999982715,58.213313799999014,1,neg,336,Monday,42,female,52.88185850000082,22,58.18104999999923,180,y,T1572,6,57.51049480000074,image_stim_n.png,1,0.6892923999985214
5.05,42,61.21832379999978,faceWord_exp,1.2207457999975304,13,fence,0.3759356543037889,20,61.91250880000007,0.7027976999997918,65.64497710000069,1,neu,180,Monday,42,female,62.913222200000746,22,66.16292519999843,336,y,T1572,7,64.9421794000009,image_stim_n.png,1,0.6941850000002887
5.44,41,71.25161020000087,faceWord_exp,0.7870741000006092,13,bridge,0.1935892361901769,20,71.94374040000184,0.7025357999991684,75.67634339999859,1,neu,180,Monday,42,female,72.9443683999998,21,75.76088170000003,336,b,T1572,8,74.97380759999942,image_stim_p.png,1,0.6921302000009746
4.95,32,81.2845664000015,faceWord_exp,0.47067770000285236,12,sandpaper,0.5814463879932942,20,81.97493630000099,0.7028380000010657,88.30710399999953,1,neg,336,Monday,42,female,82.97558239999853,22,88.07494370000131,180,y,T1572,9,87.60426599999846,image_stim_n.png,1,0.6903698999994958
7.09,31,91.31660529999863,faceWord_exp,0.5867177999971318,11,woman,-1.7483058493195842,20,92.00631689999864,0.7023296999977902,95.7389265999991,1,pos,180,Monday,42,female,93.00700119999965,21,95.62331469999845,336,b,T1572,10,95.03659690000131,image_stim_p.png,1,0.6897116000000096
3.52,32,101.344348300001,faceWord_exp,0.5536659999997937,12,hospital,2.561630339716405,20,102.03764529999899,0.7025243999996746,108.36967789999835,1,neg,336,Monday,42,female,103.03827689999889,22,108.22081949999847,180,y,T1572,11,107.66715349999868,image_stim_n.png,1,0.6932969999979832
6.35,31,111.3748169999999,faceWord_exp,0.5387117999998736,11,sled,-1.9273821271493088,20,112.06888139999865,0.7039817000004405,118.40085439999893,1,pos,336,Monday,42,female,113.06956110000101,21,118.23558449999837,180,b,T1572,12,117.6968726999985,image_stim_p.png,1,0.6940643999987515
7.13,31,121.40765570000076,faceWord_exp,0.5538822999988042,11,lake,-1.5151286486205269,20,122.10015829999975,0.7026446999989275,125.83269719999953,1,pos,180,Monday,42,female,123.10088860000178,21,125.6839347999994,336,b,T1572,13,125.1300525000006,image_stim_p.png,1,0.6925025999989884
5.41,42,131.43749920000118,faceWord_exp,0.5042992000016966,13,school,0.26215401176465297,20,132.1314267000016,0.7032312000010279,135.86399750000055,1,neu,180,Monday,42,female,133.13206939999873,22,135.66506550000122,336,y,T1572,14,135.16076629999952,image_stim_n.png,1,0.6939275000004272
3.63,32,141.46901960000105,faceWord_exp,0.5870189000015671,12,tornado,3.6605330306018913,20,142.16272540000136,0.7026565000014671,148.49482390000048,1,neg,336,Monday,42,female,143.16352850000112,22,148.37918630000058,180,y,T1572,15,147.79216739999902,image_stim_n.png,1,0.6937058000003162
8.37,31,151.50105059999987,faceWord_exp,0.6004248999997799,11,fun,-3.2613064969771037,20,152.1939558999984,0.6992371999986062,158.52600969999912,1,pos,336,Monday,42,female,153.1946695000006,21,158.4271974000003,180,b,T1572,16,157.82677250000052,image_stim_p.png,1,0.6929052999985288
4.65,32,161.5318240000015,faceWord_exp,0.5871482999973523,12,diplomat,0.13451130194660302,20,162.2252797000001,0.702676099997916,168.55730839999887,1,neg,336,Monday,42,female,163.22598310000103,22,168.4417805999983,180,y,T1572,17,167.85463230000096,image_stim_n.png,1,0.6934556999985944
5.42,41,171.56433180000022,faceWord_exp,0.5546725000021979,13,treaty,-0.7213913907893977,20,172.25655890000053,0.7036201000009896,178.58869090000007,1,neu,336,Monday,42,female,173.25724809999883,21,178.43974330000128,180,b,T1572,18,177.88507079999908,image_stim_p.png,1,0.6922271000003093
5.26,42,181.59512239999822,faceWord_exp,0.5705860999987635,13,corkscrew,-0.3369766028281135,20,182.28780710000137,0.702628499999264,186.0204217999999,1,neu,180,Monday,42,female,183.28848989999824,22,185.8883793999994,336,y,T1572,19,185.31779330000063,image_stim_n.png,1,0.6926847000031557
6.15,31,191.62468810000064,faceWord_exp,0.4536020000014105,11,plum,-1.1648995537800455,20,192.31905729999926,0.7025424000021303,198.65112610000142,1,pos,336,Monday,42,female,193.31978990000061,21,198.4021857000007,180,b,T1572,20,197.9485836999993,image_stim_p.png,1,0.6943691999986186
5.88,41,201.65645059999952,faceWord_exp,0.5870382000030077,13,hamster,-1.1856791528275217,20,202.35042489999978,0.7027845000011439,206.08314059999975,1,neu,180,Monday,42,female,203.35092670000085,21,205.96739430000162,336,b,T1572,21,205.3803560999986,image_stim_p.png,1,0.6939743000002636
6.85,31,211.68742719999864,faceWord_exp,0.4827340000010736,11,moral,-1.1443669013398097,20,212.3816713999986,0.6982617000030586,218.71368200000143,1,pos,336,Monday,42,female,213.38224769999943,21,218.49815429999944,180,b,T1572,22,218.01542029999837,image_stim_p.png,1,0.6942441999999573
