pause_trigger,duration_measured_img,age,response,pause_trigger_t,ID,img,offset_word,word_score_pc,scan day,rt,correct_resp,duration_frames,session,delay_frames_after,onset_img,word_score_warriner,gender,offset_img,no,delay_frames_before,word_trigger,onset_word,img_trigger,word_label,word,condition,duration_measured_word,key_t
41,0.6865133999963291,24,b,2.6761780999950133,clem,image_stim_p.png,1.6761492000077851,0.20373950943912453,Monday,0.45364650001283735,1,42,3,336,4.68876900000032,5.72,male,5.3752823999966495,1,180,13,0.9877607999951579,21,neu,plane,faceWord_exp,0.6883884000126272,5.142415500013158
32,0.6796480999910273,24,b,12.673847800004296,clem,image_stim_n.png,11.673621299967635,0.41231466195915456,Monday,0.3635471999878064,0,42,3,336,14.709805999998935,4.68,male,15.389454099989962,2,180,12,10.976761400001124,22,neg,foot,faceWord_exp,0.6968598999665119,15.073353199986741
32,0.67219060001662,24,y,22.688038599968422,clem,image_stim_n.png,21.687903699988965,1.239138220826116,Monday,0.3728110999800265,1,42,3,180,27.330860399990343,4.95,male,28.003051000006963,3,336,12,20.99070969998138,22,neg,debate,faceWord_exp,0.6971940000075847,27.70367149997037
32,0.6775328000076115,24,y,32.70224800001597,clem,image_stim_n.png,31.702150799974333,1.7592404876513306,Monday,0.4446581000229344,1,42,3,180,37.33973569999216,4.32,male,38.01726849999977,4,336,12,31.00460629997542,22,neg,cold,faceWord_exp,0.6975444999989122,37.784393800015096
42,0.6845449999673292,24,y,42.71644910000032,clem,image_stim_n.png,41.71637199999532,-1.343270424679961,Monday,0.5351337000029162,1,42,3,180,47.3302807,5.81,male,48.01482569996733,5,336,13,41.02027589996578,22,neu,jam,faceWord_exp,0.6960961000295356,47.86541440000292
31,0.6767463000142016,24,b,52.713951600017026,clem,image_stim_p.png,51.713878399983514,-1.7760144816699572,Monday,0.5272614000132307,1,42,3,180,57.35228609998012,7.18,male,58.02903239999432,6,336,11,51.01762359996792,21,pos,island,faceWord_exp,0.6962548000155948,57.87954749999335
32,0.6853620000183582,24,y,62.72830630000681,clem,image_stim_n.png,61.728095999977086,3.583082910341294,Monday,0.8525417000055313,1,42,3,336,64.74187369999709,3.47,male,65.42723570001544,7,180,12,61.03110179997748,22,neg,cyclone,faceWord_exp,0.6969941999996081,65.59441540000262
32,0.6856521000154316,24,y,72.72585270000855,clem,image_stim_n.png,71.72566340002231,3.6017940902369654,Monday,0.4861924999859184,1,42,3,336,74.73916050000116,3.45,male,75.4248126000166,8,180,12,71.03047960001277,22,neg,grievance,faceWord_exp,0.6951838000095449,75.22535299998708
42,0.6790504999808036,24,y,82.72338290000334,clem,image_stim_n.png,81.72330339998007,0.13339963708933658,Monday,0.32958800002234057,1,42,3,180,87.34267009998439,5.65,male,88.02172059996519,9,336,13,81.02541669999482,22,neu,pencil,faceWord_exp,0.6978866999852471,87.67225810000673
32,0.6820624999818392,24,y,92.7208545000176,clem,image_stim_n.png,91.72083319997182,3.4211910580769755,Monday,0.4493065999704413,1,42,3,336,94.77116240002215,3.0,male,95.45322490000399,10,180,12,91.023372799973,22,neg,tax,faceWord_exp,0.6974603999988176,95.22046899999259
