word_trigger,pause_trigger_t,img_trigger,condition,offset_word,correct_resp,scan day,delay_frames_before,onset_img,duration_measured_img,word_score_pc,age,word_score_warriner,word_label,ID,pause_trigger,gender,key_t,delay_frames_after,duration_frames,session,offset_img,duration_measured_word,rt,onset_word,response,img,no,word
13,2.724898487998871,22,faceWord_exp,1.7236366079887375,0,Monday,336,7.407443934993353,0.7011973790067714,-0.945340141786388,22,5.58,neu,coronatimes,42,female,7.662859527001274,180,42,3,8.108641314000124,0.7018531840003561,0.2554155920079211,1.0217834239883814,b,image_stim_n.png,1,tuba
11,12.812583428996732,21,faceWord_exp,11.811818566988222,1,Monday,180,14.847323850000976,0.6996341199992457,-2.098490136277324,22,7.11,pos,coronatimes,31,female,15.165874692989746,336,42,3,15.546957970000221,0.697049779992085,0.31855084298877046,11.114768786996137,b,image_stim_p.png,2,rose
13,22.8510386429989,22,faceWord_exp,21.84980242900201,1,Monday,180,24.882166954994318,0.8362127180007519,-0.123291752025302,22,5.55,neu,coronatimes,42,female,24.820730349994847,336,42,3,25.71837967299507,0.693885147004039,-0.061436604999471456,21.155917281997972,y,image_stim_n.png,3,faucet
12,33.02233585200156,22,faceWord_exp,32.02132569999958,1,Monday,180,35.07152881399088,0.7182628820009995,1.7592404876513306,22,4.32,neg,coronatimes,32,female,34.19314901799953,336,42,3,35.78979169599188,0.6944463490071939,-0.87837979599135,31.326879350992385,y,image_stim_n.png,4,cold
13,43.093941408995306,21,faceWord_exp,42.09290352399694,0,Monday,180,45.12472033499216,0.7031665469985455,0.05858023181365075,22,5.1,neu,coronatimes,41,female,44.49968673699186,336,42,3,45.82788688199071,0.6941316519951215,-0.6250335980003001,41.39877187200182,y,image_stim_p.png,5,cabinet
11,53.13209348599776,21,faceWord_exp,52.13105073099723,1,Monday,336,57.76379755898961,0.7029364640038693,-1.9498998207384868,22,7.15,pos,coronatimes,31,female,52.635367734998,180,42,3,58.46673402299348,0.6930605960078537,-5.12842982399161,51.43799013498938,b,image_stim_p.png,6,symphony
11,63.17016207099368,21,faceWord_exp,62.16893946599157,1,Monday,180,65.20047769098892,0.703821066999808,-1.4106928476010352,22,6.63,pos,coronatimes,31,female,62.23883548199956,336,42,3,65.90429875798873,0.6955358260020148,-2.9616422089893604,61.473403639989556,b,image_stim_p.png,7,car
12,73.20810372898995,22,faceWord_exp,72.20702948099643,1,Monday,180,75.25516243198945,0.7037811010086443,3.6017940902369654,22,3.45,neg,coronatimes,32,female,73.02750689200184,336,42,3,75.95894353299809,0.6932142290024785,-2.227655539987609,71.51381525199395,y,image_stim_n.png,8,grievance
13,83.26286311198783,21,faceWord_exp,82.26184522100084,1,Monday,336,87.89701561100082,0.7012718769983621,-0.6884171372613734,22,5.95,neu,coronatimes,41,female,83.53337629599264,180,42,3,88.59828748799919,0.6929481219995068,-4.363639315008186,81.56889709900133,b,image_stim_p.png,9,egg
12,93.30084124900168,22,faceWord_exp,92.2998917359946,1,Monday,180,95.33159847398929,0.7031670230062446,1.8802224749820768,22,3.95,neg,coronatimes,32,female,92.65293994599779,336,42,3,96.03476549699553,0.6955147800035775,-2.6786585279915016,91.60437695599103,y,image_stim_n.png,10,dusty
