response,pause_trigger,condition,session,img,word_score_warriner,duration_measured_img,duration_frames,pause_trigger_t,gender,key_t,scan day,delay_frames_after,offset_word,onset_img,rt,ID,duration_measured_word,word,img_trigger,word_score_pc,word_trigger,age,word_label,no,onset_word,delay_frames_before,offset_img,correct_resp
b,31,faceWord_exp,5,image_stim_p.png,6.56,0.7033637540007476,42,2.716251136007486,female,2.4515766340045957,Monday,336,1.7158267400081968,4.797030732006533,-2.3454540980019374,coronatimes,0.7041824519983493,tea,21,-1.410303556989907,11,22,pos,1,1.0116442880098475,180,5.500394486007281,1
b,42,faceWord_exp,5,image_stim_n.png,5.95,0.7008788030070718,42,12.805658201003098,female,12.441350671011605,Monday,180,11.803532087011263,17.43965649099846,-4.998305819986854,coronatimes,0.6928891150018899,apricot,22,-1.2450836009557775,13,22,neu,2,11.110642972009373,336,18.14053529400553,0
y,41,faceWord_exp,5,image_stim_p.png,5.25,0.7031243769888533,42,22.843702155005303,female,22.06177465300425,Monday,336,21.84239493199857,24.874611514009302,-2.812836861005053,coronatimes,0.6946535280003445,stapler,21,0.19443075193465506,13,22,neu,3,21.147741403998225,180,25.577735890998156,0
y,32,faceWord_exp,5,image_stim_n.png,3.81,0.7022048689977964,42,32.88190290000057,female,34.135457060998306,Monday,336,31.880754345998866,34.913600332001806,-0.7781432710035006,coronatimes,0.6934607399889501,vice,22,2.1399531488678094,12,22,neg,4,31.187293606009916,180,35.6158052009996,1
y,32,faceWord_exp,5,image_stim_n.png,2.02,0.7021497880050447,42,42.919664280008874,female,42.52155726600904,Monday,336,41.9185392280051,44.95051423199766,-2.4289569659886183,coronatimes,0.6956936520000454,dead,22,4.0294120701769724,12,22,neg,5,41.22284557600506,180,45.6526640200027,1
b,42,faceWord_exp,5,image_stim_n.png,5.7,0.7037218189943815,42,52.95766009000363,female,52.893859021001845,Monday,336,51.956686460005585,54.988169000003836,-2.0943099790019915,coronatimes,0.6941669899970293,mandolin,22,-1.4097678477610591,13,22,neu,6,51.262519470008556,180,55.69189081899822,0
b,41,faceWord_exp,5,image_stim_p.png,5.28,0.7038328580092639,42,62.99547707600868,female,62.2479044010106,Monday,336,61.9947588119976,65.02604196900211,-2.7781375679915072,coronatimes,0.69481872698816,ticket,21,-0.7502239645266248,13,22,neu,7,61.29994008500944,180,65.72987482701137,1
b,31,faceWord_exp,5,image_stim_p.png,6.81,0.7036878970102407,42,73.03399312200781,female,73.15303995700378,Monday,336,72.03210979800497,75.06443763599964,-1.9113976789958542,coronatimes,0.6936153360002209,tangerine,21,-1.178487968131687,11,22,pos,8,71.33849446200475,180,75.76812553300988,1
b,31,faceWord_exp,5,image_stim_p.png,7.12,0.7033888650039444,42,83.07215831099893,female,82.45767070000875,Monday,180,82.07102881799801,87.7039872000023,-5.246316499993554,coronatimes,0.6946382599999197,applause,21,-2.3591802685249372,11,22,pos,9,81.37639055799809,336,88.40737606500625,1
y,32,faceWord_exp,5,image_stim_n.png,3.7,0.7011100550007541,42,93.14344080501178,female,92.54600527101138,Monday,180,92.10918271300034,97.79437518700433,-5.248369915992953,coronatimes,0.6918393699888838,mob,22,2.490397821352158,12,22,neg,10,91.41734334301145,336,98.49548524200509,1
y,31,faceWord_exp,5,image_stim_p.png,7.25,0.7038099739875179,42,103.19725827900402,female,103.10190030100057,Monday,180,102.19619892499759,107.84642284701113,-4.744522546010558,coronatimes,0.6941238429863006,wit,21,-1.2397352233188434,11,22,pos,11,101.50207508201129,336,108.55023282099864,0
b,31,faceWord_exp,5,image_stim_p.png,7.18,0.7036272319965065,42,113.25296566500037,female,112.75638844100467,Monday,336,112.25181835101102,115.28362275600375,-2.5272343149990775,coronatimes,0.694463137013372,television,21,-1.295378487470534,11,22,pos,12,111.55735521399765,180,115.98724998800026,1
y,42,faceWord_exp,5,image_stim_n.png,5.61,0.7203482399927452,42,123.30802896500973,female,122.5266316979978,Monday,180,122.28999406599905,127.93944625100994,-5.41281455301214,coronatimes,0.6944418639905052,mushroom,22,0.08756588783899029,13,22,neu,13,121.59555220200855,336,128.65979449100269,1
b,31,faceWord_exp,5,image_stim_p.png,6.41,0.7038236020016484,42,133.362698559009,female,133.0010226710001,Monday,336,132.3615038900025,135.3927908300102,-2.3917681590100983,coronatimes,0.6952179109939607,morning,21,-1.211925852261804,11,22,pos,14,131.66628597900853,180,136.09661443201185,1
y,32,faceWord_exp,5,image_stim_n.png,4.81,0.7198859920026734,42,143.4007565750071,female,143.9199575530074,Monday,180,142.39956055300718,148.0494262830034,-4.129468729996006,coronatimes,0.6957402219995856,cab,22,0.1828236131989572,12,22,neg,15,141.7038203310076,336,148.7693122750061,1
b,32,faceWord_exp,5,image_stim_n.png,3.15,0.7037394030048745,42,153.47146993200295,female,152.6770446349983,Monday,180,152.47087486099917,158.10371765500167,-5.4266730200033635,coronatimes,0.6953171389905037,riot,22,3.227422121163128,12,22,neg,16,151.77555772200867,336,158.80745705800655,0
y,42,faceWord_exp,5,image_stim_n.png,5.58,0.7176108590065269,42,163.51016607800557,female,163.79644263000228,Monday,336,162.50904701300897,165.56004974000098,-1.763607109998702,coronatimes,0.6932464870042168,dime,22,-0.8220066925000616,13,22,neu,17,161.81580052600475,180,166.2776605990075,1
b,31,faceWord_exp,5,image_stim_p.png,7.51,0.7037814380018972,42,173.5816185720032,female,172.80354781200003,Monday,180,172.58039712900063,178.21329242100182,-5.409744609001791,coronatimes,0.6955588470009388,cash,21,-1.6872526925643307,11,22,pos,18,171.8848382819997,336,178.91707385900372,1
b,42,faceWord_exp,5,image_stim_n.png,5.56,0.703568222001195,42,183.61975816100312,female,184.18950281001162,Monday,336,182.61884470599762,185.65014245900966,-1.4606396489980398,coronatimes,0.6961000399896875,desk,22,0.16108323717668446,13,22,neu,19,181.92274466600793,180,186.35371068101085,0
b,42,faceWord_exp,5,image_stim_n.png,5.79,0.7033944129943848,42,193.65788498800248,female,192.8434890290082,Monday,336,192.65672445300152,195.68843623400608,-2.8449472049978795,coronatimes,0.6954036429960979,carrot,22,-0.32385553549685003,13,22,neu,20,191.96132081000542,180,196.39183064700046,0
b,31,faceWord_exp,5,image_stim_p.png,7.84,0.7036937899974873,42,203.6958580690116,female,203.4314818940038,Monday,180,202.69483743100136,208.3277001210081,-4.896218227004283,coronatimes,0.6938639529980719,friendly,21,-2.9544920916265727,11,22,pos,21,202.0009734780033,336,209.03139391100558,1
b,42,faceWord_exp,5,image_stim_n.png,5.95,0.703952694995678,42,213.7341237500077,female,213.08638429900748,Monday,336,212.73288907299866,215.76425466500223,-2.6778703659947496,coronatimes,0.6960527909977827,corn,22,-1.235914274808286,13,22,neu,22,212.03683628200088,180,216.4682073599979,0
b,32,faceWord_exp,5,image_stim_n.png,4.89,0.7032987909915391,42,223.77190740000515,female,222.8243138120015,Monday,336,222.77103533199988,225.80296674600686,-2.9786529340053676,coronatimes,0.6947732109983917,banker,22,0.8708146708303101,12,22,neg,23,222.0762621210015,180,226.5062655369984,0
b,31,faceWord_exp,5,image_stim_p.png,6.14,0.7004628870054148,42,233.8101870590035,female,233.96207393500663,Monday,180,232.80898450600216,238.44486780899751,-4.482793873990886,coronatimes,0.6925205220031785,theater,21,-1.8816288507581482,11,22,pos,24,232.11646398399898,336,239.14533069600293,1
y,32,faceWord_exp,5,image_stim_n.png,2.33,0.7032523230009247,42,243.84828774000925,female,243.71751746600785,Monday,336,242.84718826301105,245.89545056900533,-2.1779331029974855,coronatimes,0.6955801010044524,grief,22,4.735833249102137,12,22,neg,25,242.1516081620066,180,246.59870289200626,1
b,32,faceWord_exp,5,image_stim_n.png,2.9,0.7052496949909255,42,253.91982370000915,female,253.55815270500898,Monday,180,252.9186099080107,258.5496954570117,-4.991542752002715,coronatimes,0.6952242830011528,curse,22,3.659937177091274,12,22,neg,26,252.22338562500954,336,259.2549451520026,0
b,31,faceWord_exp,5,image_stim_p.png,6.62,0.7027842499956023,42,263.9577366270096,female,263.59361570300825,Monday,180,262.9566760710004,268.5895980500063,-4.995982346998062,coronatimes,0.6957038260006811,intellect,21,-2.249771083793789,11,22,pos,27,262.2609722449997,336,269.2923823000019,1
b,31,faceWord_exp,5,image_stim_p.png,6.65,0.7036243709881091,42,273.995885508004,female,273.09805634499935,Monday,336,272.99477260001004,276.0261312470102,-2.9280749020108487,coronatimes,0.6950029060099041,penguin,21,-1.2194148821621404,11,22,pos,28,272.29976969400013,180,276.7297556179983,1
y,32,faceWord_exp,5,image_stim_n.png,3.71,0.7064301289938157,42,284.0341025180096,female,283.41930718600634,Monday,180,283.0326718540018,288.66291199800617,-5.24360481199983,coronatimes,0.6946244440041482,ambulance,22,2.2468136409924253,12,22,neg,29,282.33804740999767,336,289.369342127,1
