word,duration_measured_word,img,rt,duration_measured_img,gender,word_trigger,response,offset_img,pause_trigger_t,img_trigger,onset_img,pause_trigger,offset_word,delay_frames_before,age,word_score_warriner,session,duration_frames,condition,word_score_pc,ID,scan day,no,delay_frames_after,onset_word,correct_resp,word_label,key_t
computer,0.7022233480020077,image_stim_p.png,0.5436469389969716,0.7071296799986158,female,11,k,8.121836699996493,2.7197688319938607,21,7.414707019997877,31,1.718822574999649,336,20,6.84,3,42,faceWord_exp,-1.728066945394655,jules,Wednesday,1,180,1.0165992269976414,0,pos,7.958353958994849
cabinet,0.6946054740037653,image_stim_p.png,0.46971782200125745,0.702186869995785,female,13,k,15.558631356994738,12.824549413999193,21,14.856444486998953,41,11.823486171997502,180,20,5.1,3,42,faceWord_exp,0.05858023181365075,jules,Wednesday,2,336,11.128880697993736,0,neu,15.32616230900021
hope,0.6967473170006997,image_stim_p.png,0.656013914005598,0.704464997004834,female,11,k,25.596765647998836,22.86269744099991,21,24.892300650994002,31,21.86181275799754,180,20,7.48,3,42,faceWord_exp,-2.2287379941341,jules,Wednesday,3,336,21.16506544099684,0,pos,25.5483145649996
faucet,0.6967957699962426,image_stim_p.png,0.4908870009967359,0.7046650539996335,female,13,k,38.23602889099857,32.900759129996004,21,37.531363836998935,41,31.89977765999356,336,20,5.55,3,42,faceWord_exp,-0.123291752025302,jules,Wednesday,4,180,31.202981889997318,0,neu,38.02225083799567
voter,0.6959642539950437,image_stim_n.png,0.5228072019963292,0.7042583579968777,female,12,l,48.274160677996406,42.93892641399725,22,47.56990231999953,32,41.93777082099405,336,20,4.85,3,42,faceWord_exp,-0.3331872788781821,jules,Wednesday,5,180,41.241806566999,0,neg,48.09270952199586
trial,0.6950950219979859,image_stim_n.png,0.4896018910003477,0.7030235270067351,female,12,l,55.710986635000154,52.97706638799718,22,55.00796310799342,32,51.97590369599493,180,20,3.28,3,42,faceWord_exp,2.3068979902815,jules,Wednesday,6,336,51.280808673996944,0,neg,55.49756499899377
pen,0.696395262995793,image_stim_p.png,0.45828862600319553,0.7050955550002982,female,13,k,68.35031547899416,63.015029611997306,21,67.64521992399386,41,62.01340416499443,336,20,5.63,3,42,faceWord_exp,-0.23071750329615884,jules,Wednesday,7,180,61.31700890199863,0,neu,68.10350854999706
saxophone,0.695340849000786,image_stim_p.png,0.4926619869947899,0.7061460099939723,female,11,k,75.78713816599338,73.05312951099768,21,75.08099215599941,31,72.05209460399783,180,20,6.32,3,42,faceWord_exp,-1.100912149643323,jules,Wednesday,8,336,71.35675375499704,0,pos,75.5736541429942
patent,0.6967018060022383,image_stim_p.png,0.5897020710035576,0.7049863280044519,female,13,k,88.42657395399874,83.0911419269978,21,87.72158762599429,41,82.09008708100009,336,20,5.34,3,42,faceWord_exp,-0.1793860699809707,jules,Wednesday,9,180,81.39338527499785,0,neu,88.31128969699785
volcano,0.6970762370037846,image_stim_n.png,0.3906942199973855,0.7053051350012538,female,12,l,98.46470264399977,93.12930069199501,22,97.75939750899852,32,92.12833294399752,336,20,4.59,3,42,faceWord_exp,2.1987551193617842,jules,Wednesday,10,180,91.43125670699374,0,neg,98.1500917289959
tobacco,0.6968463910015998,image_stim_n.png,0.4580349190000561,0.7051240699947812,female,12,l,108.5027095599944,103.16735888299445,22,107.79758548999962,32,102.1664799029968,336,20,3.37,3,42,faceWord_exp,2.411295736651624,jules,Wednesday,11,180,101.4696335119952,0,neg,108.25562040899968
harp,0.6969465889997082,image_stim_n.png,0.457316981999611,0.7052109590003965,female,13,l,118.5408336420005,113.20556500399834,22,117.83562268300011,42,112.20450135199644,336,20,5.4,3,42,faceWord_exp,-1.7878104403788575,jules,Wednesday,12,180,111.50755476299673,0,neu,118.29293966499972
foot,0.6952238770027179,image_stim_n.png,0.4538627079964499,0.7020574899943313,female,12,l,125.97762132699427,123.24386083099671,22,125.27556383699994,32,122.24262531699787,180,20,4.68,3,42,faceWord_exp,0.41231466195915456,jules,Wednesday,13,336,121.54740143999516,0,neg,125.72942654499639
car,0.6972732190042734,image_stim_p.png,0.47321043199917767,0.7048581170020043,female,11,k,136.01568051600043,133.28165647999413,21,135.31082239899843,31,132.28063810599997,180,20,6.63,3,42,faceWord_exp,-1.4106928476010352,jules,Wednesday,14,336,131.5833648869957,0,pos,135.7840328309976
dusty,0.697518722001405,image_stim_n.png,0.5060227310023038,0.704798054001003,female,12,l,148.6550598909962,143.3198949019934,22,147.9502618369952,32,142.3187410169994,336,20,3.95,3,42,faceWord_exp,1.8802224749820768,jules,Wednesday,15,180,141.621222294998,0,neg,148.4562845679975
sum,0.6971131429963862,image_stim_p.png,0.4904663010020158,0.705330035998486,female,13,k,158.6931973529936,153.35764593199565,21,157.9878673169951,41,152.3568286879963,336,20,5.71,3,42,faceWord_exp,0.1511721542964875,jules,Wednesday,16,180,151.65971554499993,0,neu,158.47833361799712
park,0.6966400530000101,image_stim_p.png,0.4566208269970957,0.7049892180002644,female,11,k,168.731245226998,163.39597573499486,21,168.02625600899773,31,162.3949245479962,336,20,7.0,3,42,faceWord_exp,-1.9950971558262764,jules,Wednesday,17,180,161.6982844949962,0,pos,168.48287683599483
rose,0.6968471379950643,image_stim_p.png,0.4560985319985775,0.7046908920019632,female,11,k,178.76937616599753,173.4343226169949,21,178.06468527399556,31,172.43291830899398,336,20,7.11,3,42,faceWord_exp,-2.098490136277324,jules,Wednesday,18,180,171.7360711709989,0,pos,178.52078380599414
raspberry,0.6966233329949318,image_stim_p.png,0.45585836799727986,0.7050259620009456,female,11,k,186.20625573299913,183.472116293,21,185.50122977099818,31,182.47117441099545,180,20,7.3,3,42,faceWord_exp,-1.4443598905895143,jules,Wednesday,19,336,181.7745510780005,0,pos,185.95708813899546
belch,0.6964690430031624,image_stim_n.png,0.4881708629982313,0.7037899379938608,female,12,l,196.2441780339941,193.51044318200002,22,195.54038809600024,32,192.50909495999804,180,20,4.18,3,42,faceWord_exp,1.9197700017151131,jules,Wednesday,20,336,191.81262591699488,0,neg,196.02855895899847
delirium,0.6941174330058857,image_stim_n.png,0.4030152320046909,0.7020478250051383,female,12,l,206.28247902099974,203.54830710599344,22,205.5804311959946,32,202.54725410399988,180,20,3.4,3,42,faceWord_exp,3.4172209593162717,jules,Wednesday,21,336,201.853136670994,0,neg,205.9834464279993
tuba,0.6971622940036468,image_stim_n.png,0.45698710499709705,0.7052595829954953,female,13,l,218.9217030699947,213.5864040029992,22,218.2164434869992,42,212.58539767500042,336,20,5.58,3,42,faceWord_exp,-0.945340141786388,jules,Wednesday,22,180,211.88823538099678,0,neu,218.6734305919963
reality,0.696766982000554,image_stim_n.png,0.4064257930003805,0.7049306199987768,female,13,l,226.358574838996,223.62448966999364,22,225.65364421899721,42,222.62347678399965,180,20,5.73,3,42,faceWord_exp,0.30770997164376424,jules,Wednesday,23,336,221.9267098019991,0,neu,226.0600700119976
criminal,0.6963128789939219,image_stim_n.png,0.40692019700509263,0.7053422470053192,female,12,l,238.99789478599996,233.66261891599424,22,238.29255253899464,32,232.66154125299363,336,20,2.11,3,42,faceWord_exp,3.6129749181587063,jules,Wednesday,24,180,231.9652283739997,0,neg,238.69947273599973
cafeteria,0.6961493960043299,image_stim_n.png,0.4397401490059565,0.7048443280000356,female,13,l,249.0359995619947,243.70089198200003,22,248.33115523399465,42,242.69910730999982,336,20,5.68,3,42,faceWord_exp,-0.4971407339658378,jules,Wednesday,25,180,242.0029579139955,0,neu,248.7708953830006
plane,0.697250677003467,image_stim_p.png,0.6060991829945124,0.7047268429960241,female,13,k,256.4727899989957,253.73883706500055,21,255.7680631559997,41,252.7378129589997,180,20,5.72,3,42,faceWord_exp,0.20373950943912453,jules,Wednesday,26,336,252.04056228199624,0,neu,256.3741623389942
reporter,0.696483009000076,image_stim_n.png,0.6900967669935199,0.7050426099958713,female,12,l,269.1121841099957,263.77685753999685,22,268.40714149999985,32,262.77591843999835,336,20,4.57,3,42,faceWord_exp,0.7962654471128737,jules,Wednesday,27,180,262.0794354309983,0,neg,269.0972382669934
radish,0.6966016590013169,image_stim_n.png,0.5065180040037376,0.7050029630045174,female,12,l,279.15026592199865,273.81512606499746,22,278.44526295899414,32,272.81391705999704,336,20,4.7,3,42,faceWord_exp,0.33736940436804663,jules,Wednesday,28,180,272.1173154009957,0,neg,278.9517809629979
bird,0.6987755879963515,image_stim_p.png,0.507463607005775,0.7039271440007724,female,11,l,286.5865551659954,283.8531083619964,21,285.8826280219946,31,282.8521406859945,180,20,6.75,3,42,faceWord_exp,-1.0841943171680315,jules,Wednesday,29,336,282.1533650979982,1,pos,286.3900916290004
flute,0.6940318500055582,image_stim_p.png,0.48759098200389417,0.7008030799988774,female,11,k,296.6252004009948,293.8911204949982,21,295.9243973209959,31,292.8900241709998,180,20,6.29,3,42,faceWord_exp,-1.6804307003665144,jules,Wednesday,30,336,292.19599232099426,0,pos,296.4119883029998
grievance,0.6957668309987639,image_stim_n.png,0.3908465200001956,0.7053287710004952,female,12,l,306.6634307659988,303.9297398540002,22,305.9581019949983,32,302.92819063999923,180,20,3.45,3,42,faceWord_exp,3.6017940902369654,jules,Wednesday,31,336,302.23242380900047,0,neg,306.3489485149985
shame,0.6967556039962801,image_stim_n.png,0.47421423099876847,0.705561194998154,female,12,l,319.3028512549936,313.96743067100033,22,318.59729005999543,32,312.9662024609934,336,20,2.62,3,42,faceWord_exp,4.2618443246155895,jules,Wednesday,32,180,312.2694468569971,0,neg,319.0715042909942
year,0.6976126250010566,image_stim_p.png,0.4564269170004991,0.7048703470063629,female,13,k,329.3407333180003,324.00494198999513,21,328.6358629709939,41,323.004605559996,336,20,5.75,3,42,faceWord_exp,0.5062695562835388,jules,Wednesday,33,180,322.3069929349949,0,neu,329.0922898879944
advantage,0.6966118940035813,image_stim_p.png,0.455394153999805,0.7045824399974663,female,11,k,339.3787691289981,334.04349583699513,21,338.67418668900063,31,333.0424989789972,336,20,6.71,3,42,faceWord_exp,-1.2474567486001964,jules,Wednesday,34,180,332.3458870849936,0,pos,339.12958084300044
couple,0.6964910769966082,image_stim_p.png,0.4417203970006085,0.7054079470035504,female,11,k,349.4168956479989,344.0815354659935,21,348.71148770099535,31,343.0802784989937,336,20,7.11,3,42,faceWord_exp,-1.9002611819546853,jules,Wednesday,35,180,342.3837874219971,0,pos,349.15320809799596
family,0.6968510110018542,image_stim_p.png,0.49046643999463413,0.7051221309957327,female,11,k,359.4549709169951,354.11971228699986,21,358.74984878599935,31,353.1186670019961,336,20,7.25,3,42,faceWord_exp,-1.6019047514101912,jules,Wednesday,36,180,352.4218159909942,0,pos,359.240315225994
butterfly,0.6985841290006647,image_stim_p.png,0.44124907700461335,0.7046044939997955,female,11,k,369.4930807879937,364.1579427539982,21,368.7884762939939,31,363.156931947,336,20,7.23,3,42,faceWord_exp,-2.484088237918995,jules,Wednesday,37,180,362.4583478179993,0,pos,369.2297253709985
glass,0.6942930880031781,image_stim_n.png,0.47030972100037616,0.7015240380060277,female,13,l,379.5310106670004,374.1959940129964,22,378.82948662899435,42,373.19473427799676,336,20,5.48,3,42,faceWord_exp,0.2046331385026182,jules,Wednesday,38,180,372.5004411899936,0,neu,379.2997963499947
snub,0.6969584279941046,image_stim_n.png,0.45696733400109224,0.7047257950034691,female,12,l,389.56931891899876,384.23395891700056,22,388.8645931239953,32,383.2328109589944,336,20,3.23,3,42,faceWord_exp,3.9847946241932393,jules,Wednesday,39,180,382.5358525310003,0,neg,389.3215604579964
egg,0.6971500500003458,image_stim_p.png,0.5092119809996802,0.7061007820011582,female,13,k,397.0061652479999,394.2721068039973,21,396.30006446599873,41,393.2710894060001,180,20,5.95,3,42,faceWord_exp,-0.6884171372613734,jules,Wednesday,40,336,392.57393935599976,0,neu,396.8092764469984
