response,word_label,word_score_pc,pause_trigger,onset_word,delay_frames_before,word,img_trigger,scan day,offset_word,no,condition,duration_measured_img,gender,ID,offset_img,img,session,onset_img,rt,word_score_warriner,correct_resp,pause_trigger_t,word_trigger,duration_measured_word,key_t,delay_frames_after,duration_frames,age
b,neu,-0.30581232848456497,41,1.0188610419863835,180,advice,21,Monday,1.736627004982438,1,faceWord_exp,0.7024725479423068,male,km,5.555123887956142,image_stim_p.png,6,4.852651340013836,0.4216808939818293,5.78,1,2.7373176519759,13,0.7177659629960544,5.274332233995665,336,42,21
y,neg,3.2726955917764444,32,11.166268823959399,180,gunshot,22,Monday,11.858135762973689,2,faceWord_exp,0.7051431980216876,male,km,15.609950029989704,image_stim_n.png,6,14.904806831968017,0.4081264580017887,2.79,1,12.859270702989306,12,0.6918669390142895,15.312933289969806,336,42,21
b,pos,-1.613773182399739,31,21.218470557010733,180,hygiene,21,Monday,21.913178832968697,3,faceWord_exp,0.7004750519990921,male,km,25.64808237797115,image_stim_p.png,6,24.947607325972058,0.5028385210316628,6.38,1,22.91400845197495,11,0.6947082759579644,25.45044584700372,336,42,21
b,pos,-1.1812540207039297,31,31.256361524981912,180,elm,21,Monday,31.95108802098548,4,faceWord_exp,0.7012902159476653,male,km,35.68616280995775,image_stim_p.png,6,34.984872594010085,0.5063577269902453,6.32,1,32.95205507299397,11,0.6947264960035682,35.49123032100033,336,42,21
y,neg,2.52891321026023,32,41.29628206696361,336,folly,22,Monday,41.98908281698823,5,faceWord_exp,0.696726166002918,male,km,48.32532166497549,image_stim_n.png,6,47.62859549897257,0.5986882360302843,4.11,1,42.99017159896903,12,0.6928007500246167,48.22728373500286,180,42,21
y,neu,0.6345811289687322,42,51.33244948997162,336,big,22,Monday,52.02718236099463,6,faceWord_exp,0.7029280910501257,male,km,58.363492669013795,image_stim_n.png,6,57.66056457796367,0.6409486180054955,5.64,1,53.02837959298631,13,0.6947328710230067,58.301513195969164,180,42,21
b,pos,-2.3202480308548075,31,61.37117484799819,180,party,21,Monday,62.065267294994555,7,faceWord_exp,0.7012834409833886,male,km,65.80030669097323,image_stim_p.png,6,65.09902324998984,0.5364759030053392,7.18,1,63.0664136139676,11,0.6940924469963647,65.63549915299518,336,42,21
b,neu,-0.8574934623041074,41,71.4094070289866,180,accordion,21,Monday,72.1033585309633,8,faceWord_exp,0.7015838149818592,male,km,75.83852268697228,image_stim_p.png,6,75.13693887199042,0.6066938689909875,5.26,1,73.10445874300785,13,0.6939515019766986,75.74363274098141,336,42,21
y,neu,0.38949539348709145,42,81.44583646196406,180,era,22,Monday,82.14153105497826,9,faceWord_exp,0.7012274470180273,male,km,85.87658177298727,image_stim_n.png,6,85.17535432596924,0.5530602520448156,5.29,1,83.14267304696841,13,0.6956945930141956,85.72841457801405,336,42,21
b,pos,-1.4048581699918157,31,91.4849042299902,180,blueberry,21,Monday,92.17956512299133,10,faceWord_exp,0.7014819839969277,male,km,95.91478821996134,image_stim_p.png,6,95.21330623596441,0.4866534399916418,7.11,1,93.180748217972,11,0.694660893001128,95.69995967595605,336,42,21
b,pos,-3.0889019952949432,31,101.52503892796813,336,honeymoon,21,Monday,102.21775755495764,11,faceWord_exp,0.6984107879688963,male,km,108.55368690897012,image_stim_p.png,6,107.85527612100122,0.6201271109748632,7.53,1,103.21858777699526,11,0.6927186269895174,108.47540323197609,180,42,21
b,pos,-1.6320665929887423,31,111.56071714597056,180,forest,21,Monday,112.25587427098071,12,faceWord_exp,0.7014150180038996,male,km,115.99079773999983,image_stim_p.png,6,115.28938272199593,0.6373101609642617,6.68,1,113.25687150098383,11,0.6951571250101551,115.9266928829602,336,42,21
b,pos,-2.035068499528653,31,121.59960111300461,336,dolphin,21,Monday,122.29393601696938,13,faceWord_exp,0.7008639490231872,male,km,128.62976301799063,image_stim_p.png,6,127.92889906896744,0.5729078850126825,6.67,1,123.29488565697102,11,0.6943349039647728,128.50180695398012,180,42,21
y,neg,3.587794463102913,32,131.63695817400003,336,prison,22,Monday,132.33192857098766,14,faceWord_exp,0.7013587559922598,male,km,138.66827964398544,image_stim_n.png,6,137.96692088799318,0.6700523989857174,1.94,1,133.3329417129862,12,0.6949703969876282,138.6369732869789,180,42,21
y,neg,3.1738538072533196,32,141.67429052700754,336,sin,22,Monday,142.36999983998248,15,faceWord_exp,0.7013850979856215,male,km,148.70609473396325,image_stim_n.png,6,148.00470963597763,0.7058705050149001,3.08,1,143.37132903700694,12,0.695709312974941,148.71058014099253,180,42,21
