scan day,word_score_pc,correct_resp,duration_frames,ID,delay_frames_before,delay_frames_after,pause_trigger,age,duration_measured_img,img,offset_img,word_score_warriner,word_trigger,gender,session,onset_img,rt,duration_measured_word,response,onset_word,word_label,img_trigger,pause_trigger_t,no,condition,offset_word,word,key_t
Wednesday,-1.8894778219780863,1,42,orm,336,180,31,22,0.6987929199822247,image_stim_p.png,8.522492312942632,7.0,11,male,3,7.823699392960407,0.34964004496578127,0.9332206519320607,b,1.120253105997108,pos,21,3.1556527969660237,1,faceWord_exp,2.0534737579291686,coffee,8.173339437926188
Wednesday,-1.6019047514101912,1,42,orm,180,336,31,22,0.6896287800045684,image_stim_p.png,15.939119454007596,7.25,11,male,3,15.249490674003027,0.5418442100053653,0.6941030219895765,b,11.52781161502935,pos,21,13.222720150020905,2,faceWord_exp,12.221914637018926,family,15.791334884008393
Wednesday,0.5062695562835388,1,42,orm,180,336,41,22,0.6900753879453987,image_stim_p.png,25.955914985970594,5.75,13,male,3,25.265839598025195,0.5259649289073423,0.695773241110146,b,21.543434512917884,neu,21,23.239613735931925,3,faceWord_exp,22.23920775402803,year,25.791804526932538
Wednesday,3.9847946241932393,1,42,orm,180,336,32,22,0.6888438190799206,image_stim_n.png,35.97199913102668,3.23,12,male,3,35.28315531194676,0.44193747197277844,0.6921101190382615,y,31.56369521492161,neg,22,33.256030041957274,4,faceWord_exp,32.25580533395987,snub,35.725092783919536
Wednesday,-0.1793860699809707,1,42,orm,180,336,41,22,0.690557983936742,image_stim_p.png,46.4718508629594,5.34,13,male,3,45.78129287902266,0.5597503909375519,0.6937310490757227,b,42.06197226594668,neu,21,43.755939688999206,5,faceWord_exp,42.7557033150224,patent,46.34104326996021
Wednesday,-1.2474567486001964,1,42,orm,180,336,31,22,0.6910759500460699,image_stim_p.png,56.48857190099079,6.71,11,male,3,55.79749595094472,0.6099879679968581,0.6946523259393871,b,52.07914114801679,pos,21,53.772253631963395,6,faceWord_exp,52.773793473956175,advantage,56.40748391894158
Wednesday,-1.728066945394655,1,42,orm,336,180,31,22,0.6907258469145745,image_stim_p.png,69.10508942091838,6.84,11,male,3,68.4143635740038,0.5268139879917726,0.6953183880541474,b,62.09318132593762,pos,21,63.78890278202016,7,faceWord_exp,62.78849971399177,computer,68.94117756199557
Wednesday,-2.2287379941341,1,42,orm,180,336,31,22,0.6900560250505805,image_stim_p.png,76.52159551298246,7.48,11,male,3,75.83153948793188,0.3085936940042302,0.694414840079844,b,72.11060562892817,pos,21,73.80546128097922,8,faceWord_exp,72.80502046900801,hope,76.14013318193611
Wednesday,-1.100912149643323,1,42,orm,180,336,31,22,0.6890140899922699,image_stim_p.png,86.53845594497398,6.32,11,male,3,85.8494418549817,0.37420249299611896,0.6913762169424444,b,82.13058862800244,pos,21,83.82203882292379,9,faceWord_exp,82.82196484494489,saxophone,86.22364434797782
Wednesday,1.7592404876513306,1,42,orm,180,336,32,22,0.6896364199928939,image_stim_n.png,96.55466777691618,4.32,12,male,3,95.86503135692328,0.5918546960456297,0.6962205490563065,y,92.14219044696074,neg,22,93.83892018301412,10,faceWord_exp,92.83841099601705,cold,96.45688605296891
