response,key_t,ID,word_score_warriner,rt,onset_word,pause_trigger_t,condition,gender,offset_img,no,onset_img,offset_word,pause_trigger,word_trigger,word_label,correct_resp,duration_frames,scan day,word,delay_frames_before,word_score_pc,img,duration_measured_img,delay_frames_after,img_trigger,age,duration_measured_word,session
b,7.859203766915016,pernille,7.15,0.3399077379144728,1.0234196489909664,2.721936346963048,faceWord_exp,female,8.222298583947122,1,7.519296029000543,1.7195380999473855,31,11,pos,1,42,Monday,girl,336,-1.313583728320736,image_stim_p.png,0.703002554946579,180,21,22,0.6961184509564191,6
b,18.097562296898104,pernille,6.67,0.506264052935876,11.232168085989542,12.94171090098098,faceWord_exp,female,18.294169326894917,2,17.59129824396223,11.940832847962156,31,11,pos,1,42,Monday,dolphin,336,-2.035068499528653,image_stim_p.png,0.7028710829326883,180,21,22,0.7086647619726136,6
b,25.500743825919926,pernille,7.11,0.444416846963577,21.307834524894133,23.012731260969304,faceWord_exp,female,25.763051263988018,3,25.05632697895635,22.011298802914098,31,11,pos,1,42,Monday,blueberry,180,-1.4048581699918157,image_stim_p.png,0.7067242850316688,336,21,22,0.7034642780199647,6
b,35.58872233692091,pernille,5.9,0.46125049993861467,31.379017301951535,33.0843715169467,faceWord_exp,female,35.83376382291317,4,35.127471836982295,32.08309194096364,41,13,neu,1,42,Monday,medicine,180,0.597486551423763,image_stim_p.png,0.7062919859308749,336,21,22,0.7040746390121058,6
y,46.526332079898566,pernille,3.19,0.7306157809216529,41.97959036089014,43.754595272941515,faceWord_exp,female,46.48838732892182,5,45.79571629897691,42.753266282961704,32,12,neg,1,42,Monday,old,180,1.5556418242275696,image_stim_n.png,0.6926710299449041,336,22,22,0.7736759220715612,6
y,56.48097468994092,pernille,5.65,0.6472596710082144,52.097058231942356,53.79229709599167,faceWord_exp,female,56.94264670892153,6,55.83371501893271,52.790948268957436,41,13,neu,0,42,Monday,comb,180,-0.15774590184623308,image_stim_p.png,1.1089316899888217,336,21,22,0.6938900370150805,6
b,66.83403490390629,pernille,5.33,0.5296729939291254,62.55646235588938,64.26299547695089,faceWord_exp,female,67.01248239993583,7,66.30436190997716,63.261864195927046,41,13,neu,1,42,Monday,quantity,180,-0.1985745460766808,image_stim_p.png,0.7081204899586737,336,21,22,0.7054018400376663,6
y,79.50598299491685,pernille,5.33,0.5289187870221213,72.62339147692546,74.33350915799383,faceWord_exp,female,79.68514396995306,8,78.97706420789473,73.33236348989885,42,13,neu,1,42,Monday,prairie,336,-1.1818642926883074,image_stim_n.png,0.7080797620583326,180,22,22,0.7089720129733905,6
y,89.72665571491234,pernille,5.29,0.6788807699922472,82.69303901388776,84.4047605699161,faceWord_exp,female,89.75538958993275,9,89.04777494492009,83.40336757095065,42,13,neu,1,42,Monday,era,336,0.38949539348709145,image_stim_n.png,0.7076146450126544,180,22,22,0.7103285570628941,6
y,97.2296531869797,pernille,3.94,0.7081001750193536,92.76901091297623,94.47516922198702,faceWord_exp,female,97.2249929489335,10,96.52155301196035,93.47369421296753,32,12,neg,1,42,Monday,lawyer,180,1.4290259416609457,image_stim_n.png,0.7034399369731545,336,22,22,0.7046832999913022,6
y,109.70092333690263,pernille,5.21,0.514246265986003,102.83498063194565,104.54544349689968,faceWord_exp,female,109.87997792696115,11,109.18667707091663,103.54337699699681,42,13,neu,1,42,Monday,church,336,0.4070035035588155,image_stim_n.png,0.693300856044516,180,22,22,0.7083963650511578,6
y,117.11998791596852,pernille,5.64,0.4971549459733069,112.88752107194159,114.58278128888924,faceWord_exp,female,117.3165616869228,12,116.62283296999522,113.58127196191344,42,13,neu,1,42,Monday,big,180,0.6345811289687322,image_stim_n.png,0.6937287169275805,336,22,22,0.6937508899718523,6
b,130.04222362698056,pernille,5.95,0.7426445570308715,122.92871024797205,124.63629057991784,faceWord_exp,female,130.00461605994496,13,129.2995790699497,123.63485844491515,41,13,neu,1,42,Monday,escalator,336,-0.1293625696653618,image_stim_p.png,0.7050369899952784,180,21,22,0.7061481969431043,6
y,137.42848338594195,pernille,3.68,0.6783818859839812,133.01232274295762,134.70760545192752,faceWord_exp,female,137.45751178089995,14,136.75010149995796,133.70630448393058,32,12,neg,1,42,Monday,bee,180,1.5036737146000605,image_stim_n.png,0.7074102809419855,336,22,22,0.6939817409729585,6
y,147.79943407594692,pernille,4.32,0.9802039200440049,143.06748241488822,144.77784605592024,faceWord_exp,female,147.5282235739287,15,146.81923015590291,143.7777328029042,32,12,neg,1,42,Monday,crow,180,0.8985553834191027,image_stim_n.png,0.7089934180257842,336,22,22,0.7102503880159929,6
y,157.71945547289215,pernille,4.42,0.8299199719913304,153.15333987190388,154.8489857648965,faceWord_exp,female,157.59885203489102,16,156.88953550090082,153.8471597438911,32,12,neg,1,42,Monday,protest,180,1.346131993343653,image_stim_n.png,0.7093165339902043,336,22,22,0.6938198719872162,6
y,170.41024758596905,pernille,2.79,0.8447273470228538,163.21319692197721,164.9191165539669,faceWord_exp,female,170.26960387290455,17,169.5655202389462,163.91808854299597,32,12,neg,1,42,Monday,gunshot,336,3.2726955917764444,image_stim_n.png,0.704083633958362,180,22,22,0.7048916210187599,6
b,177.9611580609344,pernille,5.8,0.9303782270289958,173.28030156390741,174.98980752797797,faceWord_exp,female,177.74013104394544,18,177.0307798339054,173.98862772795837,41,13,neu,1,42,Monday,finger,180,-0.3659926056186196,image_stim_p.png,0.7093512100400403,336,21,22,0.708326164050959,6
b,187.58146413590293,pernille,7.18,0.4808344979537651,183.34965345892124,185.06072678789496,faceWord_exp,female,187.7940531698987,19,187.10062963794917,184.05913009599317,31,11,pos,1,42,Monday,party,180,-2.3202480308548075,image_stim_p.png,0.6934235319495201,336,21,22,0.7094766370719299,6
b,200.2532395669259,pernille,6.81,0.49763848597649485,193.4041070198873,195.11412703897804,faceWord_exp,female,200.4488872999791,20,199.75560108094942,194.11313308496028,31,11,pos,1,42,Monday,cheese,336,-1.5755240884938977,image_stim_p.png,0.6932862190296873,180,21,22,0.709026065072976,6
b,210.240634748945,pernille,2.53,0.44797366799321026,203.45665440894663,205.15164638194256,faceWord_exp,female,210.48637487296946,21,209.7926610809518,204.15034770290367,32,12,neg,0,42,Monday,lost,336,3.7741942061665816,image_stim_n.png,0.693713792017661,180,22,22,0.6936932939570397,6
b,220.37722546199802,pernille,6.61,0.5301179820671678,213.49506026692688,215.20560258592013,faceWord_exp,female,220.54036181990523,22,219.84710747993086,214.20480489591137,31,11,pos,1,42,Monday,camera,336,-1.0219663684796234,image_stim_p.png,0.6932543399743736,180,21,22,0.7097446289844811,6
y,230.48163166595623,pernille,3.89,0.5662030229577795,223.55189637898002,225.25937000394333,faceWord_exp,female,230.61076201393735,23,229.91542864299845,224.25850086088758,32,12,neg,1,42,Monday,judge,336,1.421533554407035,image_stim_n.png,0.6953333709388971,180,22,22,0.7066044819075614,6
y,237.9340820159996,pernille,6.68,0.5581746670650318,233.62312749098055,235.32971055991948,faceWord_exp,female,238.08062400098424,24,237.37590734893456,234.32928805495612,31,11,pos,0,42,Monday,forest,180,-1.6320665929887423,image_stim_p.png,0.704716652049683,336,21,22,0.7061605639755726,6
y,248.1554358449066,pernille,2.29,0.7139336299151182,243.6901042329846,245.40069070493337,faceWord_exp,female,248.13351221499033,25,247.4415022149915,244.39956305990927,32,12,neg,1,42,Monday,guilt,180,4.2219398121868315,image_stim_n.png,0.6920099999988452,336,22,22,0.7094588269246742,6
