scan day,condition,ID,gender,offset_img,duration_measured_word,age,word,key_t,img,session,rt,onset_img,correct_resp,word_score_pc,delay_frames_after,response,word_score_warriner,delay_frames_before,onset_word,no,word_label,duration_frames,offset_word,duration_measured_img
Monday,faceWord_exp,pjh,male,3.343612500000745,0.6793807999929413,21,red,1.042183900004602,image_stim_n.png,4,-1.62256439999328,2.664748299997882,0,0.4395766978022416,58,b,5.67,51,1.032950000007986,1,neu,42,1.7123308000009274,0.6788642000028631
Monday,faceWord_exp,pjh,male,6.408283700002357,0.6847558000008576,21,bay,5.925750499998685,image_stim_p.png,4,0.19693929998902604,5.728811200009659,1,-1.17416436554964,39,b,7.23,40,4.324591700002202,2,pos,42,5.009347500003059,0.6794724999926984
Monday,faceWord_exp,pjh,male,9.322994800008019,0.6840014000044903,21,trust,8.224688700007391,image_stim_p.png,4,-0.4177925999974832,8.642481300004874,1,-2.1205664047688315,52,b,7.24,46,7.072050200004014,3,pos,42,7.7560516000085045,0.6805135000031441
Monday,faceWord_exp,pjh,male,12.636835900004371,0.6764066000032471,21,festival,10.774047400002019,image_stim_p.png,4,-1.181153900004574,11.955201300006593,1,-2.93465986085152,65,b,6.84,61,10.211882100004004,4,pos,42,10.888288700007251,0.6816345999977784
Monday,faceWord_exp,pjh,male,16.049060300007113,0.6834983000007924,21,saw,13.921100400009891,image_stim_n.png,4,-1.4514061999943806,15.372506600004272,,-0.10198134801944247,55,j,4.16,53,13.732203699997626,5,neg,42,14.415701999998419,0.6765537000028417
Monday,faceWord_exp,pjh,male,18.947437299997546,0.6840901000105077,21,shoulder,17.15091160000884,image_stim_p.png,4,-1.118915899991407,18.269827500000247,1,0.12602488928311428,39,b,5.1,33,16.980862199998228,6,neu,42,17.664952300008736,0.677609799997299
Monday,faceWord_exp,pjh,male,21.77811670000665,0.6887074999976903,21,hall,19.68326679999882,image_stim_p.png,4,-1.4065666000096826,21.0898334000085,,0.4398740830446768,43,j,5.89,44,19.607831300003454,7,neu,42,20.296538800001144,0.6882832999981474
Monday,faceWord_exp,pjh,male,24.794329299998935,0.6811717000091448,21,wonder,22.545975500004715,image_stim_p.png,4,-1.566203399997903,24.11217890000262,1,-2.303583541830637,62,b,6.68,52,22.51132890000008,8,pos,42,23.192500600009225,0.682150399996317
Monday,faceWord_exp,pjh,male,28.089701000004425,0.6883024999988265,21,boy,26.04323470000236,image_stim_p.png,4,-1.3685387000004994,27.411773400002858,,-0.9031069202434168,55,j,5.84,49,25.836344299998018,9,neu,42,26.524646799996844,0.677927600001567
Monday,faceWord_exp,pjh,male,31.16979369999899,0.6858259999862639,21,fallacy,29.224777000010363,image_stim_n.png,4,-1.2702162999921711,30.494993300002534,0,2.7422742606943906,61,b,4.0,44,29.019354900010512,10,neg,42,29.705180899996776,0.6748003999964567
Monday,faceWord_exp,pjh,male,34.435854000010295,0.6811820000002626,21,flower,32.32147039999836,image_stim_p.png,4,-1.4383903999987524,33.759860799997114,1,-2.411716547027706,58,b,7.3,49,32.20409769999969,11,pos,42,32.885279699999955,0.6759932000131812
Monday,faceWord_exp,pjh,male,37.76496380000026,0.686371700008749,21,guard,35.437622700002976,image_stim_n.png,4,-1.6528595999989193,37.090482300001895,,0.29188517290671034,65,j,5.89,56,35.413225199998124,12,neu,42,36.09959690000687,0.6744814999983646
Monday,faceWord_exp,pjh,male,41.21207370000775,0.6864031000004616,21,empty,39.00023810000857,image_stim_n.png,4,-1.5344143999973312,40.534652500005905,0,2.8496222967354625,58,b,3.78,55,38.877388599998085,13,neg,42,39.563791699998546,0.6774212000018451
Monday,faceWord_exp,pjh,male,44.27660379999725,0.6872591999999713,21,honey,42.22940009999729,image_stim_p.png,4,-1.3570642000122461,43.58646430000954,,-2.066768843681998,40,j,7.27,39,42.189449700003024,14,pos,42,42.876708900002996,0.6901394999877084
Monday,faceWord_exp,pjh,male,47.25934060000873,0.6808883999910904,21,snake,45.044548500009114,image_stim_n.png,4,-1.5387740000005579,46.58332250000967,,1.95458394600482,56,j,4.03,53,44.962022100007744,15,neg,42,45.642910499998834,0.6760180999990553
Monday,faceWord_exp,pjh,male,50.68778370000655,0.6870052000012947,21,accident,48.25934990000678,image_stim_n.png,4,-1.746812500001397,50.00616240000818,0,3.9974740190684885,48,b,2.55,64,48.20242090000829,16,neg,42,48.88942610000959,0.6816212999983691
Monday,faceWord_exp,pjh,male,53.65361880000273,0.6879580999957398,21,kitchen,51.589540900007705,image_stim_p.png,4,-1.3789910999912536,52.96853199999896,,-1.5082836116280287,73,j,6.17,43,51.49879340000916,17,pos,42,52.1867515000049,0.6850868000037735
Monday,faceWord_exp,pjh,male,57.115981000009924,0.6871639000019059,21,stampede,54.93776130001061,image_stim_n.png,4,-1.4894721999880858,56.42723349999869,,2.7437052692255306,63,j,4.48,48,54.88060509999923,18,neg,42,55.567769000001135,0.6887475000112318
Monday,faceWord_exp,pjh,male,60.52921619999688,0.7033437000063714,21,bread,58.1797113000066,image_stim_p.png,4,-1.6658511999994516,59.845562500006054,1,-1.5215329943370883,27,b,6.52,54,58.177035100001376,19,pos,42,58.88037880000775,0.6836536999908276
Monday,faceWord_exp,pjh,male,62.87797580000188,0.6863133999868296,21,theme,61.01541750000615,image_stim_p.png,4,-1.177471000002697,62.19288850000885,,-0.7774272008663468,55,j,5.43,27,60.99219270001049,20,neu,42,61.67850609999732,0.6850872999930289
