word_score_warriner,duration_measured_word,delay_frames_after,gender,age,delay_frames_before,word_label,correct_resp,word,duration_measured_img,key_t,no,response,pause_trigger_t,offset_img,ID,img,word_trigger,scan day,img_trigger,pause_trigger,onset_word,condition,duration_frames,rt,session,onset_img,offset_word,word_score_pc
6.35,0.6836668001487851,180,female,21,336,pos,,sled,0.6882670000195503,,1,,2.714689000044018,8.07754909992218,sha,image_stim_p.png,11,Monday,21,31,1.0284382998943329,faceWord_exp,42,,1,7.38928209990263,1.712105100043118,-1.9273821271493088
8.47,0.6792848999612033,336,female,21,180,pos,,happy,0.6952241999097168,,2,,12.778092300053686,15.529183200094849,sha,image_stim_p.png,11,Monday,21,31,11.097701100166887,faceWord_exp,42,,1,14.833959000185132,11.77698600012809,-3.1501939707833047
7.05,0.6819421998225152,336,female,21,180,pos,,lemonade,0.6930394000373781,,3,,22.826096599921584,25.5923635000363,sha,image_stim_p.png,11,Monday,21,31,21.14337579999119,faceWord_exp,42,,1,24.89932409999892,21.825317999813706,-2.146343780688921
4.8,0.6876611998304725,336,female,21,180,neg,1,mouse,0.6804512003436685,35.47307089995593,4,y,32.89185249991715,35.6552801001817,sha,image_stim_n.png,12,Monday,22,32,31.20299360016361,faceWord_exp,42,0.498242000117898,1,34.97482889983803,31.89065479999408,1.5906822936049958
8.37,0.6801196997985244,336,female,21,180,pos,,fun,0.6899588000960648,,5,,42.95908789988607,45.70655750017613,sha,image_stim_p.png,11,Monday,21,31,41.27699390007183,faceWord_exp,42,,1,45.01659870008007,41.957113599870354,-3.2613064969771037
4.21,0.6816928996704519,336,female,21,180,neg,1,policeman,0.6879870998673141,55.522801800165325,6,y,53.005882299970835,55.754349099937826,sha,image_stim_n.png,12,Monday,22,32,51.32383170025423,faceWord_exp,42,0.4564398000948131,1,55.06636200007051,52.005524599924684,0.397042668763988
6.36,0.6814737999811769,180,female,21,336,pos,,boat,0.6794656999409199,,7,,63.05450290022418,68.40397490002215,sha,image_stim_p.png,11,Monday,21,31,61.372904600109905,faceWord_exp,42,,1,67.72450920008123,62.05437840009108,-1.0613549170130714
5.14,0.6893186997622252,180,female,21,336,neu,1,spatula,0.675623900257051,78.1526652998291,8,y,73.10318810027093,78.43483360018581,sha,image_stim_n.png,13,Monday,22,42,71.41297660022974,faceWord_exp,42,0.3934555999003351,1,77.75920969992876,72.10229529999197,-0.18281188470513854
3.32,0.6901588002219796,180,female,21,336,neg,1,bribe,0.679935600142926,88.10298380022869,9,y,83.13525070017204,88.4692370002158,sha,image_stim_n.png,12,Monday,22,32,81.44462580000982,faceWord_exp,42,0.3136824001558125,1,87.78930140007287,82.1347846002318,2.3815246085651838
3.16,0.6876862002536654,180,female,21,336,neg,1,hurricane,0.6774271000176668,98.10334970010445,10,y,93.1688935002312,98.50004650000483,sha,image_stim_n.png,12,Monday,22,32,91.47855150001124,faceWord_exp,42,0.28073030011728406,1,97.82261939998716,92.1662377002649,3.648586845460279
4.73,0.6884170002304018,336,female,21,180,neg,1,commander,0.6787918996997178,105.60293309995905,11,y,103.1995927002281,105.93254749989137,sha,image_stim_n.png,12,Monday,22,32,101.51085049984977,faceWord_exp,42,0.3491774997673929,1,105.25375560019165,102.19926750008017,0.98843671158419
