img_trigger,duration_measured_img,offset_img,word_score_warriner,duration_frames,gender,pause_trigger,ID,duration_measured_word,age,pause_trigger_t,onset_word,img,key_t,response,word,word_score_pc,correct_resp,word_trigger,no,session,word_label,onset_img,delay_frames_after,offset_word,delay_frames_before,condition,scan day,rt
21,0.6796192000620067,8.087492800317705,5.72,42,female,41,sha,0.6845313003286719,21,2.7227524002082646,1.0368302999995649,image_stim_p.png,7.923122399952263,b,apartment,-0.5485436049411244,1,13,1,2,neu,7.407873600255698,180,1.7213616003282368,336,faceWord_exp,Monday,0.5152487996965647
22,0.6921753003261983,18.153615900315344,3.48,42,female,32,sha,0.6843539997935295,21,12.78834900027141,11.10231490014121,image_stim_n.png,17.838661999907345,y,axe,0.7321109855355353,1,12,2,2,neg,17.461440599989146,180,11.786668899934739,336,faceWord_exp,Monday,0.3772213999181986
22,0.6884586000815034,28.18453019997105,5.19,42,female,42,sha,0.6779689001850784,21,22.852848399896175,21.17384300008416,image_stim_n.png,28.052209600340575,b,highway,0.650019808676411,0,13,3,2,neu,27.496071599889547,180,21.85181190026924,336,faceWord_exp,Monday,0.5561380004510283
22,0.6770919999107718,35.6176018002443,5.43,42,female,42,sha,0.6823436999693513,21,32.8847395000048,31.201700699981302,image_stim_n.png,35.30319750029594,y,asparagus,-0.34443889393116306,1,13,4,2,neu,34.94050980033353,336,31.884044399950653,180,faceWord_exp,Monday,0.36268769996240735
21,0.6849680999293923,48.28372379997745,6.81,42,female,31,sha,0.6786440000869334,21,42.9167398000136,41.237175500020385,image_stim_p.png,48.05158620001748,y,sailboat,-1.5621536719325724,0,11,5,2,pos,47.59875570004806,180,41.91581950010732,336,faceWord_exp,Monday,0.4528304999694228
21,0.678643099963665,58.31577800028026,7.88,42,female,31,sha,0.6999111999757588,21,52.998705400153995,51.299482100177556,image_stim_p.png,57.9484272999689,b,joke,-1.8879163634684628,1,11,6,2,pos,57.637134900316596,180,51.999393300153315,336,faceWord_exp,Monday,0.31129239965230227
21,0.6908064000308514,65.7644585003145,5.5,42,female,41,sha,0.6888029999099672,21,63.01393559994176,61.324887100141495,image_stim_p.png,65.63214980019256,b,winter,0.3495373155897487,1,13,7,2,neu,65.07365210028365,336,62.01369010005146,180,faceWord_exp,Monday,0.5584976999089122
22,0.6811688998714089,75.77842770004645,5.82,42,female,42,sha,0.6871433998458087,21,73.06298630032688,71.3751036003232,image_stim_n.png,75.56352209998295,y,monkey,-0.6680004122251881,1,13,8,2,neu,75.09725880017504,336,72.06224700016901,180,faceWord_exp,Monday,0.46626329980790615
22,0.6774622001685202,88.393449800089,4.57,42,female,32,sha,0.6910769999958575,21,83.0784200001508,81.38626029994339,image_stim_n.png,88.17771279998124,y,lab,0.2032181950076048,1,12,9,2,neg,87.71598759992048,180,82.07733729993924,336,faceWord_exp,Monday,0.461725200060755
22,0.6941755996085703,95.8444143999368,4.78,42,female,32,sha,0.6837013000622392,21,93.09334899997339,91.40896190004423,image_stim_n.png,95.57839940022677,y,heavy,1.3393636650983416,1,12,10,2,neg,95.15023880032822,336,92.09266320010647,180,faceWord_exp,Monday,0.42816059989854693
21,0.689852099865675,108.49247420020401,5.5,42,female,41,sha,0.6905666999518871,21,103.14238619990647,101.45109050022438,image_stim_p.png,108.29423950007185,b,nose,-0.049892793833906636,1,13,11,2,neu,107.80262210033834,180,102.14165720017627,336,faceWord_exp,Monday,0.4916173997335136
