response,word_label,img,offset_word,age,word_score_pc,duration_frames,session,pause_trigger,pause_trigger_t,key_t,scan day,onset_img,gender,onset_word,img_trigger,word_trigger,rt,duration_measured_word,no,condition,duration_measured_img,delay_frames_after,offset_img,delay_frames_before,ID,word,correct_resp,word_score_warriner
,neu,image_stim_p.png,1.6733017996884882,21,-0.945340141786388,42,3,41,2.6735453996807337,,Monday,7.295920999720693,female,0.9873420000076294,21,13,,0.6859597996808589,1,faceWord_exp,0.6767724002711475,180,7.97269339999184,336,sha,tuba,,5.58
y,neg,image_stim_n.png,11.672149799764156,21,3.6887696102955196,42,3,32,12.672504399903119,17.572026699781418,Monday,17.293107700068504,female,10.978779499884695,22,12,0.27891899971291423,0.6933702998794615,2,faceWord_exp,0.6784664997830987,180,17.971574199851602,336,sha,malice,1,2.81
y,neu,image_stim_n.png,21.670676699839532,21,-0.1793860699809707,42,3,42,22.670942799653858,25.07090079970658,Monday,24.691360000055283,female,20.97586190002039,22,13,0.37954079965129495,0.6948147998191416,3,faceWord_exp,0.6789015997201204,336,25.370261599775404,180,sha,patent,1,5.34
b,neu,image_stim_p.png,31.669802200049162,21,0.1511721542964875,42,3,41,32.670291299931705,35.16975659970194,Monday,34.68903600005433,female,30.973106399644166,21,13,0.4807205996476114,0.6966958004049957,4,faceWord_exp,0.6812970996834338,336,35.37033309973776,180,sha,sum,1,5.71
b,pos,image_stim_p.png,41.66992869973183,21,-1.0930411682114536,42,3,31,42.67090819962323,45.0854185000062,Monday,44.69452539971098,female,40.97883779974654,21,11,0.39089310029521585,0.6910908999852836,5,faceWord_exp,0.674311799928546,336,45.36883719963953,180,sha,goldfish,1,6.62
b,neu,image_stim_p.png,51.668222199659795,21,-0.23071750329615884,42,3,41,52.668850699905306,55.11842289986089,Monday,54.69256619969383,female,50.97421619994566,21,13,0.4258567001670599,0.6940059997141361,6,faceWord_exp,0.6748661999590695,336,55.3674323996529,180,sha,pen,1,5.63
b,neu,image_stim_n.png,61.66583199985325,21,-1.343270424679961,42,3,42,62.66745299985632,64.96689819963649,Monday,64.69197129970416,female,60.973499099723995,22,13,0.2749268999323249,0.6923329001292586,7,faceWord_exp,0.6738077001646161,336,65.36577899986878,180,sha,jam,0,5.81
y,neu,image_stim_n.png,71.66615099972114,21,0.5990623206044929,42,3,42,72.66584949987009,75.08256389992312,Monday,74.69008679967374,female,70.97281700000167,22,13,0.3924771002493799,0.6933339997194707,8,faceWord_exp,0.6745102000422776,336,75.36459699971601,180,sha,witness,1,5.61
b,neu,image_stim_p.png,81.66422819998115,21,0.13339963708933658,42,3,41,82.66544279968366,87.71286669978872,Monday,87.28686359990388,female,80.97010349994525,21,13,0.42600309988483787,0.6941247000358999,9,faceWord_exp,0.67555409995839,180,87.96241769986227,336,sha,pencil,1,5.65
b,pos,image_stim_p.png,91.66180130001158,21,-1.6019047514101912,42,3,31,92.66241419967264,94.91212699981406,Monday,94.68173739966005,female,90.96712980000302,21,11,0.23038960015401244,0.6946715000085533,10,faceWord_exp,0.679471000097692,336,95.36120839975774,180,sha,family,1,7.25
