correct_resp,no,offset_word,condition,duration_measured_img,word,duration_measured_word,duration_frames,delay_frames_after,img_trigger,onset_word,word_score_warriner,offset_img,delay_frames_before,pause_trigger_t,rt,word_score_pc,scan day,img,gender,pause_trigger,key_t,response,ID,word_trigger,word_label,session,age,onset_img
0,1,1.731689946,faceWord_exp,0.698201949,truck,0.71121049,42,336,22,1.020479456,5.16,5.625442772,180,2.735488666,-2.807233007,-0.590728556,Wednesday,image_stim_n.png,male,42,2.120007816,b,x,13,neu,1,21,4.927240823
1,2,11.95874564,faceWord_exp,0.698061769,famous,0.695647716,42,180,21,11.26309793,5.89,18.34313436,336,12.96172029,1.072535614,-0.805004348,Wednesday,image_stim_p.png,male,41,18.71760821,b,x,13,neu,1,21,17.64507259
0,3,22.05235571,faceWord_exp,0.689987478,beach,0.691627861,42,180,21,21.36072785,7.21,28.41980366,336,23.05658198,-2.882612916,-2.803161309,Wednesday,image_stim_p.png,male,31,24.84720326,y,x,11,pos,1,21,27.72981618
0,4,32.13001902,faceWord_exp,0.697714873,fence,0.694407569,42,180,21,31.43561145,5.05,38.49669333,336,33.13320853,1.069693429,0.375935654,Wednesday,image_stim_p.png,male,41,38.86867188,y,x,13,neu,1,21,37.79897845
1,5,42.20673809,faceWord_exp,0.698340561,fun,0.696335111,42,180,21,41.51040298,8.37,48.57359373,336,43.21011314,0.618413401,-3.261306497,Wednesday,image_stim_p.png,male,31,48.49366657,b,x,11,pos,1,21,47.87525317
1,6,52.30055028,faceWord_exp,0.696315341,noun,0.705550696,42,336,22,51.59499958,5.22,56.06036225,180,53.30414731,0.834317742,0.118724733,Wednesday,image_stim_n.png,male,42,56.19836465,y,x,13,neu,1,21,55.36404691
1,7,62.37724811,faceWord_exp,0.695481855,keyboard,0.693562321,42,180,21,61.68368579,5.17,68.76134241,336,63.38054157,-6.31455676,-0.084559504,Wednesday,image_stim_p.png,male,41,61.75130379,b,x,13,neu,1,21,68.06586055
0,8,72.47114449,faceWord_exp,0.700956082,corkscrew,0.692954377,42,180,21,71.77819012,5.26,78.92179527,336,73.5243281,1.039091288,-0.336976603,Wednesday,image_stim_p.png,male,41,79.25993048,y,x,13,neu,1,21,78.22083919
1,9,82.63076542,faceWord_exp,0.701445126,lonely,0.693967375,42,336,22,81.93679804,2.67,86.39081238,180,83.63483569,0.889834598,4.010420717,Wednesday,image_stim_n.png,male,32,86.57920185,y,x,12,neg,1,21,85.68936725
1,10,92.70837496,faceWord_exp,0.701411727,tourist,0.693120936,42,336,22,92.01525403,5.71,96.46821136,180,93.71146816,1.074893704,-0.315684697,Wednesday,image_stim_n.png,male,42,96.84169334,y,x,13,neu,1,21,95.76679964
0,11,102.7853712,faceWord_exp,0.696731375,field,0.693588509,42,180,21,102.0917826,5.73,109.1525814,336,103.7886823,2.254172082,-0.999075984,Wednesday,image_stim_p.png,male,41,110.7100221,y,x,13,neu,1,21,108.45585
1,12,112.8623301,faceWord_exp,0.695044527,pineapple,0.689756928,42,336,21,112.1725732,6.9,116.6055494,180,113.8657198,0.91630624,-1.670877139,Wednesday,image_stim_p.png,male,31,116.8268111,b,x,11,pos,1,21,115.9105048
1,13,122.9213401,faceWord_exp,0.704764287,tornado,0.692995092,42,180,22,122.228345,3.63,129.2888986,336,123.9264478,0.791211615,3.660533031,Wednesday,image_stim_n.png,male,32,129.375346,y,x,12,neg,1,21,128.5841343
1,14,132.998696,faceWord_exp,0.692851644,alligator,0.694616869,42,336,22,132.3040792,4.23,136.7429015,180,134.0027892,0.964618682,1.901418768,Wednesday,image_stim_n.png,male,32,137.0146685,y,x,12,neg,1,21,136.0500499
0,15,143.0596066,faceWord_exp,0.702425151,moral,0.694921664,42,180,21,142.364685,6.85,149.4266237,336,144.0629296,1.524735623,-1.144366901,Wednesday,image_stim_p.png,male,31,150.2489342,y,x,11,pos,1,21,148.7241985
0,16,153.1364555,faceWord_exp,0.700955681,garden,0.694432773,42,336,21,152.4420227,7.25,156.8957834,180,154.1388402,1.073016005,-2.367322111,Wednesday,image_stim_p.png,male,31,157.2678438,y,x,11,pos,1,21,156.1948278
0,17,163.2966865,faceWord_exp,0.698878262,treaty,0.694062282,42,336,21,162.6026242,5.42,167.0569315,180,164.2999394,0.953673036,-0.721391391,Wednesday,image_stim_p.png,male,41,167.3117263,y,x,13,neu,1,21,166.3580533
1,18,173.3738111,faceWord_exp,0.704560768,mouse,0.69429636,42,336,22,172.6795148,4.8,177.1339371,180,174.3768729,0.9759064,1.590682294,Wednesday,image_stim_n.png,male,32,177.4052827,y,x,12,neg,1,21,176.4293763
0,19,183.4507256,faceWord_exp,0.701845323,beer,0.695249519,42,336,21,182.7554761,5.67,187.210734,180,184.4540708,1.10734036,-0.922225972,Wednesday,image_stim_p.png,male,41,187.616229,y,x,13,neu,1,21,186.5088887
1,20,193.5276226,faceWord_exp,0.689960804,hamster,0.6911197,42,180,22,192.8365029,5.88,199.8939315,336,194.5310645,0.86103652,-1.185679153,Wednesday,image_stim_n.png,male,42,200.0650072,y,x,13,neu,1,21,199.2039707
0,21,203.6212179,faceWord_exp,0.698101503,plum,0.694620831,42,180,21,202.9265971,6.15,209.9883809,336,204.6248225,0.869619206,-1.164899554,Wednesday,image_stim_p.png,male,31,210.1598986,y,x,11,pos,1,21,209.2902794
0,22,213.6981415,faceWord_exp,0.695638215,love,0.691999127,42,336,21,213.0061424,8,217.4570786,180,214.70164,0.55003687,-2.401401532,Wednesday,image_stim_p.png,male,31,217.3114772,y,x,11,pos,1,21,216.7614404
1,23,223.7744239,faceWord_exp,0.69648477,woman,0.693477787,42,180,21,223.0809461,7.09,230.2589574,336,224.7782815,0.667095192,-1.748305849,Wednesday,image_stim_p.png,male,31,230.2295678,b,x,11,pos,1,21,229.5624726
1,24,233.9688199,faceWord_exp,0.712368261,hurricane,0.693383484,42,180,22,233.2754364,3.16,240.3700783,336,234.9723054,0.900538801,3.648586845,Wednesday,image_stim_n.png,male,32,240.5582488,y,x,12,neg,1,21,239.65771
0,25,244.0959698,faceWord_exp,0.696071833,zoo,0.693589083,42,180,21,243.4023807,7,250.4632041,336,245.0997517,0.953310789,-2.1296901,Wednesday,image_stim_p.png,male,31,250.7204431,y,x,11,pos,1,21,249.7671323
1,26,254.2564868,faceWord_exp,0.703145349,plot,0.691217658,42,336,22,253.5652691,4.9,258.0165115,180,255.260016,0.709841915,0.201696362,Wednesday,image_stim_n.png,male,32,258.0232081,y,x,12,neg,1,21,257.3133661
1,27,264.3496607,faceWord_exp,0.696075599,aggressive,0.693184854,42,336,22,263.6564759,3.08,268.0934012,180,265.3535492,0.586581466,2.166851166,Wednesday,image_stim_n.png,male,32,267.983907,y,x,12,neg,1,21,267.3973256
0,28,274.4105345,faceWord_exp,0.702435189,man,0.695285275,42,336,21,273.7152493,5.42,278.1703778,180,275.4138299,0.658514346,-0.277657622,Wednesday,image_stim_p.png,male,41,278.1264569,y,x,13,neu,1,21,277.4679426
0,29,284.4871193,faceWord_exp,0.699948525,new,0.695172845,42,336,21,283.7919464,7.68,288.2473115,180,285.4906159,0.588370201,-1.231327995,Wednesday,image_stim_p.png,male,31,288.1357331,y,x,11,pos,1,21,287.5473629
0,30,294.5642872,faceWord_exp,0.703172169,oak,0.695375628,42,180,21,293.8689116,6.47,300.9313517,336,295.5670303,0.708867973,-1.054332426,Wednesday,image_stim_p.png,male,31,300.9370475,y,x,11,pos,1,21,300.2281795
0,31,304.6409825,faceWord_exp,0.699678323,happy,0.694710947,42,336,21,303.9462716,8.47,308.4003639,180,305.6439719,0.657152955,-3.150193971,Wednesday,image_stim_p.png,male,31,308.3578385,y,x,11,pos,1,21,307.7006855
1,32,314.7181823,faceWord_exp,0.698861355,fiddle,0.693084472,42,180,22,314.0250979,5.05,321.1350138,336,315.7208682,0.555124247,-1.060157188,Wednesday,image_stim_n.png,male,42,320.9912767,y,x,13,neu,1,21,320.4361524
1,33,324.8448266,faceWord_exp,0.700293378,commander,0.690046399,42,336,22,324.1547802,4.73,328.6044416,180,325.8485207,0.556282921,0.988436712,Wednesday,image_stim_n.png,male,32,328.4604312,y,x,12,neg,1,21,327.9041483
0,34,334.9215869,faceWord_exp,0.701226309,whale,0.693910837,42,336,21,334.2276761,5.81,338.6817657,180,335.9253149,0.68989442,-0.845559574,Wednesday,image_stim_p.png,male,41,338.6704338,y,x,13,neu,1,21,337.9805394
1,35,344.9982715,faceWord_exp,0.698340154,deceit,0.694203204,42,336,22,344.3040683,2.89,348.7587962,180,346.001812,0.538635798,4.314775127,Wednesday,image_stim_n.png,male,32,348.5990918,y,x,12,neg,1,21,348.060456
1,36,355.1426173,faceWord_exp,0.697653633,policeman,0.694419111,42,336,22,354.4481982,4.21,358.9025872,180,356.1459387,0.652755411,0.397042669,Wednesday,image_stim_n.png,male,32,358.857689,y,x,12,neg,1,21,358.2049336
1,37,365.2195812,faceWord_exp,0.702812261,victim,0.693654883,42,336,22,364.5259264,2.05,368.9795873,180,366.2228046,0.559554479,3.457530661,Wednesday,image_stim_n.png,male,32,368.8363295,y,x,12,neg,1,21,368.276775
