ID,age,delay_frames_before,delay_frames_after,img_trigger,no,offset_word,word_label,gender,duration_frames,response,word_score_warriner,duration_measured_word,onset_word,correct_resp,word_score_pc,word,duration_measured_img,offset_img,pause_trigger_t,rt,onset_img,condition,img,key_t,pause_trigger,session,word_trigger,scan day
x,21,180,336,21,1,1.717554379,neu,male,42,y,5.07,0.69986372,1.017690659,0,0.322892658,street,0.699663927,5.577327805,2.720796835,1.004494912,4.877663878,faceWord_exp,image_stim_p.png,5.88215879,41,2,13,Wednesday
x,21,180,336,21,2,11.89452612,pos,male,42,y,7,0.691438674,11.20308745,0,-2.461915733,embrace,0.69635719,15.65440341,12.89825222,0.667166317,14.95804622,faceWord_exp,image_stim_p.png,15.62521254,31,2,11,Wednesday
x,21,336,180,22,3,21.97062962,neg,male,42,y,3.57,0.690818919,21.2798107,1,2.483224745,cough,0.693378401,28.33869376,22.97515412,0.597373337,27.64531536,faceWord_exp,image_stim_n.png,28.24268869,32,2,12,Wednesday
x,21,180,336,22,4,32.04849127,neg,male,42,,4.41,0.693404665,31.3550866,,0.163396756,jaw,0.707247367,35.82518631,33.05173263,,35.11793894,faceWord_exp,image_stim_n.png,,32,2,12,Wednesday
x,21,180,336,21,5,42.14229261,pos,male,42,y,7.88,0.694138145,41.44815446,0,-1.887916363,joke,0.691665022,45.93461253,43.17786,-3.71662401,45.24294751,faceWord_exp,image_stim_p.png,41.5263235,31,2,11,Wednesday
x,21,180,336,22,6,52.25297913,neg,male,42,y,4.43,0.693176958,51.55980217,1,-0.148665192,van,0.69555766,56.01235852,53.25609053,0.582950557,55.31680086,faceWord_exp,image_stim_n.png,55.89975142,32,2,12,Wednesday
x,21,336,180,21,7,62.32932548,pos,male,42,b,7.1,0.69389219,61.63543329,1,-2.574622876,barbecue,0.698494627,68.69611472,63.33259924,0.33496217,67.9976201,faceWord_exp,image_stim_p.png,68.33258227,31,2,11,Wednesday
x,21,180,336,21,8,72.40570521,neu,male,42,y,5.27,0.69464993,71.71105528,0,0.179181221,verb,0.701924337,76.16641373,73.40944357,0.504440439,75.4644894,faceWord_exp,image_stim_p.png,75.96892984,41,2,13,Wednesday
x,21,336,180,21,9,82.48316141,pos,male,42,y,7.59,0.695192127,81.78796928,0,-1.369521195,tree,0.6968715,88.85002889,83.48638584,0.483758168,88.15315739,faceWord_exp,image_stim_p.png,88.63691555,31,2,11,Wednesday
x,21,180,336,21,10,92.560332,neu,male,42,y,5.62,0.693658799,91.8666732,0,-0.187762755,speech,0.691870901,96.30329293,93.56370091,0.428780912,95.61142203,faceWord_exp,image_stim_p.png,96.04020294,41,2,13,Wednesday
x,21,180,336,21,11,102.6205539,pos,male,42,b,6.4,0.693218644,101.9273352,1,-1.794755539,piano,0.691612286,106.3636131,103.6234928,0.393811492,105.6720008,faceWord_exp,image_stim_p.png,106.0658123,31,2,11,Wednesday
x,21,336,180,21,12,112.6806513,neu,male,42,b,5.82,0.69005152,111.9905998,1,-0.668000412,monkey,0.696367778,119.0309534,113.6832991,0.452214832,118.3345856,faceWord_exp,image_stim_p.png,118.7868004,41,2,13,Wednesday
x,21,180,336,21,13,122.7403637,pos,male,42,y,8.53,0.693511851,122.0468519,0,-3.156537691,vacation,0.698584896,126.4839633,123.744125,0.404724828,125.7853784,faceWord_exp,image_stim_p.png,126.1901032,31,2,11,Wednesday
x,21,336,180,22,14,132.8000137,neu,male,42,y,5.29,0.696934248,132.1030794,1,0.065734916,camel,0.705277192,139.1670609,133.804305,0.475926683,138.4617837,faceWord_exp,image_stim_n.png,138.9377103,42,2,13,Wednesday
