word_label,offset_img,img,pause_trigger,ID,session,word_score_pc,word,key_t,duration_measured_img,rt,correct_resp,gender,no,word_score_warriner,onset_img,age,duration_measured_word,condition,duration_frames,onset_word,pause_trigger_t,word_trigger,delay_frames_after,scan day,response,img_trigger,offset_word,delay_frames_before
neg,8.21076729,image_stim_n.png,32,x,3,1.239138221,debate,8.081038637,0.702016766,0.572288113,1,male,1,4.95,7.508750524,21,0.69722676,faceWord_exp,42,1.013347258,2.713845778,12,180,Wednesday,y,22,1.710574018,336
neu,15.68056634,image_stim_p.png,41,x,3,0.307709972,reality,15.43420353,0.694770727,0.448407914,1,male,2,5.73,14.98579561,21,0.69296195,faceWord_exp,42,11.22809134,12.92367078,13,336,Wednesday,b,21,11.92105329,180
pos,28.34687581,image_stim_p.png,31,x,3,-1.776014482,island,28.13416553,0.690355144,0.477644859,1,male,3,7.18,27.65652067,21,0.695988368,faceWord_exp,42,21.30158748,23.0010506,11,180,Wednesday,b,21,21.99757585,336
neu,38.40794619,image_stim_p.png,41,x,3,-0.497140734,cafeteria,38.66247063,0.690543036,0.945067467,1,male,4,5.68,37.71740316,21,0.693612978,faceWord_exp,42,31.3637504,33.0617305,13,180,Wednesday,b,21,32.05736338,336
neg,45.87888888,image_stim_n.png,32,x,3,2.411295737,tobacco,45.88689742,0.702680962,0.710689499,1,male,5,3.37,45.17620792,21,0.692983691,faceWord_exp,42,41.42453318,43.1217493,12,336,Wednesday,y,22,42.11751687,180
neg,55.95545697,image_stim_n.png,32,x,3,-0.333187279,voter,52.28541004,0.702192488,-2.967854443,1,male,6,4.85,55.25326448,21,0.69068166,faceWord_exp,42,51.50473108,53.19792742,12,336,Wednesday,y,22,52.19541274,180
neg,66.03218225,image_stim_n.png,32,x,3,3.417220959,delirium,62.29314717,0.70177785,-3.037257229,1,male,7,3.4,65.3304044,21,0.69298031,faceWord_exp,42,61.57911036,63.275859,12,336,Wednesday,y,22,62.27209067,180
neu,78.71613734,image_stim_p.png,41,x,3,0.073326025,jungle,72.37250361,0.699176614,-5.644457117,0,male,8,5.7,78.01696073,21,0.692809084,faceWord_exp,42,71.65623007,73.35241375,13,180,Wednesday,y,21,72.34903916,336
pos,86.16964496,image_stim_p.png,31,x,3,-2.072774391,fountain,86.25783195,0.692040021,0.780227015,1,male,9,6.26,85.47760494,21,0.693852356,faceWord_exp,42,81.73202507,83.42948775,11,336,Wednesday,b,21,82.42587743,180
neu,96.24542634,image_stim_n.png,42,x,3,0.203739509,plane,96.35281111,0.699427749,0.806812516,0,male,10,5.72,95.54599859,21,0.693386702,faceWord_exp,42,91.79266765,93.48960815,13,336,Wednesday,b,22,92.48605436,180
neu,106.322867,image_stim_n.png,42,x,3,-0.17938607,patent,102.9003322,0.700062923,-2.722471865,0,male,11,5.34,105.6228041,21,0.694777524,faceWord_exp,42,101.867884,103.565944,13,336,Wednesday,b,22,102.5626615,180
neg,119.0237455,image_stim_n.png,32,x,3,0.041184453,cabbage,118.8441106,0.701613374,0.521978486,1,male,12,4.6,118.3221322,21,0.703677165,faceWord_exp,42,111.952779,113.6604144,12,180,Wednesday,y,22,112.6564562,336
neu,126.4769753,image_stim_n.png,42,x,3,-0.230717503,pen,126.630761,0.696408593,0.850194284,0,male,13,5.63,125.7805667,21,0.697615829,faceWord_exp,42,122.0357221,123.7372861,13,336,Wednesday,b,22,122.7333379,180
neg,136.6376884,image_stim_n.png,32,x,3,4.261844325,shame,136.6757099,0.696579506,0.734600928,1,male,14,2.62,135.9411089,21,0.69442435,faceWord_exp,42,132.1164979,133.8640046,12,336,Wednesday,y,22,132.8109222,180
neg,146.6977771,image_stim_n.png,32,x,3,3.421191058,tax,146.5345052,0.696433766,0.533161831,1,male,15,3,146.0013434,21,0.693824844,faceWord_exp,42,142.2603851,143.9580036,12,336,Wednesday,y,22,142.9542099,180
neu,159.3817358,image_stim_n.png,42,x,3,-0.123291752,faucet,159.2177028,0.702674989,0.538641974,1,male,16,5.55,158.6790608,21,0.694388458,faceWord_exp,42,152.3201909,154.0177107,13,180,Wednesday,y,22,153.0145793,336
neu,169.4584475,image_stim_p.png,41,x,3,0.133399637,pencil,169.6483358,0.699405658,0.889293978,0,male,17,5.65,168.7590418,21,0.69343397,faceWord_exp,42,162.3973024,164.0939478,13,180,Wednesday,y,21,163.0907363,336
neu,176.9278126,image_stim_n.png,42,x,3,0.599062321,witness,176.8351221,0.702518289,0.609827763,1,male,18,5.61,176.2252944,21,0.692802803,faceWord_exp,42,172.4747289,174.1708566,13,336,Wednesday,y,22,173.1675317,180
neg,189.6124218,image_stim_n.png,32,x,3,1.759240488,cold,189.247915,0.704534699,0.340027879,1,male,19,4.32,188.9078871,21,0.689730253,faceWord_exp,42,182.5548614,184.2486993,12,180,Wednesday,y,22,183.2445916,336
pos,199.6725475,image_stim_p.png,31,x,3,-1.6804307,flute,199.5588882,0.69370878,0.580049486,0,male,20,6.29,198.9788387,21,0.694586053,faceWord_exp,42,192.6276896,194.3259503,11,180,Wednesday,y,21,193.3222756,336
pos,207.125743,image_stim_p.png,31,x,3,-1.093041168,goldfish,206.8953144,0.69056773,0.460139173,0,male,21,6.62,206.4351753,21,0.694211959,faceWord_exp,42,202.688207,204.3858705,11,336,Wednesday,y,21,203.3824189,180
pos,219.8095448,image_stim_p.png,31,x,3,-3.230607919,joy,219.6795161,0.701802222,0.571773455,0,male,22,8.21,219.1077426,21,0.695015261,faceWord_exp,42,212.7473891,214.4448934,11,180,Wednesday,y,21,213.4424043,336
neg,229.8866952,image_stim_n.png,32,x,3,0.796265447,reporter,229.8407745,0.705071868,0.659151185,1,male,23,4.57,229.1816233,21,0.694049393,faceWord_exp,42,222.8249788,224.5228955,12,180,Wednesday,y,22,223.5190282,336
