word,key_t,word_score_pc,onset_word,condition,onset_img,no,img,scan day,correct_resp,response,word_trigger,duration_frames,duration_measured_word,rt,age,delay_frames_before,offset_img,img_trigger,ID,gender,word_score_warriner,pause_trigger_t,session,offset_word,delay_frames_after,pause_trigger,duration_measured_img,word_label
tulip,5.157507123425603,-2.547338598571031,0.9838909194804728,faceWord_exp,4.691641756333411,1,image_stim_p.png,Monday,1,b,11,42,0.6896473293891177,0.4658653670921922,25,180,5.373682224890217,21,2019102101,male,7.25,2.673844294156879,5,1.6735382488695905,336,31,0.6820404685568064,pos
riot,15.274493084405549,3.227422121163128,10.976551286876202,faceWord_exp,14.688441113219596,2,image_stim_n.png,Monday,1,y,12,42,0.6974046464310959,0.5860519711859524,25,180,15.374137122300453,22,2019102101,male,3.15,12.674307532492094,5,11.673955933307298,336,32,0.685696009080857,neg
dime,27.741730522247963,-0.8220066925000616,20.97751176857855,faceWord_exp,27.290583237539977,3,image_stim_p.png,Monday,1,b,13,42,0.6969131774967536,0.4511472847079858,25,336,27.974736188305542,21,2019102101,male,5.58,22.67484327207785,5,21.674424946075305,180,41,0.684152950765565,neu
newspaper,37.925579994218424,0.3309936143559913,30.97984207549598,faceWord_exp,37.290054555633105,4,image_stim_n.png,Monday,1,y,13,42,0.6950339183676988,0.6355254385853186,25,336,37.97517568722833,22,2019102101,male,5.11,32.67526127723977,5,31.67487599386368,180,42,0.6851211315952241,neu
banker,47.89263040444348,0.8708146708303101,40.97941925819032,faceWord_exp,47.28961698140483,5,image_stim_n.png,Monday,1,y,12,42,0.6959530166350305,0.6030134230386466,25,336,47.97562994307373,22,2019102101,male,4.89,42.67572291160468,5,41.67537227482535,180,32,0.6860129616688937,neg
friendly,55.459918336593546,-2.9544920916265727,50.97998194524553,faceWord_exp,54.69134661834687,6,image_stim_p.png,Monday,1,b,11,42,0.6958471518009901,0.768571718246676,25,180,55.37604749924503,21,2019102101,male,7.84,52.676207643700764,5,51.67582909704652,336,31,0.6847008808981627,pos
hairbrush,67.77694208815228,-0.4963231956276321,60.97969033604022,faceWord_exp,67.29167300241534,7,image_stim_n.png,Monday,1,y,13,42,0.6966209267266095,0.48526908573694527,25,336,67.97657502628863,22,2019102101,male,5.95,62.676691092550755,5,61.67631126276683,180,42,0.6849020238732919,neu
arm,77.92746374453418,-0.2527650722021685,70.97908722795546,faceWord_exp,77.29105994955171,8,image_stim_p.png,Monday,1,b,13,42,0.6976680250372738,0.6364037949824706,25,336,77.97705622948706,21,2019102101,male,5.44,72.6772075840272,5,71.67675525299273,180,41,0.6859962799353525,neu
company,85.32775843341369,0.4587040848007746,80.98069220117759,faceWord_exp,84.6924225888215,9,image_stim_p.png,Monday,1,b,13,42,0.6965160244144499,0.6353358445921913,25,180,85.3774009635672,21,2019102101,male,5.64,82.67768140882254,5,81.67720822559204,336,41,0.6849783747456968,neu
drum,97.89501332282089,-1.4373817092238501,90.98012053174898,faceWord_exp,97.29269154928625,10,image_stim_p.png,Monday,1,b,11,42,0.6975560650462285,0.6023217735346407,25,336,97.97796859091613,21,2019102101,male,6.05,92.67807759938296,5,91.67767659679521,180,31,0.6852770416298881,pos
