delay_frames_before,scan day,offset_word,onset_img,no,duration_measured_img,duration_frames,ID,word_score_pc,pause_trigger,word,pause_trigger_t,delay_frames_after,key_t,img,word_score_warriner,rt,response,correct_resp,word_trigger,img_trigger,offset_img,word_label,session,onset_word,duration_measured_word,age,condition,gender
336,Monday,1.672058067866601,7.291221313178539,1,0.6811573001323268,42,2019102102,-1.1856791528275217,41,hamster,2.672452012891881,180,8.156305719399825,image_stim_p.png,5.88,0.8650844062212855,b,1,13,21,7.972378613310866,neu,1,0.9826138062635437,0.6894442616030574,24,faceWord_exp,female
336,Monday,11.672628774889745,17.286967797321267,2,0.6858692422974855,42,2019102102,1.9014187675556817,32,alligator,12.672845637076534,180,18.040090966736898,image_stim_n.png,4.23,0.7531231694156304,y,1,12,22,17.972837039618753,neg,1,10.97674537228886,0.6958834026008844,24,faceWord_exp,female
336,Monday,21.673035872750916,27.288249401957728,3,0.6850098132854328,42,2019102102,4.010420717126172,32,lonely,22.673363090958446,180,28.09043637441937,image_stim_n.png,2.67,0.8021869724616408,y,1,12,22,27.97325921524316,neg,1,20.97658112156205,0.6964547511888668,24,faceWord_exp,female
180,Monday,31.67345195321832,34.68818511313293,4,0.685421081725508,42,2019102102,0.98843671158419,32,commander,32.67385006870609,336,35.44081039761659,image_stim_n.png,4.73,0.7526252844836563,y,1,12,22,35.37360619485844,neg,1,30.977234595571645,0.6962173576466739,24,faceWord_exp,female
336,Monday,41.67394823417999,47.28814963239711,5,0.6860915583092719,42,2019102102,1.7036686386059527,32,jury,42.674362389720045,180,47.991481419536285,image_stim_n.png,4.23,0.7033317871391773,y,1,12,22,47.97424119070638,neg,1,40.978507538558915,0.6954406956210732,24,faceWord_exp,female
180,Monday,51.67432998865843,54.6891606724821,6,0.6853521092562005,42,2019102102,-2.3673221107876317,31,garden,52.67474831477739,336,55.37505397503264,image_stim_p.png,7.25,0.6858933025505394,b,1,11,21,55.374512781738304,pos,1,50.97690609423444,0.6974238944239914,24,faceWord_exp,female
336,Monday,61.67482819443103,67.2897539640544,7,0.685340560390614,42,2019102102,-3.2613064969771037,31,fun,62.67519230488688,180,67.77553504996467,image_stim_p.png,8.37,0.4857810859102756,b,1,11,21,67.97509452444501,pos,1,60.97803339303937,0.6967948013916612,24,faceWord_exp,female
336,Monday,71.6752542196773,77.28982967336196,8,0.6857030667597428,42,2019102102,3.648586845460279,32,hurricane,72.67563597427215,180,77.89257875538897,image_stim_n.png,3.16,0.6027490820270032,y,1,12,22,77.97553274012171,neg,1,70.97819122765213,0.6970629920251667,24,faceWord_exp,female
180,Monday,81.67575146304443,84.6905612947885,9,0.6853014224907383,42,2019102102,-1.1648995537800455,31,plum,82.67606167879421,336,85.25957835058216,image_stim_p.png,6.15,0.5690170557936653,b,1,11,21,85.37586271727923,pos,1,80.97879497730173,0.6969564857427031,24,faceWord_exp,female
180,Monday,91.6761450873455,94.69073035754263,10,0.6855676881968975,42,2019102102,1.3014161644429498,32,gasp,92.67653357877862,336,95.61024077492766,image_stim_n.png,4.5,0.9195104173850268,y,1,12,22,95.37629804573953,neg,1,90.97858228546102,0.6975628018844873,24,faceWord_exp,female
