no,word,ID,condition,img_trigger,delay_frames_after,onset_img,onset_word,pause_trigger_t,gender,duration_frames,pause_trigger,scan day,response,offset_img,img,delay_frames_before,age,duration_measured_img,key_t,word_label,duration_measured_word,word_score_warriner,rt,session,word_trigger,correct_resp,word_score_pc,offset_word
1,cyclone,2019102204,faceWord_exp,22,180,7.306293881731108,0.9862225097604096,2.676628536079079,female,42,32,Tuesday,y,7.976609031436965,image_stim_n.png,336,23,0.670315149705857,7.693648053100333,neg,0.6900945275556296,3.47,0.3873541713692248,3,12,1,3.583082910341294,1.6763170373160392
2,joy,2019102204,faceWord_exp,21,180,17.30341981514357,10.980644401628524,12.677199884783477,female,42,31,Tuesday,b,17.97706168331206,image_stim_p.png,336,23,0.6736418681684881,17.710741033777595,pos,0.6961471019312739,8.21,0.40732121863402426,3,11,1,-3.230607919269787,11.676791503559798
3,patent,2019102204,faceWord_exp,21,336,24.69588468573056,20.981625735526904,22.67756495764479,female,42,41,Tuesday,b,25.377383961109444,image_stim_p.png,180,23,0.6814992753788829,25.344503343803808,neu,0.695593397365883,5.34,0.6486186580732465,3,13,1,-0.1793860699809707,21.677219132892787
4,witness,2019102204,faceWord_exp,21,180,37.29858468496241,30.981889114016667,32.67801825120114,female,42,41,Tuesday,y,37.977967949351296,image_stim_p.png,336,23,0.6793832643888891,37.74513006280176,neu,0.6958173173479736,5.61,0.44654537783935666,3,13,0,0.5990623206044929,31.67770643136464
5,grievance,2019102204,faceWord_exp,22,336,44.70144835766405,40.98305651312694,42.67852287297137,female,42,32,Tuesday,y,45.37832519458607,image_stim_n.png,180,23,0.6768768369220197,45.17870412603952,neg,0.6951019284315407,3.45,0.47725576837547123,3,12,1,3.6017940902369654,41.67815844155848
6,volcano,2019102204,faceWord_exp,22,180,57.304674472426996,50.98122986569069,52.678976487135515,female,42,32,Tuesday,y,57.97889378434047,image_stim_n.png,336,23,0.6742193119134754,57.79603655356914,neg,0.6973639044445008,4.59,0.4913620811421424,3,12,1,2.1987551193617842,51.678593770135194
7,harp,2019102204,faceWord_exp,21,180,67.30515310936607,60.98236614698544,62.67937588575296,female,42,41,Tuesday,b,67.97936151386239,image_stim_p.png,336,23,0.6742084044963121,67.79641574155539,neu,0.696748926769942,5.4,0.49126263218931854,3,13,1,-1.7878104403788575,61.67911507375538
8,tobacco,2019102204,faceWord_exp,22,336,74.70510967262089,70.98288712953217,72.67988788615912,female,42,32,Tuesday,y,75.37975629302673,image_stim_n.png,180,23,0.6746466204058379,75.23018934391439,neg,0.6966485157608986,3.37,0.5250796712934971,3,12,1,2.411295736651624,71.67953564529307
9,couple,2019102204,faceWord_exp,21,180,87.3076961080078,80.98344821250066,82.68032417702489,female,42,31,Tuesday,b,87.98028606572188,image_stim_p.png,336,23,0.6725899577140808,87.98084875266068,pos,0.6965343102347106,7.11,0.6731526446528733,3,11,1,-1.9002611819546853,81.67998252273537
10,debate,2019102204,faceWord_exp,22,336,94.70551099604927,90.98305426747538,92.68082687398419,female,42,32,Tuesday,y,95.38060738123022,image_stim_n.png,180,23,0.6750963851809502,95.43125722999685,neg,0.6973818694241345,4.95,0.7257462339475751,3,12,1,1.239138220826116,91.68043613689952
11,hope,2019102204,faceWord_exp,21,336,104.70687055564485,100.98325926018879,102.68133951583877,female,42,31,Tuesday,b,105.3810773564037,image_stim_p.png,180,23,0.6742068007588387,105.16477072588168,pos,0.6976991426199675,7.48,0.45790017023682594,3,11,1,-2.2287379941341,101.68095840280876
12,agreement,2019102204,faceWord_exp,21,180,117.33350784983486,110.98523540142924,112.68173217773438,female,42,31,Tuesday,b,118.01510304491967,image_stim_p.png,336,23,0.6815951950848103,117.94865946401842,pos,0.6961631420999765,6.75,0.61515161418356,3,11,1,-1.2126784285084091,111.68139854352921
