pause_trigger,condition,scan day,pause_trigger_t,ID,word_score_pc,img_trigger,rt,correct_resp,gender,response,duration_frames,word_trigger,delay_frames_after,onset_img,onset_word,no,word_label,offset_word,offset_img,duration_measured_img,word_score_warriner,delay_frames_before,duration_measured_word,session,word,age,key_t,img
32,faceWord_exp,Wednesday,2.6835151959676296,2019102307,2.1987551193617842,22,0.4820042820647359,1,female,y,42,12,180,7.301753568695858,0.9941472853533924,1,neg,1.6831020028330386,7.983409395441413,0.6816558267455548,4.59,336,0.6889547174796462,3,volcano,25,7.783757850760594,image_stim_n.png
32,faceWord_exp,Wednesday,12.683941542170942,2019102307,3.6129749181587063,22,0.4529216415248811,1,female,y,42,12,180,17.29802552680485,10.987693066708744,2,neg,11.68359347176738,17.9839544382412,0.6859289114363492,2.11,336,0.6959004050586373,3,criminal,25,17.75094716832973,image_stim_n.png
32,faceWord_exp,Wednesday,22.684402534738183,2019102307,2.3068979902815,22,0.5341609388124198,1,female,y,42,12,336,24.700451945886016,20.98725966294296,3,neg,21.684035857906565,25.384244315093383,0.6837923692073673,3.28,180,0.6967761949636042,3,trial,25,25.234612884698436,image_stim_n.png
42,faceWord_exp,Wednesday,32.684761833166704,2019102307,-0.4971407339658378,22,0.5521861705929041,0,female,b,42,13,180,37.299649748019874,30.988215011777356,4,neu,31.68448337679729,37.98479686467908,0.6851471166592091,5.68,336,0.6962683650199324,3,cafeteria,25,37.85183591861278,image_stim_n.png
42,faceWord_exp,Wednesday,42.6853097632993,2019102307,-1.0048841857254538,22,0.6190599468536675,0,female,b,42,13,336,44.69972757482901,40.98877930268645,5,neu,41.68496746732853,45.38518939819187,0.6854618233628571,5.89,180,0.6961881646420807,3,gum,25,45.31878752168268,image_stim_n.png
42,faceWord_exp,Wednesday,52.68579417443834,2019102307,-1.343270424679961,22,0.6694255650509149,1,female,y,42,13,336,54.69982830667868,50.98884410480969,6,neu,51.68546086107381,55.385649107862264,0.6858208011835814,5.81,180,0.6966167562641203,3,jam,25,55.3692538717296,image_stim_n.png
42,faceWord_exp,Wednesday,62.68624843028374,2019102307,-0.6884171372613734,22,0.6525879430118948,1,female,y,42,13,180,67.30055441032164,60.9883766961284,7,neu,61.68585993908346,67.98616861482151,0.6856142044998705,5.95,336,0.6974832429550588,3,egg,25,67.95314235333353,image_stim_n.png
42,faceWord_exp,Wednesday,72.68674920266494,2019102307,0.13339963708933658,22,0.619261410785839,1,female,y,42,13,180,77.30110843549483,70.98973016045056,8,neu,71.68637354322709,77.98661709623411,0.6855086607392877,5.65,336,0.6966433827765286,3,pencil,25,77.92036984628066,image_stim_n.png
32,faceWord_exp,Wednesday,82.68720698729157,2019102307,0.41231466195915456,22,0.5683372758794576,1,female,y,42,12,336,84.70238927030005,80.9893981302157,9,neg,81.68680694699287,85.38696375512518,0.6845744848251343,4.68,180,0.6974088167771697,3,foot,25,85.2707265461795,image_stim_n.png
32,faceWord_exp,Wednesday,92.68758874177001,2019102307,3.9847946241932393,22,0.4858336972538382,1,female,y,42,12,336,94.70194110972807,90.9907945820596,10,neg,91.68727435567416,95.38743405090645,0.6854929411783814,3.23,180,0.6964797736145556,3,snub,25,95.1877748069819,image_stim_n.png
