age,pause_trigger_t,session,key_t,offset_word,gender,duration_measured_word,duration_frames,rt,duration_measured_img,delay_frames_before,word_trigger,ID,pause_trigger,offset_img,scan day,img,delay_frames_after,no,correct_resp,response,condition,word_score_pc,word,word_score_warriner,onset_word,word_label,onset_img,img_trigger
23,2.67273046891205,5,5.823222611565143,1.6724016468506306,female,0.6905327434651554,42,1.1328717630822212,0.6822643883060664,180,13,2019102308,41,5.372615236788988,Wednesday,image_stim_p.png,336,1,1,b,faceWord_exp,-1.235914274808286,corn,5.95,0.9818689033854753,neu,4.690350848482922,21
23,12.673223541816697,5,17.99042758415453,11.67287515080534,female,0.6968047462869436,42,0.7023097113706172,0.6851192070171237,336,13,2019102308,42,17.973237079801038,Wednesday,image_stim_n.png,180,2,1,y,faceWord_exp,0.07992973296861662,clue,5.38,10.976070404518396,neu,17.288117872783914,22
23,22.673725918168202,5,25.307305050082505,21.6733800934162,female,0.6959459590725601,42,0.6175810492131859,0.6838157877791673,180,12,2019102308,32,25.373539788648486,Wednesday,image_stim_n.png,336,3,1,y,faceWord_exp,0.5712560851538326,election,4.5,20.97743413434364,neg,24.68972400086932,22
23,32.67419845960103,5,35.42455759760924,31.673839802853763,female,0.6954204849898815,42,0.7361366949044168,0.6856421143747866,180,13,2019102308,42,35.37406301707961,Wednesday,image_stim_n.png,336,4,1,y,faceWord_exp,0.002541127499528235,umbrella,5.84,30.97841931786388,neu,34.68842090270482,22
23,42.67466137721203,5,47.874947789357975,41.674290529917926,female,0.6976532679982483,42,0.5863063673023134,0.6859619540628046,336,12,2019102308,32,47.974603376118466,Wednesday,image_stim_n.png,180,5,1,y,faceWord_exp,3.227422121163128,riot,3.15,40.97663726191968,neg,47.28864142205566,22
23,52.67519422946498,5,55.341957457596436,51.674759863410145,female,0.6975108317565173,42,0.6521301583852619,0.6851086204405874,180,13,2019102308,41,55.37493591965176,Wednesday,image_stim_p.png,336,6,1,b,faceWord_exp,-1.1343736111597311,rum,5.57,50.97724903165363,neu,54.689827299211174,21
23,62.67576493672095,5,67.94251898978837,61.675217968877405,female,0.6957460991106927,42,0.6524002738296986,0.6853598083835095,336,11,2019102308,31,67.97547852434218,Wednesday,image_stim_p.png,180,7,1,b,faceWord_exp,-2.641671297166366,peaceful,8.0,60.97947186976671,pos,67.29011871595867,21
23,72.67602639039978,5,77.87628136388958,71.67566099669784,female,0.6961339490953833,42,0.5856143969576806,0.6854262144770473,336,13,2019102308,41,77.97609318140894,Wednesday,image_stim_p.png,180,8,1,b,faceWord_exp,0.19443075193465506,stapler,5.25,70.97952704760246,neu,77.2906669669319,21
23,82.67647198447958,5,87.87679528887384,81.67615535273217,female,0.6974813179112971,42,0.5862524723634124,0.6859045303426683,336,12,2019102308,32,87.97644734685309,Wednesday,image_stim_n.png,180,9,1,y,faceWord_exp,3.659937177091274,curse,2.9,80.97867403482087,neg,87.29054281651042,22
23,92.67696313257329,5,95.31047874572687,91.67662564874627,female,0.6975457991939038,42,0.6194949545897543,0.6857482998166233,180,12,2019102308,32,95.37673209095374,Wednesday,image_stim_n.png,336,10,1,y,faceWord_exp,4.0294120701769724,dead,2.02,90.97907984955236,neg,94.69098379113711,22
