correct_resp,img,offset_img,rt,pause_trigger,duration_measured_img,key_t,ID,gender,scan day,onset_img,word_label,onset_word,delay_frames_after,pause_trigger_t,duration_frames,img_trigger,delay_frames_before,no,response,word_score_pc,session,word_score_warriner,offset_word,duration_measured_word,word_trigger,word,age,condition
1,image_stim_n.png,7.97163659776561,0.5832443109247833,42,0.6827375716529787,7.872143337037414,2019102308,female,Wednesday,7.288899026112631,neu,0.9835236009676009,180,2.6717744786292315,42,22,336,1,y,-0.1985745460766808,6,5.33,1.6713176562916487,0.6877940553240478,13,quantity,23,faceWord_exp
1,image_stim_p.png,17.972169771092013,0.6359764863736928,31,0.6855664050672203,17.922579852398485,2019102308,female,Wednesday,17.286603366024792,pos,10.97561486554332,180,12.672251832205802,42,21,336,2,b,-1.0219663684796234,6,6.61,11.671862378483638,0.6962475129403174,11,camera,23,faceWord_exp
1,image_stim_n.png,25.37250423943624,0.6679116997402161,42,0.6840602390002459,25.35635570017621,2019102308,female,Wednesday,24.688444000435993,neu,20.975152268772945,336,22.67268876475282,42,22,180,3,y,-0.7656585604551551,6,5.89,21.672297065379098,0.6971447966061532,13,audience,23,faceWord_exp
1,image_stim_n.png,37.97309753089212,0.5530972485430539,42,0.6860280393157154,37.84016674011946,2019102308,female,Wednesday,37.2870694915764,neu,30.976651056436822,180,32.67318247933872,42,22,336,4,y,-0.441124933220443,6,5.05,31.672771531622857,0.696120475186035,13,bugle,23,faceWord_exp
1,image_stim_n.png,47.97351906495169,0.8201021691784263,32,0.6862917388789356,48.10732949525118,2019102308,female,Wednesday,47.28722732607275,neg,40.97660967288539,180,42.673595351632684,42,22,336,5,y,4.673386290788297,6,3.38,41.67327807843685,0.6966684055514634,12,woe,23,faceWord_exp
1,image_stim_n.png,57.974012137856334,1.0534844568464905,32,0.6863167614210397,58.341179833281785,2019102308,female,Wednesday,57.287695376435295,neg,50.977567909052595,180,52.67411120166071,42,22,336,6,y,1.421533554407035,6,3.89,51.67374741192907,0.6961795028764755,12,judge,23,faceWord_exp
1,image_stim_n.png,67.97443399275653,0.5367587944492698,42,0.6863372926600277,67.82485549454577,2019102308,female,Wednesday,67.2880967000965,neu,60.976552890846506,180,62.67456321185455,42,22,336,7,y,-0.15774590184623308,6,5.65,61.67416285071522,0.6976099598687142,13,comb,23,faceWord_exp
1,image_stim_n.png,75.37480374914594,0.7028743233531713,32,0.685673232190311,75.3920048403088,2019102308,female,Wednesday,74.68913051695563,neg,70.97776135266759,336,72.67485514166765,42,22,180,8,y,3.7741942061665816,6,2.53,71.67461871053092,0.6968573578633368,12,lost,23,faceWord_exp
1,image_stim_n.png,85.3752560801804,0.6195774008519948,32,0.6857579238712788,85.30907555716112,2019102308,female,Wednesday,84.68949815630913,neg,80.97832724777982,336,82.67549674608745,42,22,180,9,y,1.346131993343653,6,4.42,81.67513520200737,0.6968079542275518,12,protest,23,faceWord_exp
1,image_stim_p.png,95.37567665195093,0.7030337618198246,41,0.6857819841243327,95.39292842964642,2019102308,female,Wednesday,94.6898946678266,neu,90.97784026991576,336,92.67595292674378,42,21,180,10,b,-0.6912617476649511,6,5.84,91.67551727732643,0.6976770074106753,13,soccer,23,faceWord_exp
1,image_stim_n.png,105.37617132882588,1.0532964668236673,42,0.685997563181445,105.7434702324681,2019102308,female,Wednesday,104.69017376564443,neu,100.97845877660438,336,102.67648417502642,42,22,180,11,y,0.06851316647377265,6,5.24,101.67597249569371,0.6975137190893292,13,analogy,23,faceWord_exp
,image_stim_p.png,115.37663970002905,,41,0.68588303681463,,2019102308,female,Wednesday,114.69075666321442,neu,110.97917512780987,336,112.67687812028453,42,21,180,12,,-0.9476055713690849,6,5.81,111.67646524775773,0.6972901199478656,13,satire,23,faceWord_exp
1,image_stim_n.png,125.37707951967604,0.602722134673968,42,0.6855988060124218,125.29420284833759,2019102308,female,Wednesday,124.69148071366362,neu,120.97929029585794,336,122.67752164928243,42,22,180,13,y,0.07641955756997082,6,5.1,121.67714951885864,0.6978592230007052,13,role,23,faceWord_exp
0,image_stim_p.png,137.97766832006164,0.6698522320948541,31,0.6860918789170682,137.96142867323942,2019102308,female,Wednesday,137.29157644114457,pos,130.9804345970042,180,132.67776802531444,42,21,336,14,y,-1.4048581699918157,6,7.11,131.67757811048068,0.6971435134764761,11,blueberry,23,faceWord_exp
1,image_stim_p.png,147.97816075128503,1.6695506779942662,41,0.6856549463700503,148.96205648290925,2019102308,female,Wednesday,147.29250580491498,neu,140.98015999048948,180,142.67824858706445,42,21,336,15,b,-0.9209473384247756,6,5.42,141.67782673216425,0.6976667416747659,13,scooter,23,faceWord_exp
1,image_stim_n.png,157.97857715259306,0.4865439534187317,42,0.686114335199818,157.77900677081198,2019102308,female,Wednesday,157.29246281739324,neu,150.9809719407931,180,152.67873075255193,42,22,336,16,y,-1.1818642926883074,6,5.33,151.67830184008926,0.6973298992961645,13,prairie,23,faceWord_exp
