img_trigger,key_t,word_score_warriner,delay_frames_before,onset_word,offset_word,no,img,session,ID,correct_resp,rt,word_label,word_score_pc,onset_img,offset_img,duration_measured_word,duration_measured_img,word_trigger,gender,delay_frames_after,age,scan day,duration_frames,condition,response,pause_trigger_t,word,pause_trigger
22,7.869869779002329,3.12,336,1.014527960003761,1.6915240220041596,1,image_stim_n.png,5,60,1,0.540729532003752,neg,2.9843905620469613,7.329140246998577,8.00197177100199,0.6769960620003985,0.6728315240034135,12,male,180,25,Monday,42,faceWord_exp,y,2.6913551280013053,mosquito,32
22,17.7934421989994,4.95,336,11.009726784999657,11.714962490004837,2,image_stim_n.png,5,60,1,0.44553573499433696,neg,1.0236166268558873,17.347906464005064,18.02537214699987,0.7052357050051796,0.6774656829948071,12,male,180,25,Monday,42,faceWord_exp,y,12.71469504400011,hierarchy,32
22,25.235641639003006,5.44,180,21.03033760800463,21.73803519899957,3,image_stim_n.png,5,60,1,0.48104107299877796,neu,-0.2527650722021685,24.75460056600423,25.434425256004033,0.7076975909949397,0.6798246899998048,13,male,336,25,Monday,42,faceWord_exp,y,22.738067917998706,arm,42
21,37.8233164580015,7.12,336,31.053913882002234,31.76152758000535,4,image_stim_p.png,5,60,1,0.4294497219962068,pos,-2.3591802685249372,37.39386673600529,38.072007192000456,0.7076136980031151,0.6781404559951625,11,male,180,25,Monday,42,faceWord_exp,b,32.7615021849997,applause,31
22,45.29910904099961,5.56,180,41.07611054800509,41.78498095500254,5,image_stim_n.png,5,60,1,0.49585458299407037,neu,0.16108323717668446,44.80325445800554,45.481233147998864,0.7088704069974483,0.6779786899933242,13,male,336,25,Monday,42,faceWord_exp,y,42.784721438001725,desk,42
22,55.172419840004295,3.9,180,51.10036444800062,51.808272537004086,6,image_stim_n.png,5,60,1,0.3435995260006166,neg,1.5300907112092572,54.82882031400368,55.50425410900061,0.7079080890034675,0.675433794996934,12,male,336,25,Monday,42,faceWord_exp,y,52.80798619399866,ant,32
21,65.1961451130046,7.84,180,61.12940550500207,61.831614398004604,7,image_stim_p.png,5,60,1,0.34425933500460815,pos,-2.9544920916265727,64.851885778,65.52769999400334,0.7022088930025348,0.6758142160033458,11,male,336,25,Monday,42,faceWord_exp,b,62.83161700000346,friendly,31
21,75.21939054100221,8.0,180,71.14609338599985,71.85483635000128,8,image_stim_p.png,5,60,1,0.345097994999378,pos,-2.641671297166366,74.87429254600283,75.55123349399946,0.7087429640014307,0.6769409479966271,11,male,336,25,Monday,42,faceWord_exp,b,72.85461512600159,peaceful,31
21,87.82273891500517,7.25,336,81.17043697500048,81.87827268399997,9,image_stim_p.png,5,60,1,0.31072282600507606,pos,-1.2397352233188434,87.5120160890001,88.18862842200178,0.7078357089994824,0.6766123330016853,11,male,180,25,Monday,42,faceWord_exp,b,82.87809681300132,wit,31
22,95.21596835100354,3.7,180,91.19313348099968,91.90165089700167,10,image_stim_n.png,5,60,1,0.2982769900045241,neg,2.490397821352158,94.91769136099902,95.5979978250034,0.708517416001996,0.6803064640043885,12,male,336,25,Monday,42,faceWord_exp,y,92.90167629899952,mob,32
21,108.05311831500148,7.05,336,101.21733633500116,101.92499291399872,11,image_stim_p.png,5,60,1,0.49607332600135123,pos,-1.7441234463665167,107.55704498900013,108.23530376800045,0.7076565789975575,0.6782587790003163,11,male,180,25,Monday,42,faceWord_exp,b,102.92402965200017,cherry,31
22,115.2120154400036,3.15,180,111.2402456350028,111.94831679200433,12,image_stim_n.png,5,60,1,0.24686128400207963,neg,3.227422121163128,114.96515415600152,115.6446209909991,0.708071157001541,0.6794668349975836,12,male,336,25,Monday,42,faceWord_exp,y,112.94825771199976,riot,32
22,125.45267470199906,5.58,180,121.26346313200338,121.97165977600525,13,image_stim_n.png,5,60,1,0.46339787499891827,neu,-0.8220066925000616,124.98927682700014,125.66802421200555,0.7081966440018732,0.6787473850054084,13,male,336,25,Monday,42,faceWord_exp,y,122.97165484600555,dime,42
21,138.0402424080021,5.95,336,131.28988834399934,131.99500346100103,14,image_stim_p.png,5,60,1,0.4118610229998012,neu,-1.235914274808286,137.62838138500229,138.3053878080027,0.7051151170016965,0.6770064230004209,13,male,180,25,Monday,42,faceWord_exp,b,132.9948379510024,corn,41
21,145.43254530500417,7.18,180,141.31311530500534,142.01835204999952,15,image_stim_p.png,5,60,1,0.3966700509990915,pos,-1.295378487470534,145.03587525400508,145.71464509700309,0.7052367449941812,0.6787698429980082,11,male,336,25,Monday,42,faceWord_exp,b,143.01817522900092,television,31
22,157.91939688200364,2.82,336,151.33449424699938,152.04173532900313,16,image_stim_n.png,5,60,1,0.24905994000437204,neg,3.0668244091236065,157.67033694199927,158.3520713120015,0.7072410820037476,0.681734370002232,12,male,180,25,Monday,42,faceWord_exp,y,153.04151400800038,whine,32
22,168.07683941999858,5.11,336,161.358235452004,162.06500877300277,17,image_stim_n.png,5,60,1,0.37962703299854184,neu,0.3309936143559913,167.69721238700004,168.3754097810015,0.7067733209987637,0.6781973940014723,13,male,180,25,Monday,42,faceWord_exp,y,163.06487255899992,newspaper,42
21,178.0334226949999,7.05,336,171.3803213420033,172.0883487290048,18,image_stim_p.png,5,60,1,0.3119800339991343,pos,-1.1429809241505904,177.72144266100076,178.39863095500186,0.7080273870014935,0.6771882940010983,11,male,180,25,Monday,42,faceWord_exp,b,173.08819537800446,book,31
22,181.94666606900137,2.33,336,181.40630010000314,182.11167938200379,19,image_stim_n.png,5,60,1,-5.795031560999632,neg,3.17672342877373,187.741697630001,188.4220084970002,0.7053792820006493,0.6803108669992071,12,male,180,25,Monday,42,faceWord_exp,y,183.11169146700558,dangerous,32
22,195.49925156799873,5.12,180,191.42580975700548,192.13502933400014,20,image_stim_n.png,5,60,0,0.3463891159990453,neu,0.5156614996478043,195.15286245199968,195.83137041400187,0.7092195769946557,0.6785079620021861,13,male,336,25,Monday,42,faceWord_exp,b,193.13489116800338,bus,42
21,205.5227186760021,5.7,180,201.45423932500125,202.15837871600525,21,image_stim_p.png,5,60,1,0.3429916180029977,neu,-1.4097678477610591,205.17972705799912,205.85464272399986,0.7041393910039915,0.6749156660007429,13,male,336,25,Monday,42,faceWord_exp,b,203.15818301700347,mandolin,41
21,215.61262268300197,6.41,180,211.4701413799994,212.18124777800404,22,image_stim_p.png,5,60,1,0.4129781469964655,pos,-1.211925852261804,215.1996445360055,215.87802657500288,0.711106398004631,0.6783820389973698,11,male,336,25,Monday,42,faceWord_exp,b,213.18120233600348,morning,31
21,225.58633521300362,6.05,180,221.49619586300105,222.1883958460021,23,image_stim_p.png,5,60,1,0.3614682960032951,pos,-1.4373817092238501,225.22486691700033,225.90144497900474,0.6921999830010463,0.6765780620044097,11,male,336,25,Monday,42,faceWord_exp,b,223.20489685099892,drum,31
22,238.27412375400309,4.26,336,231.52075157000218,232.21209716500016,24,image_stim_n.png,5,60,1,0.4160014310036786,neg,0.7498341013103271,237.8581223229994,238.53943653800525,0.6913455949979834,0.6813142150058411,12,male,180,25,Monday,42,faceWord_exp,y,233.22854462300165,dictation,32
21,248.26433408100274,6.81,336,241.54664768500515,242.23590589000378,25,image_stim_p.png,5,60,1,0.3835787200005143,pos,-1.178487968131687,247.88075536100223,248.56301628200163,0.6892582049986231,0.6822609209993971,11,male,180,25,Monday,42,faceWord_exp,b,243.25244841699896,tangerine,31
