response,word_label,scan day,pause_trigger_t,offset_word,onset_img,age,delay_frames_before,word_score_warriner,word_score_pc,delay_frames_after,rt,word_trigger,word,img_trigger,key_t,gender,ID,duration_measured_word,img,onset_word,duration_frames,condition,correct_resp,no,session,offset_img,pause_trigger,duration_measured_img
b,pos,Monday,2.714874700002838,1.713856999995187,4.778066300001228,23,180,6.15,-1.1648995537800455,336,0.5198566999897594,11,plum,21,5.297922999990988,male,74,0.6950295999995433,image_stim_p.png,1.0188273999956436,42,faceWord_exp,1,1,1,5.463792199996533,31,0.6857258999953046
b,neg,Monday,12.780592900002375,11.779670999996597,17.43861479999032,23,336,4.21,0.397042668763988,180,0.5083512999990489,12,policeman,22,17.946966099989368,male,74,0.6932241000031354,image_stim_n.png,11.086446899993462,42,faceWord_exp,0,2,1,18.129099500001757,32,0.6904847000114387
y,neu,Monday,22.829561199992895,21.82866629998898,27.504681799997343,23,336,5.71,-0.31568469709749714,180,0.5913281999964966,13,tourist,22,28.09600999999384,male,74,0.6848162999958731,image_stim_n.png,21.143849999993108,42,faceWord_exp,1,3,1,28.193998699993244,42,0.6893168999959016
y,neg,Monday,32.89422869999544,31.893523699996877,34.947950299989316,23,180,3.63,3.6605330306018913,336,0.48059450001164805,12,tornado,22,35.428544800000964,male,74,0.6982244999962859,image_stim_n.png,31.19529920000059,42,faceWord_exp,1,4,1,35.62655749999976,32,0.6786072000104468
y,neu,Monday,42.92697909999697,41.92578959999082,47.584047899988946,23,336,5.42,-0.7213913907893977,180,0.575901200005319,13,treaty,22,48.159949099994265,male,74,0.6875315999932354,image_stim_n.png,41.238257999997586,42,faceWord_exp,1,5,1,48.27478049999627,42,0.6907326000073226
b,pos,Monday,52.97510979999788,51.97449769999366,55.03093480000098,23,180,7.09,-1.7483058493195842,336,0.6786908999929437,11,woman,21,55.70962569999392,male,74,0.6862303999951109,image_stim_p.png,51.28826729999855,42,faceWord_exp,1,6,1,55.72476050000114,31,0.6938257000001613
y,neu,Monday,63.02436339999258,62.02324109998881,65.079444899995,23,180,5.05,-1.0601571884744718,336,0.42884930000582244,13,fiddle,22,65.50829420000082,male,74,0.6879199999966659,image_stim_n.png,61.33532109999214,42,faceWord_exp,1,7,1,65.77271209999162,42,0.693267199996626
y,neu,Monday,73.07390239999222,72.07217699999455,75.12749089999124,23,180,5.8,-0.17528733847197087,336,0.6284376000112388,13,rocket,22,75.75592850000248,male,74,0.6877285999944434,image_stim_n.png,71.38444840000011,42,faceWord_exp,1,8,1,75.80455669999355,42,0.6770658000023104
y,neg,Monday,83.10537379999005,82.10391449999588,85.14965409999422,23,180,4.5,1.3014161644429498,336,0.5867846000037389,12,gasp,22,85.73643869999796,male,74,0.6907459999929415,image_stim_n.png,81.41316850000294,42,faceWord_exp,1,9,1,85.83495229999244,32,0.6852981999982148
b,neu,Monday,93.13722769999004,92.13585340000282,95.19180020000204,23,180,5.26,-0.3369766028281135,336,0.5449444999976549,13,corkscrew,21,95.73674469999969,male,74,0.691456400003517,image_stim_p.png,91.4443969999993,42,faceWord_exp,1,10,1,95.86855059998925,41,0.6767503999872133
