word_score_warriner,img_trigger,rt,age,duration_measured_img,condition,duration_measured_word,response,onset_img,key_t,gender,duration_frames,img,session,word_label,word_trigger,pause_trigger_t,offset_img,word,ID,word_score_pc,no,delay_frames_after,correct_resp,onset_word,scan day,offset_word,delay_frames_before,pause_trigger
7.23,21,0.3160566949954955,25,0.6965604190045269,faceWord_exp,0.7021474159992067,b,7.482993603000068,7.799050297995564,female,42,image_stim_p.png,4,pos,11,2.7272010799933923,8.179554022004595,bay,77,-1.17416436554964,1,180,1,1.0239648110000417,Monday,1.7261122269992484,336,31
3.4,22,0.5348742259957362,25,0.6989728369953809,faceWord_exp,0.69270501799474,y,14.933929343998898,15.468803569994634,female,42,image_stim_n.png,4,neg,12,12.89854927099077,15.632902180994279,animosity,77,3.4698173961771306,2,336,1,11.188619016000303,Monday,11.881324033995043,180,32
3.78,22,0.5062532599986298,25,0.7040962309984025,faceWord_exp,0.7120408990012947,y,27.58462435999536,28.09087761999399,female,42,image_stim_n.png,4,neg,12,22.953228872996988,28.288720590993762,empty,77,2.8496222967354625,3,180,1,21.240142569993623,Monday,21.952183468994917,336,32
7.75,21,0.5053223599970806,25,0.7039050680032233,faceWord_exp,0.7061110899958294,b,37.640248144001816,38.1455705039989,female,42,image_stim_p.png,4,pos,11,33.0074037519953,38.34415321200504,peace,77,-3.0311112754680245,4,180,1,31.300601362003363,Monday,32.00671245199919,336,31
5.43,21,0.5596598300035112,25,0.7043769510055427,faceWord_exp,0.6943999009963591,b,45.074951531991246,45.63461136199476,female,42,image_stim_p.png,4,neu,13,43.0458575609955,45.77932848299679,theme,77,-0.7774272008663468,5,336,1,41.35045913400245,Monday,42.04485903499881,180,41
4.03,22,0.5585988480015658,25,0.7050770679925336,faceWord_exp,0.696356451997417,y,57.714485641001374,58.27308448900294,female,42,image_stim_n.png,4,neg,12,53.08423032700375,58.41956270899391,snake,77,1.95458394600482,6,180,1,51.38663825399999,Monday,52.08299470599741,336,32
2.55,22,0.3896009710006183,25,0.7028849280031864,faceWord_exp,0.696369693003362,y,65.15347046899842,65.54307143999904,female,42,image_stim_n.png,4,neg,12,63.12180362000072,65.85635539700161,accident,77,3.9974740190684885,7,336,1,61.42447730599088,Monday,62.12084699899424,180,32
4.75,22,0.554897820999031,25,0.7014343769988045,faceWord_exp,0.6937180020031519,y,75.19279507899773,75.74769289999676,female,42,image_stim_n.png,4,neg,12,73.16002628600108,75.89422945599654,zone,77,0.42679466080263373,8,336,1,71.46516556599818,Monday,72.15888356800133,180,32
5.67,22,0.42043119700974785,25,0.7007297550007934,faceWord_exp,0.696294132998446,y,85.23226283799158,85.65269403500133,female,42,image_stim_n.png,4,neu,13,83.19732984999428,85.93299259299238,red,77,0.4395766978022416,9,336,1,81.50095395599783,Monday,82.19724808899628,180,42
4.83,22,0.5275918160041329,25,0.6912892819964327,faceWord_exp,0.69378647999838,y,95.26325503599946,95.7908468520036,female,42,image_stim_n.png,4,neg,12,93.23569993200363,95.9545443179959,pig,77,0.060511318752979076,10,336,1,91.5409579709958,Monday,92.23474445099419,180,32
5.68,21,0.5231014620076166,25,0.7029393720004009,faceWord_exp,0.6948484379972797,b,105.28980194499309,105.8129034070007,female,42,image_stim_p.png,4,neu,13,103.25838398300402,105.99274131699349,chestnut,77,-0.4880378396985329,11,336,1,101.56256709499576,Monday,102.25741553299304,180,41
3.57,22,0.5589738610142376,25,0.6914097160042729,faceWord_exp,0.6974558579968289,y,115.32280362799065,115.88177748900489,female,42,image_stim_n.png,4,neg,12,113.29667894200247,116.01421334399492,denial,77,2.8314410724962364,12,336,1,111.59822491899831,Monday,112.29568077699514,180,32
