correct_resp,session,response,delay_frames_before,condition,duration_frames,duration_measured_word,scan day,word_score_pc,duration_measured_img,word_label,age,onset_img,offset_word,ID,key_t,delay_frames_after,pause_trigger_t,img,offset_img,onset_word,gender,no,word_score_warriner,word,word_trigger,rt,img_trigger,pause_trigger
1,6,b,336,faceWord_exp,42,0.7131313610007055,Monday,-1.283661754694624,0.7358267670060741,pos,25,7.650669091992313,1.7321524650033098,77,8.190506767990883,180,2.7661422079982003,image_stim_p.png,8.386495858998387,1.0190211040026043,female,1,6.21,handshake,11,0.5398376759985695,21,31
1,6,b,336,faceWord_exp,42,0.6936703329993179,Monday,-1.8284590275958619,0.7361989859928144,pos,25,17.936672568001086,12.15431323699886,77,18.477686176993302,180,13.171431466995273,image_stim_p.png,18.6728715539939,11.460642903999542,female,2,6.72,river,11,0.5410136089922162,21,31
1,6,y,180,faceWord_exp,42,0.6948912600055337,Monday,-0.9476055713690849,0.69679385299969,neu,25,25.463910491991555,22.42576123699837,77,25.99922746999073,336,23.42656784999417,image_stim_n.png,26.160704344991245,21.730869976992835,female,3,5.81,satire,13,0.5353169779991731,22,42
1,6,b,336,faceWord_exp,42,0.6929810919973534,Monday,-1.313583728320736,0.7008558599918615,pos,25,38.2161169280007,32.51284898999438,77,38.70334133099823,180,33.547898573000566,image_stim_p.png,38.91697278799256,31.819867897997028,female,4,7.15,girl,11,0.48722440299752634,21,31
1,6,y,336,faceWord_exp,42,0.6938344939990202,Monday,-0.6912617476649511,0.7328971170063596,neu,25,48.45546577399364,42.6520865749917,77,49.05617861400242,180,43.703150041998015,image_stim_n.png,49.188362891,41.95825208099268,female,5,5.84,soccer,13,0.6007128400087822,22,42
1,6,y,180,faceWord_exp,42,0.6923582200106466,Monday,4.673386290788297,0.7055272129946388,neg,25,55.986508835994755,52.956580083002336,77,56.412888862992986,336,53.957567234989256,image_stim_n.png,56.692036048989394,52.26422186299169,female,6,3.38,woe,12,0.4263800269982312,22,32
1,6,b,180,faceWord_exp,42,0.6953261330054374,Monday,-2.2232275900644445,0.7020981520036003,pos,25,66.11115177899774,62.99483063600201,77,66.51815829500265,336,63.99585965998995,image_stim_p.png,66.81324993100134,62.29950450299657,female,7,7.48,home,11,0.40700651600491256,21,31
1,6,b,180,faceWord_exp,42,0.6938019000081113,Monday,0.4070035035588155,0.7190309780125972,neu,25,76.31575627299026,73.19935944100143,77,76.88802312000189,336,74.25065929199627,image_stim_p.png,77.03478725100285,72.50555754099332,female,8,5.21,church,13,0.5722668470116332,21,41
1,6,b,336,faceWord_exp,42,0.6963887080055429,Monday,-1.0219663684796234,0.732895181994536,pos,25,89.24124126399693,83.45478347099561,77,89.7793859319936,180,84.60671093399287,image_stim_p.png,89.97413644599146,82.75839476299006,female,9,6.61,camera,11,0.5381446679966757,21,31
1,6,y,336,faceWord_exp,42,0.7337646579981083,Monday,-0.1293625696653618,0.7166578110045521,neu,25,99.51207962399349,93.77675297899987,77,100.03253449899785,180,94.81206317000033,image_stim_n.png,100.22873743499804,93.04298832100176,female,10,5.95,escalator,13,0.5204548750043614,22,42
