word_score_warriner,delay_frames_after,duration_frames,img,response,age,pause_trigger,duration_measured_img,word_score_pc,offset_word,key_t,word_trigger,session,ID,pause_trigger_t,onset_word,rt,offset_img,correct_resp,word_label,onset_img,img_trigger,no,duration_measured_word,scan day,condition,gender,word,delay_frames_before
5.44,180,42,image_stim_p.png,b,23,41,0.7125395979965106,0.1935892361901769,1.7564145369979087,8.24181497299287,13,1,K,2.756951654999284,1.0207133139920188,0.7813196469942341,8.173034923995147,1,neu,7.460495325998636,21,1,0.7357012230058899,Monday,faceWord_exp,female,bridge,336
5.05,180,42,image_stim_p.png,b,23,41,0.7064212600089377,-1.0601571884744718,11.872957284998847,18.06329041600111,13,1,K,12.873393326997757,11.178088293003384,0.5635267150064465,18.2061849610036,1,neu,17.499763700994663,21,2,0.6948689919954631,Monday,faceWord_exp,female,fiddle,336
3.05,180,42,image_stim_n.png,y,23,32,0.7042764179932419,3.3697994362845387,21.90616177600168,28.058247802997357,12,1,K,22.906574684995576,21.212379799995688,0.5230955890001496,28.23942863199045,1,neg,27.535152213997208,22,3,0.6937819760059938,Monday,faceWord_exp,female,envy,336
4.55,180,42,image_stim_n.png,y,23,32,0.6910162459971616,0.7573178762670367,31.93934318399988,38.15761264899629,12,1,K,32.93983159700292,31.245108150993474,0.5926725210010773,38.255956373992376,1,neg,37.564940127995214,22,4,0.6942350330064073,Monday,faceWord_exp,female,meeting,336
2.05,180,42,image_stim_n.png,y,23,32,0.7060075089975726,3.457530661450998,41.95586345499032,47.84125464998942,12,1,K,42.956342709003366,41.26240680400224,0.2581199489941355,48.28914220999286,1,neg,47.58313470099529,22,5,0.6934566509880824,Monday,faceWord_exp,female,victim,336
8.37,336,42,image_stim_p.png,b,23,31,0.6912831719964743,-3.2613064969771037,51.98905523799476,55.24126676499145,11,1,K,52.989527029989404,51.29387015099928,0.22686025299481116,55.705689683993114,1,pos,55.01440651199664,21,6,0.6951850869954797,Monday,faceWord_exp,female,fun,180
5.42,180,42,image_stim_p.png,b,23,41,0.6914271860005101,-0.277657621999038,62.00562333899143,68.1077111959894,13,1,K,63.006080655992264,61.31040272899554,0.47693845399771817,68.32219992799219,1,neu,67.63077274199168,21,7,0.6952206099958858,Monday,faceWord_exp,female,man,336
5.26,336,42,image_stim_p.png,y,23,41,0.691170815989608,-0.3369766028281135,72.02216243099247,75.39095235799323,13,1,K,73.02255639799114,71.32874427699426,0.3433709779928904,75.73875219598995,0,neu,75.04758138000034,21,8,0.6934181539982092,Monday,faceWord_exp,female,corkscrew,180
6.85,180,42,image_stim_p.png,b,23,31,0.6912453880067915,-1.1443669013398097,82.05532951599162,88.09076884199749,11,1,K,83.05577953500324,81.35983144798956,0.41007263300707564,88.3719415969972,1,pos,87.68069620899041,21,9,0.6954980680020526,Monday,faceWord_exp,female,moral,336
5.41,336,42,image_stim_n.png,y,23,42,0.691343421000056,0.26215401176465297,92.071852544992,95.64062395399378,13,1,K,93.0723848399939,91.37685112499457,0.5434672359988326,95.788500138995,1,neu,95.09715671799495,22,10,0.6950014199974248,Monday,faceWord_exp,female,school,180
5.8,180,42,image_stim_n.png,y,23,42,0.7057819339970592,-1.3575770021145472,102.08836439999868,108.35727927499101,13,1,K,103.08885011299571,101.39459286099009,0.6414058099908289,108.42165539899725,1,neu,107.71587346500019,22,11,0.6937715390085941,Monday,faceWord_exp,female,tomato,336
7.25,180,42,image_stim_p.png,b,23,31,0.6912781680002809,-2.3673221107876317,112.20497875199362,118.67373624099127,11,1,K,113.20538709399989,111.50928715900227,0.8434670610004105,118.52154734799115,1,pos,117.83026917999086,21,12,0.6956915929913521,Monday,faceWord_exp,female,garden,336
7.78,180,42,image_stim_p.png,b,23,31,0.6913229170022532,-2.8785481086132907,122.22143434399914,128.45691202799208,11,1,K,123.22192297498987,121.52543578000041,0.610195121000288,128.53803982399404,1,pos,127.84671690699179,21,13,0.6959985639987281,Monday,faceWord_exp,female,kiss,336
6.45,336,42,image_stim_p.png,b,23,31,0.6910139289975632,-2.2727319315779937,132.23798726400128,135.79009058899828,11,1,K,133.23847411099996,131.54261942399899,0.526456045001396,135.95464847299445,1,pos,135.2636345439969,21,14,0.6953678400022909,Monday,faceWord_exp,female,pie,180
6.37,336,42,image_stim_p.png,b,23,31,0.6912461289903149,-1.8465637543339983,142.25453990099777,145.8064439229929,11,1,K,143.25501968299795,141.55900711400318,0.526552957991953,145.97113709399127,1,pos,145.27989096500096,21,15,0.6955327869945904,Monday,faceWord_exp,female,wealthy,180
6.9,336,42,image_stim_p.png,b,23,31,0.690933967998717,-1.6708771386143015,152.27107940499263,155.80652598899906,11,1,K,153.27150330299628,151.5758244509925,0.5097690120019251,155.98769094499585,1,pos,155.29675697699713,21,16,0.69525495400012,Monday,faceWord_exp,female,pineapple,180
5.05,180,42,image_stim_n.png,y,23,42,0.7056985340022948,0.3759356543037889,162.2874746699963,168.38971368999046,13,1,K,163.28805102899787,161.59371693999856,0.4745796839997638,168.620832539993,1,neu,167.9151340059907,22,17,0.693757729997742,Monday,faceWord_exp,female,fence,336
7.05,180,42,image_stim_p.png,b,23,31,0.6911617049918277,-2.146343780688921,172.3207701240026,178.33928340899,11,1,K,173.32128452000325,171.6253954499989,0.39305020098981913,178.63739491299202,1,pos,177.9462332080002,21,18,0.6953746740036877,Monday,faceWord_exp,female,lemonade,336
6.36,180,42,image_stim_p.png,b,23,31,0.690831836007419,-1.0613549170130714,182.33736495800258,188.50616496299335,11,1,K,183.33776538199163,181.6412769610033,0.5430217969988007,188.65397500200197,1,pos,187.96314316599455,21,19,0.6960879969992675,Monday,faceWord_exp,female,boat,336
6.47,336,42,image_stim_p.png,b,23,31,0.6907972440094454,-1.0543324261381863,192.35369606399036,195.83925516199088,11,1,K,193.3543288439978,191.65755581799021,0.459738079996896,196.07031432600343,1,pos,195.37951708199398,21,20,0.6961402460001409,Monday,faceWord_exp,female,oak,180
8.47,180,42,image_stim_p.png,b,23,31,0.6910903579992009,-3.1501939707833047,202.62037244599196,208.52233894799429,11,1,K,203.62085933999333,201.90794937599276,0.2764440390019445,208.93698526699154,1,pos,208.24589490899234,21,21,0.712423069999204,Monday,faceWord_exp,female,happy,336
5.14,336,42,image_stim_p.png,b,23,41,0.6909834219986806,-0.18281188470513854,212.63691955000104,216.0888411539927,13,1,K,213.6374194079981,211.94161819899455,0.426336739998078,216.3534878359933,1,neu,215.6625044139946,21,22,0.695301351006492,Monday,faceWord_exp,female,spatula,180
3.63,180,42,image_stim_n.png,y,23,32,0.6904521609976655,3.6605330306018913,222.65340952300176,228.5887468199944,12,1,K,223.65373243700014,221.95824266599084,0.3094329699961236,228.96976601099595,1,neg,228.2793138499983,22,23,0.6951668570109177,Monday,faceWord_exp,female,tornado,336
5.81,336,42,image_stim_p.png,b,23,41,0.6887922280002385,-0.8455595735963974,232.66998587599664,236.1218763700017,13,1,K,233.67046649300028,231.976137190999,0.42407033500785474,236.38659826299408,1,neu,235.69780603499385,21,24,0.6938486849976471,Monday,faceWord_exp,female,whale,180
4.21,336,42,image_stim_n.png,b,23,32,0.6910830259876093,0.397042668763988,242.68637034099083,246.05544192399248,12,1,K,243.6868286139943,241.9914997320011,0.34355244498874526,246.40297250499134,0,neg,245.71188947900373,22,25,0.6948706089897314,Monday,faceWord_exp,female,policeman,180
3.16,336,42,image_stim_n.png,b,23,32,0.6907400320051238,3.648586845460279,252.7030596889963,256.18858563200047,12,1,K,253.7035064380034,252.0076914359961,0.45966247700562235,256.41966318699997,0,neg,255.72892315499485,22,26,0.695368253000197,Monday,faceWord_exp,female,hurricane,180
5.73,336,42,image_stim_n.png,y,23,42,0.6913843399961479,-0.9990759838186469,262.719553693998,266.2716800469934,13,1,K,263.7200650390005,262.02374907200283,0.5268615709937876,266.4362028159958,1,neu,265.74481847599964,22,27,0.6958046219951939,Monday,faceWord_exp,female,field,180
5.16,336,42,image_stim_n.png,y,23,42,0.6914723800000502,-0.5907285556577869,272.73606955699506,276.27194486299413,13,1,K,273.73654319299385,272.0403516929946,0.5106547719915397,276.45276247100264,1,neu,275.7612900910026,22,28,0.6957178640004713,Monday,faceWord_exp,female,truck,180
4.23,180,42,image_stim_n.png,y,23,32,0.690825555997435,1.9014187675556817,282.752627793001,288.65470146998996,12,1,K,283.7530815259961,282.0574688719935,0.27635021098831203,289.0691768149991,1,neg,288.37835125900165,22,29,0.6951589210075326,Monday,faceWord_exp,female,alligator,336
5.67,336,42,image_stim_n.png,b,23,42,0.6911340180085972,-0.9222259722889368,292.7691404090001,296.53767006099224,13,1,K,293.7697708589985,292.07314682500146,0.7430434900015825,296.48576058899926,0,neu,295.79462657099066,22,30,0.6959935839986429,Monday,faceWord_exp,female,beer,180
3.32,336,42,image_stim_n.png,y,23,32,0.6887727760040434,2.3815246085651838,302.7855099599983,306.25411846999486,12,1,K,303.78593921299034,302.092167513998,0.4408192980044987,306.5020719479944,1,neg,305.81329917199037,22,31,0.6933424460003152,Monday,faceWord_exp,female,bribe,180
6.15,180,42,image_stim_p.png,y,23,31,0.6909712769993348,-1.1648995537800455,312.80202052000095,318.98769905899826,11,1,K,313.80268641599105,312.10626168499584,0.5598431889957283,319.11882714700187,0,pos,318.42785587000253,21,32,0.6957588350051083,Monday,faceWord_exp,female,plum,336
5.3,180,42,image_stim_p.png,b,23,41,0.6906648700096412,-0.05916451699915906,322.81875835299434,329.05404992400145,13,1,K,323.81925176799996,322.1234408849996,0.60950223900727,329.1352125550038,1,neu,328.4445476849942,21,33,0.6953174679947551,Monday,faceWord_exp,female,embassy,336
3.52,180,42,image_stim_n.png,y,23,32,0.6910187970061088,2.561630339716405,332.8349244419951,339.0707361629902,12,1,K,333.8357310010033,332.1398631109914,0.6098816279991297,339.1518733319972,1,neg,338.4608545349911,22,34,0.6950613310036715,Monday,faceWord_exp,female,hospital,336
4.8,336,42,image_stim_n.png,y,23,32,0.6910602120042313,1.5906822936049958,342.85167127099703,347.0539941719908,12,1,K,343.85214659500343,342.15611270599766,1.176781508998829,346.5682728749962,1,neg,345.87721266299195,22,35,0.6955585649993736,Monday,faceWord_exp,female,mouse,180
8.0,180,42,image_stim_p.png,b,23,31,0.6914376359927701,-2.40140153221556,352.86835033599345,358.8034752669919,11,1,K,353.86880089499755,352.17238267700304,0.30998089899367187,359.184932003991,1,pos,358.4934943679982,21,36,0.695967658990412,Monday,faceWord_exp,female,love,336
7.09,180,42,image_stim_p.png,b,23,31,0.6904920630040579,-1.7483058493195842,362.8849531379965,368.83711259999836,11,1,K,363.8853441319952,362.18910045899975,0.3262227530067321,369.2013819099957,1,pos,368.51088984699163,21,37,0.6958526789967436,Monday,faceWord_exp,female,woman,336
4.0,336,42,image_stim_n.png,y,23,32,0.6889830769941909,3.2148840110758776,372.90131999299047,376.45338242599973,12,1,K,373.9017888679955,372.2083263719978,0.5244632910034852,376.61790221199044,1,neg,375.92891913499625,22,38,0.6929936209926382,Monday,faceWord_exp,female,avalanche,180
4.5,336,42,image_stim_n.png,y,23,32,0.6911538029962685,1.3014161644429498,382.9177631079947,386.35348787099065,12,1,K,383.918407131001,382.22192529599124,0.41021733499655966,386.63442433899036,1,neg,385.9432705359941,22,39,0.6958378120034467,Monday,faceWord_exp,female,gasp,180
