img_trigger,offset_word,pause_trigger_t,rt,word_score_warriner,key_t,session,onset_word,response,duration_measured_word,gender,duration_frames,delay_frames_after,word,onset_img,delay_frames_before,word_score_pc,word_label,scan day,pause_trigger,condition,age,no,img,offset_img,duration_measured_img,ID,correct_resp,word_trigger
22,1.7223215500125661,2.722771269007353,0.3678559529944323,2.79,7.757759909000015,6,1.0211012570071034,y,0.7012202930054627,female,42,180,gunshot,7.389903956005583,336,3.2726955917764444,neg,Monday,32,faceWord_exp,23,1,image_stim_n.png,8.105337383007281,0.7154334270016989,K,1,12
21,11.80554617800226,12.806004186000791,0.6916599389951443,6.38,18.12434065200796,6,11.111931860010372,b,0.6936143179918872,female,42,180,hygiene,17.432680713012815,336,-1.613773182399739,pos,Monday,31,faceWord_exp,23,2,image_stim_p.png,18.13868577001267,0.7060050569998566,K,1,11
22,21.83880911101005,22.839244040005724,0.6088122070068493,2.29,25.474035304010613,6,21.142969051012187,y,0.6958400599978631,female,42,336,guilt,24.865223097003764,180,4.2219398121868315,neg,Monday,32,faceWord_exp,23,3,image_stim_n.png,25.555383894999977,0.6901607979962137,K,1,12
21,31.85529211901303,32.85581575000833,0.6089659669960383,6.61,38.090127281000605,6,31.16197010000178,b,0.6933220190112479,female,42,180,camera,37.48116131400457,336,-1.0219663684796234,pos,Monday,31,faceWord_exp,23,4,image_stim_p.png,38.172072036002646,0.6909107219980797,K,1,11
21,41.871376928000245,42.872276864000014,0.6195998879993567,6.21,48.11879825100186,6,41.17931034701178,b,0.6920665809884667,female,42,180,handshake,47.499198363002506,336,-1.283661754694624,pos,Monday,31,faceWord_exp,23,5,image_stim_p.png,48.22180070600007,0.7226023429975612,K,1,11
21,51.92169913800899,52.92214679400786,0.49267593800323084,5.24,55.440407108006184,6,51.2262433040014,b,0.6954558340075891,female,42,336,analogy,54.94773117000295,180,0.06851316647377265,neu,Monday,41,faceWord_exp,23,6,image_stim_p.png,55.63830878400768,0.6905776140047237,K,1,13
22,61.93819228300708,62.93869432801148,0.42665677500190213,4.75,67.99039833201095,6,61.24232759101142,b,0.6958646919956664,female,42,180,rake,67.56374155700905,336,0.5993691927879942,neg,Monday,32,faceWord_exp,23,7,image_stim_n.png,68.25481482200848,0.6910732649994316,K,0,12
22,71.95472399500431,72.95524547999958,0.8932560620014556,2.86,75.87364855200576,6,71.2600533549994,y,0.6946706400049152,female,42,336,fee,74.9803924900043,180,2.6698720582687456,neg,Monday,32,faceWord_exp,23,8,image_stim_n.png,75.67140158600523,0.6910090960009256,K,1,12
22,81.97126494500844,82.9717208660004,0.5434647040092386,4.59,85.54067018101341,6,81.27548073801154,y,0.6957842069969047,female,42,336,mayor,84.99720547700417,180,0.3271241198863318,neg,Monday,32,faceWord_exp,23,9,image_stim_n.png,85.68790898700536,0.6907035100011854,K,1,12
22,91.98778962201322,92.98832828100421,0.42657229099131655,5.21,95.44014734899974,6,91.29213538600015,b,0.6956542360130697,female,42,336,church,95.01357505800843,180,0.4070035035588155,neu,Monday,42,faceWord_exp,23,10,image_stim_n.png,95.70440724100627,0.6908321829978377,K,0,13
