word_label,rt,word_score_pc,condition,onset_word,word_trigger,onset_img,gender,correct_resp,response,offset_word,key_t,duration_measured_img,pause_trigger,pause_trigger_t,offset_img,duration_frames,delay_frames_after,ID,session,word_score_warriner,age,img_trigger,img,delay_frames_before,scan day,no,duration_measured_word,word
neu,-4.071867199999929,0.1935892361901769,faceWord_exp,1.0297648000000663,13,7.410851399999956,female,0,b,1.7219528000000537,3.338984200000027,0.6894615000001068,42,2.722350200000051,8.100312900000063,42,180,gr1nr1,1,5.44,24,22,image_stim_n.png,336,Monday,1,0.6921879999999874,bridge
neg,-1.4584485000000313,3.6605330306018913,faceWord_exp,11.104621199999997,12,14.855184300000019,female,1,y,11.796616800000038,13.396735799999988,0.6892599999999902,32,12.796827399999984,15.54444430000001,42,336,gr1nr1,1,3.63,24,22,image_stim_n.png,180,Monday,2,0.6919956000000411,tornado
neg,0.29045589999998356,1.5906822936049958,faceWord_exp,21.158751199999983,12,24.94678090000002,female,1,y,21.83835220000003,25.237236800000005,0.6883692999999766,32,22.839566600000012,25.635150199999998,42,336,gr1nr1,1,4.8,24,22,image_stim_n.png,180,Monday,3,0.6796010000000479,mouse
pos,-1.281726699999922,-1.2313279950095668,faceWord_exp,31.241361100000063,11,34.960790299999985,female,1,b,31.930703900000026,33.67906360000006,0.6834707000000435,31,32.9293983,35.64426100000003,42,336,gr1nr1,1,7.68,24,21,image_stim_p.png,180,Monday,4,0.6893427999999631,new
pos,0.28860470000006444,-2.1296901000704778,faceWord_exp,41.24913470000001,11,47.57893709999996,female,1,b,41.938763900000026,47.867541800000026,0.68775990000006,31,42.93867260000002,48.26669700000002,42,180,gr1nr1,1,7.0,24,21,image_stim_p.png,336,Monday,5,0.689629200000013,zoo
neg,0.2953985999999986,4.010420717126172,faceWord_exp,51.274406699999986,12,57.59883679999996,female,1,y,51.963454100000035,57.89423539999996,0.6772785000000567,32,52.96326050000005,58.276115300000015,42,180,gr1nr1,1,2.67,24,22,image_stim_n.png,336,Monday,6,0.6890474000000495,lonely
pos,0.31529790000001867,-1.9273821271493088,faceWord_exp,61.28215160000002,11,67.58531800000003,female,1,b,61.97236440000006,67.90061590000005,0.6810710999999401,31,62.972353800000064,68.26638909999997,42,180,gr1nr1,1,6.35,24,21,image_stim_p.png,336,Monday,7,0.6902128000000403,sled
neu,-1.53437550000001,-0.17528733847197087,faceWord_exp,71.2728674,13,74.9805513,female,1,b,71.96374779999996,73.44617579999999,0.6796811000000389,41,72.96280479999996,75.66023240000004,42,336,gr1nr1,1,5.8,24,21,image_stim_p.png,180,Monday,8,0.6908803999999691,rocket
neu,0.644596100000058,-0.05916451699915906,faceWord_exp,81.26341809999997,13,84.99292700000001,female,1,y,81.95600109999998,85.63752310000007,0.6767622999999503,42,82.95579380000004,85.66968929999996,42,336,gr1nr1,1,5.3,24,22,image_stim_n.png,180,Monday,9,0.6925830000000133,embassy
neu,0.313655600000061,0.3759356543037889,faceWord_exp,91.27225390000001,13,97.6123632,female,0,y,91.96418089999997,97.92601880000007,0.6795739000000367,41,92.9630962,98.29193710000004,42,180,gr1nr1,1,5.05,24,21,image_stim_p.png,336,Monday,10,0.6919269999999642,fence
