word_label,duration_measured_word,img,condition,pause_trigger,session,response,onset_word,word,correct_resp,word_score_pc,onset_img,pause_trigger_t,key_t,delay_frames_after,word_score_warriner,no,duration_measured_img,delay_frames_before,img_trigger,offset_img,word_trigger,ID,offset_word,age,gender,scan day,duration_frames,rt
neu,0.6825456999999915,image_stim_p.png,faceWord_exp,41,5,b,1.0164311999997153,ticket,1,-0.7502239645266248,7.344619299999977,2.6978151999996953,7.911699799999951,180,5.28,1,0.6825715999998465,336,21,8.027190899999823,13,gr1nr1,1.6989768999997068,24,female,Monday,42,0.5670804999999746
neu,0.6936472000002141,image_stim_p.png,faceWord_exp,41,5,b,11.02956899999981,editor,1,0.14106522732466809,17.36639100000002,12.724445800000012,17.98666719999983,180,5.43,2,0.685485399999834,336,21,18.051876399999855,13,gr1nr1,11.723216200000024,24,female,Monday,42,0.6202761999998074
neg,0.6928577000003315,image_stim_n.png,faceWord_exp,32,5,y,21.055636899999627,cab,1,0.1828236131989572,27.384610599999633,22.748218299999735,28.027928999999858,180,4.81,3,0.6757723000000624,336,22,28.060382899999695,12,gr1nr1,21.748494599999958,24,female,Monday,42,0.6433184000002257
neg,0.6831237000001238,image_stim_n.png,faceWord_exp,32,5,y,31.07386329999963,mosquito,1,2.9843905620469613,37.39706269999988,32.75934189999998,37.970598699999755,180,3.12,4,0.688782700000047,336,22,38.085845399999926,12,gr1nr1,31.756986999999754,24,female,Monday,42,0.5735359999998764
neu,0.6932374999996682,image_stim_p.png,faceWord_exp,41,5,b,41.08868819999998,desk,1,0.16108323717668446,47.3981147999998,42.78153999999995,47.877392099999724,180,5.56,5,0.6784757000000354,336,21,48.07659049999984,13,gr1nr1,41.78192569999965,24,female,Monday,42,0.4792772999999215
neu,0.6909090000003744,image_stim_n.png,faceWord_exp,42,5,y,51.082794499999636,carrot,1,-0.32385553549685003,57.38863009999977,52.77318359999981,57.95383939999965,180,5.79,6,0.6812153999999282,336,22,58.0698454999997,13,gr1nr1,51.77370350000001,24,female,Monday,42,0.5652092999998786
neg,0.6807240000002821,image_stim_n.png,faceWord_exp,32,5,y,61.08469829999967,jealousy,1,3.693241029119933,64.79102329999978,62.766475499999615,65.51498109999966,336,2.58,7,0.6888277000002745,180,22,65.47985100000005,12,gr1nr1,61.765422299999955,24,female,Monday,42,0.7239577999998801
neg,0.6938528999999107,image_stim_n.png,faceWord_exp,32,5,y,71.0804162999998,riot,1,3.227422121163128,74.8064787999997,72.77350200000001,75.27159189999975,336,3.15,8,0.6809754000000794,180,22,75.48745419999977,12,gr1nr1,71.77426919999971,24,female,Monday,42,0.46511310000005324
neu,0.6915540999998484,image_stim_n.png,faceWord_exp,42,5,y,81.10778789999995,newspaper,1,0.3309936143559913,87.41541649999999,82.7993492999999,88.03065169999991,180,5.11,9,0.6797673999999461,336,22,88.09518389999994,13,gr1nr1,81.7993419999998,24,female,Monday,42,0.6152351999999155
neg,0.6881499000000986,image_stim_n.png,faceWord_exp,32,5,y,91.10267909999993,hierarchy,1,1.0236166268558873,94.83524929999976,92.79195189999973,95.38939259999961,336,4.95,10,0.6860572999999022,180,22,95.52130659999966,12,gr1nr1,91.79082900000003,24,female,Monday,42,0.5541432999998506
neg,0.6886999999996988,image_stim_n.png,faceWord_exp,32,5,y,101.12756059999992,ambulance,1,2.2468136409924253,104.89172289999988,102.81628469999987,105.21353229999977,336,3.71,11,0.6884535999997752,180,22,105.58017649999965,12,gr1nr1,101.81626059999962,24,female,Monday,42,0.3218093999998928
pos,0.6806572999998934,image_stim_p.png,faceWord_exp,31,5,b,111.19363320000002,friendly,1,-2.9544920916265727,114.9162669999996,112.87475079999967,115.17335379999986,336,7.84,12,0.6890157000002546,180,21,115.60528269999986,11,gr1nr1,111.87429049999992,24,female,Monday,42,0.25708680000025197
neu,0.6920841999999539,image_stim_n.png,faceWord_exp,42,5,b,121.20803639999986,hairbrush,0,-0.4963231956276321,127.53767079999989,122.9003115999999,127.9631016999997,180,5.95,13,0.6903756000001522,336,22,128.22804640000004,13,gr1nr1,121.90012059999981,24,female,Monday,42,0.4254308999998102
neu,0.6916726999997991,image_stim_p.png,faceWord_exp,41,5,y,131.23347539999986,bus,0,0.5156614996478043,137.58629619999965,132.9259565999996,138.0046170999999,180,5.12,14,0.6841425000002346,336,21,138.2704386999999,13,gr1nr1,131.92514809999966,24,female,Monday,42,0.41832090000025346
pos,0.6928705000000264,image_stim_p.png,faceWord_exp,31,5,b,141.27309309999964,cherry,1,-1.7441234463665167,145.00088849999975,142.96681089999993,145.61379050000005,336,7.05,15,0.6788099000000329,180,21,145.67969839999978,11,gr1nr1,141.96596359999967,24,female,Monday,42,0.6129020000003038
neg,0.6771819999999025,image_stim_n.png,faceWord_exp,32,5,y,151.29763449999973,curse,1,3.659937177091274,154.9990760999999,152.9745144999997,155.63943569999992,336,2.9,16,0.6910813999998027,180,22,155.6901574999997,12,gr1nr1,151.97481649999963,24,female,Monday,42,0.6403596000000107
neu,0.6925098000001526,image_stim_n.png,faceWord_exp,42,5,y,161.29126019999967,corn,1,-1.235914274808286,165.01851159999978,162.9837994999998,165.83058429999983,336,5.95,17,0.678019100000256,180,22,165.69653070000004,13,gr1nr1,161.98376999999982,24,female,Monday,42,0.8120727000000443
pos,0.6945247999997264,image_stim_p.png,faceWord_exp,31,5,b,171.2970989999999,bed,1,-1.962809513975644,177.63021639999988,172.99085289999994,177.95514669999966,180,7.16,18,0.689875199999733,336,21,178.3200915999996,11,gr1nr1,171.99162379999962,24,female,Monday,42,0.32493029999977807
neg,0.6952055000001565,image_stim_n.png,faceWord_exp,32,5,y,181.32119759999978,banker,1,0.8708146708303101,187.63481139999976,183.01788399999987,188.24517319999995,180,4.89,19,0.6772215999999389,336,22,188.3120329999997,12,gr1nr1,182.01640309999993,24,female,Monday,42,0.6103618000001916
neu,0.6829338999996253,image_stim_n.png,faceWord_exp,42,5,y,191.32528739999998,number,1,0.2374341841762725,195.04733399999986,193.00895889999993,195.63933150000003,336,5.59,20,0.6745832000001428,180,22,195.7219172,13,gr1nr1,192.0082212999996,24,female,Monday,42,0.5919975000001614
neu,0.6912523999999394,image_stim_n.png,faceWord_exp,42,5,y,201.32534450000003,company,1,0.4587040848007746,207.63281159999997,203.01734629999964,208.21266669999977,180,5.64,21,0.6788392999997086,336,22,208.31165089999968,13,gr1nr1,202.01659689999997,24,female,Monday,42,0.5798550999998042
neg,0.6935863000003337,image_stim_n.png,faceWord_exp,32,5,y,211.3150625999997,dread,1,4.006417686109669,215.04503169999998,213.00868519999995,215.35748539999986,336,3.0,22,0.6774734000000535,180,22,215.72250510000003,12,gr1nr1,212.00864890000003,24,female,Monday,42,0.31245369999987815
neg,0.6933933000000252,image_stim_n.png,faceWord_exp,32,5,y,221.3237065999997,election,1,0.5712560851538326,225.0445179999997,223.01708099999996,225.58095649999996,336,4.5,23,0.6867624000001342,180,22,225.73128039999983,12,gr1nr1,222.01709989999972,24,female,Monday,42,0.5364385000002585
neg,0.6815188000000489,image_stim_n.png,faceWord_exp,32,5,,231.34377959999983,dangerous,,3.17672342877373,237.6448888,233.02578969999968,,180,2.33,24,0.6750419999998485,336,22,238.31993079999984,12,gr1nr1,232.02529839999988,24,female,Monday,42,
pos,0.7045380999998088,image_stim_p.png,faceWord_exp,31,5,b,241.3296734999999,penguin,1,-1.2194148821621404,247.64900369999987,243.03428379999968,248.3473466999999,180,6.65,25,0.6802400000001398,336,21,248.3292437,11,gr1nr1,242.0342115999997,24,female,Monday,42,0.6983430000000226
neu,0.6910726000000977,image_stim_n.png,faceWord_exp,42,5,,251.33468139999968,engineer,,-0.41434578466507305,255.05995110000003,253.02635079999982,,336,5.79,26,0.6797173999998449,180,22,255.73966849999988,13,gr1nr1,252.02575399999978,24,female,Monday,42,
pos,0.6802627999995821,image_stim_p.png,faceWord_exp,31,5,b,261.35403640000004,cash,1,-1.6872526925643307,265.0648649,263.03431120000005,265.66588189999993,336,7.51,27,0.6832218999998076,180,21,265.7480867999998,11,gr1nr1,262.0342991999996,24,female,Monday,42,0.6010169999999562
neu,0.6909583000001476,image_stim_n.png,faceWord_exp,42,5,y,271.35141729999987,mushroom,1,0.08756588783899029,275.07804239999996,273.0420024,275.6412739999996,336,5.61,28,0.6784373999998934,180,22,275.75647979999985,13,gr1nr1,272.0423756,24,female,Monday,42,0.5632315999996536
pos,0.6928064999997332,image_stim_p.png,faceWord_exp,31,5,b,281.3579992,morning,1,-1.211925852261804,285.12389689999964,283.0509428999999,285.53279599999996,336,6.41,29,0.674196800000118,180,21,285.79809369999975,11,gr1nr1,282.0508056999997,24,female,Monday,42,0.40889910000032614
pos,0.6908210000001418,image_stim_p.png,faceWord_exp,31,5,b,291.4014468999999,tangerine,1,-1.178487968131687,295.1133525,293.09352839999974,295.45677399999977,336,6.81,30,0.6756550000000061,180,21,295.7890075,11,gr1nr1,292.0922679,24,female,Monday,42,0.34342149999974936
neg,0.6806503000002522,image_stim_n.png,faceWord_exp,32,5,y,301.40515389999973,vice,1,2.1399531488678094,305.1163333999998,303.0854683999996,305.7173270999997,336,3.81,31,0.6825896999998804,180,22,305.7989230999997,12,gr1nr1,302.0858042,24,female,Monday,42,0.6009936999998899
pos,0.6920406000003823,image_stim_p.png,faceWord_exp,31,5,b,311.40110119999963,spring,1,-2.625984580876632,315.13782649999985,313.0923383999998,315.54017209999984,336,7.64,32,0.6847880999998779,180,21,315.8226145999997,11,gr1nr1,312.0931418,24,female,Monday,42,0.40234559999998964
pos,0.6921729000000596,image_stim_p.png,faceWord_exp,31,5,b,321.4265289,water,1,-1.2320142343270626,327.7479156999998,323.1177481,328.2135024999998,180,7.0,33,0.68207510000002,336,21,328.4299907999998,11,gr1nr1,322.11870180000005,24,female,Monday,42,0.46558679999998276
pos,0.676466999999775,image_stim_p.png,faceWord_exp,31,5,b,331.4511244999999,applause,1,-2.3591802685249372,335.1516819999997,333.12731319999966,335.6093901999998,336,7.12,34,0.689294300000256,180,21,335.84097629999997,11,gr1nr1,332.12759149999965,24,female,Monday,42,0.45770820000007006
pos,0.694557100000111,image_stim_p.png,faceWord_exp,31,5,b,341.4401058999997,awe,1,-2.1428059827362134,347.7671842999998,343.13396349999994,348.11343880000004,180,6.85,35,0.6789982999998756,336,21,348.4461825999997,11,gr1nr1,342.1346629999998,24,female,Monday,42,0.34625450000021374
pos,0.6922024999998939,image_stim_p.png,faceWord_exp,31,5,b,351.45155350000005,tulip,1,-2.547338598571031,357.7732979999996,353.14261639999995,358.3230819999999,180,7.25,36,0.6818195000000742,336,21,358.4551174999997,11,gr1nr1,352.14375599999994,24,female,Monday,42,0.5497840000002725
neg,0.6913170000002538,image_stim_n.png,faceWord_exp,32,5,b,361.46082929999966,screech,0,2.424733943851676,367.78994409999996,363.1516044,368.36460880000004,180,3.5,37,0.6901832999997168,336,22,368.4801273999997,12,gr1nr1,362.1521462999999,24,female,Monday,42,0.5746647000000848
neu,0.6914431999998669,image_stim_p.png,faceWord_exp,41,5,b,371.4850167999998,mandolin,1,-1.4097678477610591,377.81321739999976,373.1766924999997,378.30514019999964,180,5.7,38,0.6756418999998459,336,21,378.4888592999996,13,gr1nr1,372.1764599999997,24,female,Monday,42,0.49192279999988386
neg,0.694696400000339,image_stim_n.png,faceWord_exp,32,5,y,381.4900021999997,ant,1,1.5300907112092572,387.80065579999973,383.1842007,388.34693709999965,180,3.9,39,0.6788065000000643,336,22,388.4794622999998,12,gr1nr1,382.18469860000005,24,female,Monday,42,0.5462812999999187
neg,0.6919458000002123,image_stim_n.png,faceWord_exp,32,5,y,391.4855785999998,army,1,1.399169263323496,397.8164488999996,393.1775708,398.1734495999999,180,4.65,40,0.6882003000000623,336,22,398.5046491999997,12,gr1nr1,392.17752440000004,24,female,Monday,42,0.3570007000002988
pos,0.6975474000000759,image_stim_p.png,faceWord_exp,31,5,b,401.5046379999999,book,1,-1.1429809241505904,405.22957859999997,403.20249909999984,405.7502258999998,336,7.05,41,0.6860619999997652,180,21,405.91564059999973,11,gr1nr1,402.20218539999996,24,female,Monday,42,0.5206472999998368
neu,0.6878460999996605,image_stim_p.png,faceWord_exp,41,5,b,411.5221649,clue,1,0.07992973296861662,417.83693379999977,413.21079599999985,418.4059637999994,180,5.38,42,0.6845596000002843,336,21,418.52149340000005,13,gr1nr1,412.21001099999967,24,female,Monday,42,0.5690299999996569
