word_score_warriner,delay_frames_before,img_trigger,delay_frames_after,word_score_pc,duration_measured_img,word_label,word,scan day,duration_frames,correct_resp,key_t,no,pause_trigger,rt,condition,duration_measured_word,onset_word,ID,offset_word,gender,pause_trigger_t,session,age,onset_img,word_trigger,response,img,offset_img
3.52,336,22,180,2.0765857872261098,0.680662000002485,neg,court,Monday,42,1,7.819625199997972,1,32,0.3340886000005412,faceWord_exp,0.694977300001483,1.0424581999977818,gr1nr2,1.7374354999992647,female,2.7385410999995656,4,25,7.485536599997431,12,y,image_stim_n.png,8.166198599999916
3.02,180,22,336,2.6978270877422883,0.6919609000033233,neg,scream,Monday,42,1,15.36238599999706,2,32,0.3279158000004827,faceWord_exp,0.6839002999986405,11.195661499998096,gr1nr2,11.879561799996736,female,12.881598399999348,4,25,15.034470199996576,12,y,image_stim_n.png,15.7264310999999
6.84,336,21,180,-2.93465986085152,0.6787514999996347,pos,festival,Monday,42,1,28.030235399997764,3,31,0.30997849999766913,faceWord_exp,0.6957165999992867,21.359225199998036,gr1nr2,22.054941799997323,female,23.05100279999897,4,25,27.720256900000095,11,b,image_stim_p.png,28.39900839999973
2.55,180,22,336,3.9974740190684885,0.6822295000019949,neg,accident,Monday,42,1,35.4407672999987,4,32,0.3160998000021209,faceWord_exp,0.6858990000000631,31.42495009999766,gr1nr2,32.11084909999772,female,33.10965450000003,4,25,35.124667499996576,12,y,image_stim_n.png,35.80689699999857
7.3,336,21,180,-2.411716547027706,0.6895564999977069,pos,flower,Monday,42,1,48.21684659999664,5,31,0.421334199996636,faceWord_exp,0.6896653000003425,41.41367249999894,gr1nr2,42.10333779999928,female,43.101799899999605,4,25,47.79551240000001,11,b,image_stim_p.png,48.485068899997714
7.75,336,21,180,-3.0311112754680245,0.6834323999974004,pos,peace,Monday,42,1,58.27750549999837,6,31,0.3695728999991843,faceWord_exp,0.693922600003134,51.51898949999668,gr1nr2,52.21291209999981,female,53.21392659999765,4,25,57.907932599999185,11,b,image_stim_p.png,58.591364999996586
5.9,180,22,336,-0.29144085929118746,0.6910538999982236,neu,hand,Monday,42,1,66.18854829999691,7,42,0.8114609999975073,faceWord_exp,0.684593699999823,61.61999879999712,gr1nr2,62.30459249999694,female,63.30620529999942,4,25,65.3770872999994,13,y,image_stim_n.png,66.06814119999763
5.67,180,22,336,-0.6996261236875504,0.6862196000001859,neu,bell,Monday,42,1,76.14578619999884,8,42,0.7047954000008758,faceWord_exp,0.6960077000003366,71.68450779999694,gr1nr2,72.38051549999727,female,73.38040219999675,4,25,75.44099079999796,13,y,image_stim_n.png,76.12721039999815
5.91,180,21,336,-0.9453395472380092,0.6768166000001656,neu,team,Monday,42,1,85.80446929999744,9,41,0.3295801999993273,faceWord_exp,0.680960599998798,81.74051709999912,gr1nr2,82.42147769999792,female,83.42376389999845,4,25,85.47488909999811,13,b,image_stim_p.png,86.15170569999827
7.0,180,21,336,-1.7294291477603156,0.6825981000001775,pos,dog,Monday,42,1,95.92954409999948,10,31,0.33525960000042687,faceWord_exp,0.6921297000008053,91.77093259999674,gr1nr2,92.46306229999755,female,93.46478609999758,4,25,95.59428449999905,11,b,image_stim_p.png,96.27688259999923
5.09,336,21,180,0.3545861367636661,0.6807719999997062,neu,put,Monday,42,1,109.20269740000003,11,41,0.9524740000015299,faceWord_exp,0.680435900001612,101.8908801999969,gr1nr2,102.57131609999851,female,103.57025539999813,4,25,108.2502233999985,13,b,image_stim_p.png,108.93099539999821
