delay_frames_before,ID,duration_measured_word,duration_measured_img,offset_img,word_score_warriner,word_trigger,rt,key_t,scan day,word_label,gender,word_score_pc,onset_word,delay_frames_after,response,offset_word,onset_img,duration_frames,condition,word,correct_resp,pause_trigger_t,img,age,session,pause_trigger,img_trigger,no
180,mikkel,0.7051972090000014,0.7084796339999997,5.457793715000001,5.5,13,0.4956446200000002,5.244958701000002,Monday,neu,male,0.3495373155897487,1.0036807460000006,336,y,1.708877955000002,4.749314081000001,42,faceWord_exp,winter,1,2.7103221459999993,image_stim_n.png,46,2,42,22,1
336,mikkel,0.6959417660000042,0.7017109840000018,18.074444025,5.07,13,0.5544584499999985,17.927191490999995,Monday,neu,male,0.3228926581020319,11.062502982999995,180,y,11.758444748999999,17.372733040999996,42,faceWord_exp,street,1,12.758971245999994,image_stim_n.png,46,2,42,22,2
336,mikkel,0.6957086600000011,0.7030659389999983,28.092113401999995,2.29,12,0.325105139999998,27.714152602999995,Monday,neg,male,3.4738609063027237,21.078580668999997,180,y,21.774289329,27.389047462999997,42,faceWord_exp,sick,1,22.77491954,image_stim_n.png,46,2,32,22,3
180,mikkel,1.362861658,0.7009992629999999,36.324003555999994,7.59,11,0.5226307100000014,36.145635002999995,Monday,pos,male,-1.3695211950901562,31.095435736,336,b,32.458297394,35.623004292999994,42,faceWord_exp,tree,1,33.609012819,image_stim_p.png,46,2,31,21,4
336,mikkel,0.6960812199999964,0.702212958000004,48.940272838999995,6.91,11,0.45532050300001004,48.693380384,Monday,pos,male,-1.7539828459428422,41.928074605,180,b,42.624155824999995,48.23805988099999,42,faceWord_exp,spaghetti,1,43.624792119,image_stim_p.png,46,2,31,21,5
336,mikkel,0.6964753949999931,0.7193564640000005,58.97501760699999,5.65,13,0.5387689520000123,58.794430095,Monday,neu,male,0.1106807997481866,51.94510612,180,y,52.64158151499999,58.25566114299999,42,faceWord_exp,theory,1,53.641414308,image_stim_n.png,46,2,42,22,6
180,mikkel,0.6959264309999895,0.7047501539999956,66.390053015,5.29,13,0.5595012619999977,66.244804123,Monday,neu,male,0.0657349158769076,61.978610916,336,y,62.67453734699999,65.685302861,42,faceWord_exp,camel,1,63.67566813199999,image_stim_n.png,46,2,42,22,7
180,mikkel,0.6943734560000081,0.7049819930000041,76.41010956,4.41,12,0.555311630999995,76.260439198,Monday,neg,male,0.16339675594021513,71.996903715,336,y,72.691277171,75.705127567,42,faceWord_exp,jaw,1,73.691312022,image_stim_n.png,46,2,32,22,8
336,mikkel,0.6951029979999959,0.7014118490000101,89.02402390200001,4.78,12,0.5553983060000007,88.878010359,Monday,neg,male,1.3393636650983416,82.01381395499999,180,y,82.708916953,88.322612053,42,faceWord_exp,heavy,1,83.710193449,image_stim_n.png,46,2,32,22,9
180,mikkel,0.6956241159999905,0.703976296999997,96.440718411,6.17,11,0.5760307420000004,96.31277285600001,Monday,pos,male,-1.3205598447631597,92.02877613300001,336,b,92.72440024899998,95.73674211400001,42,faceWord_exp,chicken,1,93.72346656100001,image_stim_p.png,46,2,31,21,10
336,mikkel,0.6947969090000186,0.7025093849999848,109.056795137,7.5,11,0.6390823289999901,108.993368081,Monday,pos,male,-1.7608811602119443,102.04508772,180,b,102.73988462900002,108.35428575200001,42,faceWord_exp,summer,1,103.74133772100001,image_stim_p.png,46,2,31,21,11
180,mikkel,0.6962470100000075,0.7026068079999845,116.474067991,7.88,11,0.4888036659999955,116.26026484900001,Monday,pos,male,-1.8879163634684628,112.061239666,336,b,112.75748667600001,115.77146118300001,42,faceWord_exp,joke,1,113.75668349700001,image_stim_p.png,46,2,31,21,12
336,mikkel,0.6950144770000009,0.7027771829999949,129.089569842,4.54,12,0.5229917240000077,128.90978438300002,Monday,neg,male,0.6502198887451732,122.078347807,180,y,122.773362284,128.386792659,42,faceWord_exp,office,1,123.774445663,image_stim_n.png,46,2,32,22,13
180,mikkel,0.6956738739999935,0.7055409080000175,136.51028882900002,5.5,13,0.48915575500001296,136.293903676,Monday,neu,male,-0.049892793833906636,132.094038431,336,y,132.789712305,135.804747921,42,faceWord_exp,nose,1,133.791226309,image_stim_n.png,46,2,42,22,14
180,mikkel,0.6958516990000021,0.7005635579999989,146.52402439,6.76,11,0.40266155700001605,146.226122389,Monday,pos,male,-1.2978987804410356,142.113619441,336,b,142.80947114,145.823460832,42,faceWord_exp,artist,1,143.809625823,image_stim_p.png,46,2,31,21,15
336,mikkel,0.6967546510000204,0.7028265749999889,159.140130352,5.15,13,0.4232937849999985,158.860597562,Monday,neu,male,0.3296196251321362,152.126727279,180,b,152.82348193,158.437303777,42,faceWord_exp,pan,1,153.82301543900002,image_stim_p.png,46,2,41,21,16
180,mikkel,0.6955818479999891,0.701695811999997,166.555919299,6.4,11,0.5392361729999777,166.39345966,Monday,pos,male,-1.0752281295040744,162.143876841,336,b,162.839458689,165.854223487,42,faceWord_exp,mercy,1,163.840960537,image_stim_p.png,46,2,31,21,17
180,mikkel,0.6950405610000132,0.6903357840000126,176.556939306,7.1,11,0.6468743640000127,176.513477886,Monday,pos,male,-2.5746228757417584,172.160908332,336,b,172.855948893,175.866603522,42,faceWord_exp,barbecue,1,173.856068633,image_stim_p.png,46,2,31,21,18
180,mikkel,0.6969965540000089,0.7023673939999924,186.589665209,4.57,12,0.45499718599998573,186.342295001,Monday,neg,male,0.2032181950076048,182.176597767,336,b,182.873594321,185.887297815,42,faceWord_exp,lab,0,183.874154895,image_stim_n.png,46,2,32,22,19
180,mikkel,0.7168923199999995,0.6999887249999972,196.622976062,5.27,13,0.5703187000000014,196.493306037,Monday,neu,male,0.17918122123944408,192.19317049400001,336,b,192.910062814,195.922987337,42,faceWord_exp,verb,1,193.910235108,image_stim_p.png,46,2,41,21,20
180,mikkel,0.6957396319999987,0.9385042609999914,207.572343539,5.72,13,0.5779616789999977,207.211800957,Monday,neu,male,-0.5485436049411244,202.227638049,336,y,202.923377681,206.633839278,42,faceWord_exp,apartment,1,203.923951924,image_stim_n.png,46,2,42,22,21
336,mikkel,0.6955332649999946,0.6853229200000044,221.455500419,2.35,12,0.48943874200000437,221.259616241,Monday,neg,male,4.537930167489568,214.46084905200001,180,y,215.156382317,220.770177499,42,faceWord_exp,terrorist,1,216.156102801,image_stim_n.png,46,2,32,22,22
180,mikkel,0.6952084920000061,0.7032201739999948,228.873310027,3.48,12,0.48875241199999664,228.658842265,Monday,neg,male,0.7321109855355353,224.461197113,336,y,225.156405605,228.170089853,42,faceWord_exp,axe,1,226.156708616,image_stim_n.png,46,2,32,22,23
336,mikkel,0.696506366000051,0.6883317609999722,241.47305808699997,6.48,11,0.426706562999982,241.21143288899998,Monday,pos,male,-2.4114282062334524,234.47618386399995,180,b,235.17269023,240.784726326,42,faceWord_exp,carnival,1,236.17335083499995,image_stim_p.png,46,2,31,21,24
336,mikkel,0.6968124119999857,0.701429931000007,251.48931495899996,5.03,13,0.553578329000004,251.34146335699995,Monday,neu,male,0.4272037094573085,244.47571215799996,180,y,245.17252456999995,250.78788502799995,42,faceWord_exp,scissors,1,246.17321327399998,image_stim_n.png,46,2,42,22,25
336,mikkel,0.6958164750000151,0.7051433199999906,261.508061737,5.94,13,0.43891645599995854,261.24183487299996,Monday,neu,male,-0.8400509032218062,254.49222405199998,180,b,255.188040527,260.802918417,42,faceWord_exp,store,1,256.18926188499995,image_stim_p.png,46,2,41,21,26
180,mikkel,0.6950829560000216,0.6999967579999975,268.92236224799996,2.53,12,0.38968188400002646,268.612047374,Monday,neg,male,3.4296451702105397,264.512833137,336,y,265.207916093,268.22236548999996,42,faceWord_exp,angry,1,266.20954339599996,image_stim_n.png,46,2,32,22,27
180,mikkel,0.695437754000011,0.6856981249999876,278.92185772199997,6.36,11,0.5229950830000121,278.75915468,Monday,pos,male,-1.2502658664257256,274.52579732099997,336,b,275.221235075,278.236159597,42,faceWord_exp,day,1,276.22265668299997,image_stim_p.png,46,2,31,21,28
336,mikkel,0.6962317329999905,0.6867523199999823,291.52188400899996,4.1,12,0.506990922,291.342122611,Monday,neg,male,1.472290472628449,284.52593054299996,180,y,285.22216227599995,290.835131689,42,faceWord_exp,clang,1,286.222497343,image_stim_n.png,46,2,32,22,29
180,mikkel,0.6964116209999816,0.6866829379999899,298.921536668,4.52,12,0.5406677949999903,298.775521525,Monday,neg,male,2.373388118792564,294.525750449,336,y,295.22216206999997,298.23485373,42,faceWord_exp,excuse,1,296.222113907,image_stim_n.png,46,2,32,22,30
336,mikkel,0.694594459999962,0.6875775819999603,311.53871489299996,5.43,13,0.49110405199996876,311.34224136299997,Monday,neu,male,-0.34443889393116306,304.543645508,180,b,305.23823996799996,310.851137311,42,faceWord_exp,asparagus,1,306.23885494999996,image_stim_p.png,46,2,41,21,31
336,mikkel,0.6959729800000218,0.6860239320000119,321.53767211999997,4.8,12,0.44082704900000635,321.29247523699996,Monday,neg,male,0.2623575316864496,314.54162109099997,180,y,315.237594071,320.85164818799996,42,faceWord_exp,hoe,1,316.23913775,image_stim_n.png,46,2,32,22,32
180,mikkel,0.6958599710000044,0.6877521320000142,328.938390127,5.48,13,0.42317842500000324,328.67381642,Monday,neu,male,-0.06058349899147484,324.54254582199997,336,b,325.23840579299997,328.250637995,42,faceWord_exp,business,0,326.23850283499996,image_stim_n.png,46,2,42,22,33
180,mikkel,0.6960514660000285,0.6875370930000031,338.938662878,5.62,13,0.60620443199997,338.85733021699997,Monday,neu,male,-0.18776275500974607,334.54199113199996,336,b,335.238042598,338.251125785,42,faceWord_exp,speech,1,336.23871982699995,image_stim_p.png,46,2,41,21,34
336,mikkel,0.6966506989999743,0.6871903039999552,351.53808738199996,7.28,11,0.5404044509999721,351.391301529,Monday,pos,male,-1.6425048482978826,344.541643461,180,b,345.23829415999995,350.850897078,42,faceWord_exp,knowledge,1,346.238800556,image_stim_p.png,46,2,31,21,35
180,mikkel,0.6956557469999893,0.685742676000018,358.93773606499997,5.19,13,0.5584286530000213,358.81042204199997,Monday,neu,male,0.650019808676411,354.54209362,336,y,355.237749367,358.25199338899995,42,faceWord_exp,highway,1,356.23870763699995,image_stim_n.png,46,2,42,22,36
336,mikkel,0.6970742870000208,0.6858957270000019,371.537709288,4.43,12,0.5578152460000183,371.409628807,Monday,neg,male,-0.14866519221167074,364.54132724199997,180,y,365.238401529,370.851813561,42,faceWord_exp,van,1,366.23906367899997,image_stim_n.png,46,2,32,22,37
180,mikkel,0.6952805880000028,0.6882940149999968,378.93783225,6.81,11,0.491382509999994,378.740920745,Monday,pos,male,-1.5621536719325724,374.54233672299995,336,b,375.23761731099995,378.249538235,42,faceWord_exp,sailboat,1,376.23840146799995,image_stim_p.png,46,2,31,21,38
180,mikkel,0.6961701980000043,0.6866120980000119,388.937646169,6.8,11,0.5903410359999839,388.841375107,Monday,pos,male,-1.926056195769395,384.54206130299997,336,b,385.238231501,388.251034071,42,faceWord_exp,fireworks,1,386.23850158899995,image_stim_p.png,46,2,31,21,39
180,mikkel,0.6951242840000305,0.6857282059999648,398.93645358099997,4.81,12,0.6728263759999891,398.923551751,Monday,neg,male,0.5494484707734639,394.54187061799996,336,y,395.236994902,398.250725375,42,faceWord_exp,stone,1,396.238348687,image_stim_n.png,46,2,32,22,40
336,mikkel,0.6947729579999873,0.6860675090000541,411.537229002,4.76,12,0.4390611840000247,411.290222677,Monday,neg,male,3.561717315569441,404.542341391,180,y,405.23711434899997,410.85116149299995,42,faceWord_exp,landslide,1,406.237338163,image_stim_n.png,46,2,32,22,41
180,mikkel,0.6948647940000114,0.6861297899999954,418.93735128599997,5.55,13,0.4596911280000313,418.710912624,Monday,neu,male,-0.09980687036967174,414.541800347,336,b,415.236665141,418.25122149599997,42,faceWord_exp,eggplant,1,416.238691255,image_stim_p.png,46,2,41,21,42
180,mikkel,0.6957421380000142,0.6859865549999995,428.95442097399996,7.0,11,0.45828343700003416,428.726717856,Monday,pos,male,-2.461915733068042,424.558380298,336,b,425.254122436,428.26843441899996,42,faceWord_exp,embrace,1,426.254709689,image_stim_p.png,46,2,31,21,43
336,mikkel,0.6968874350000078,0.685592191000012,441.553681904,3.57,12,0.4210946720000379,441.289184385,Monday,neg,male,2.483224745184551,434.55737800199995,180,y,435.25426543699996,440.86808971299996,42,faceWord_exp,cough,1,436.25462419599995,image_stim_n.png,46,2,32,22,44
180,mikkel,0.6951389870000071,0.6849604340000042,448.95320942399997,5.67,13,0.5409410230000162,448.809190013,Monday,neu,male,-0.32263149533554664,444.55809556199995,336,y,445.25323454899996,448.26824898999996,42,faceWord_exp,attribute,1,446.254606697,image_stim_n.png,46,2,42,22,45
180,mikkel,0.6957886359999748,0.6858448319999866,458.953191551,3.52,12,0.5424837509999634,458.80983046999995,Monday,neg,male,4.02985566434138,454.558055653,336,y,455.25384428899997,458.267346719,42,faceWord_exp,problem,1,456.253944726,image_stim_n.png,46,2,32,22,46
336,mikkel,0.6954132779999895,0.6854679589999932,471.552925546,4.29,12,0.37124404399997957,471.23870163099997,Monday,neg,male,2.351878020671037,464.55777517999996,180,y,465.25318845799995,470.867457587,42,faceWord_exp,tired,1,466.253943398,image_stim_n.png,46,2,32,22,47
180,mikkel,0.695756766000045,0.6856797789999973,478.952981923,5.8,13,0.4732198080000103,478.740521952,Monday,neu,male,-0.5451009915059291,474.55719351299996,336,b,475.252950279,478.267302144,42,faceWord_exp,toaster,1,476.254335714,image_stim_p.png,46,2,41,21,48
180,mikkel,0.6962805279999884,0.6879464579999421,488.98733148799994,6.73,11,0.4734721930000205,488.772857223,Monday,pos,male,-2.2291915044129413,484.557231217,336,b,485.25351174499997,488.29938503,42,faceWord_exp,luck,1,486.25365467899996,image_stim_p.png,46,2,31,21,49
180,mikkel,0.6982856399999946,0.6861684379999815,499.00625846199995,6.4,11,0.5368719580000061,498.856961982,Monday,pos,male,-1.7947555393350414,494.588644007,336,b,495.286929647,498.32009002399997,42,faceWord_exp,piano,1,496.3070027769999,image_stim_p.png,46,2,31,21,50
180,mikkel,0.6964998939999987,0.684879154999976,509.00573873799993,4.35,12,0.3190500279999924,508.63990961099995,Monday,neg,male,2.166481281776448,504.60980723999995,336,y,505.30630713399995,508.32085958299996,42,faceWord_exp,plea,1,506.30620727499996,image_stim_n.png,46,2,32,22,51
336,mikkel,0.696886217000042,0.6860222440000143,521.606312097,7.21,11,0.5885686880000094,521.508858541,Monday,pos,male,-2.7563434535584275,514.608612296,180,b,515.3054985130001,520.920289853,42,faceWord_exp,optimism,1,516.306619427,image_stim_p.png,46,2,31,21,52
336,mikkel,0.696039896000002,0.6872499899999411,531.606109348,5.86,13,0.4904891909999378,531.409348549,Monday,neu,male,0.10630403813009667,524.610264229,180,b,525.306304125,530.9188593580001,42,faceWord_exp,whole,1,526.3070290300001,image_stim_p.png,46,2,41,21,53
180,mikkel,0.6952820679999832,0.6858341859999655,539.005978054,8.53,11,0.4196428330000117,538.7397867010001,Monday,pos,male,-3.1565376907491283,534.610298754,336,b,535.305580822,538.3201438680001,42,faceWord_exp,vacation,1,536.30657724,image_stim_p.png,46,2,31,21,54
336,mikkel,0.6951678650000304,0.6864030829999592,551.619384288,4.75,12,0.5232129089999944,551.456194114,Monday,neg,male,1.0482300490198866,544.623570339,180,y,545.318738204,550.932981205,42,faceWord_exp,ricochet,1,546.320159793,image_stim_n.png,46,2,32,22,55
336,mikkel,0.6962180929999704,0.6861743810000007,561.619672312,6.95,11,0.323023873000011,561.256521804,Monday,pos,male,-2.0702836690965865,554.623097065,180,b,555.319315158,560.933497931,42,faceWord_exp,restaurant,1,556.319820958,image_stim_p.png,46,2,31,21,56
180,mikkel,0.6946132929999749,0.6846378449999975,569.035718547,7.68,11,0.4037277050000512,568.754808407,Monday,pos,male,-1.3503642789447028,564.6240484250001,336,b,565.318661718,568.351080702,42,faceWord_exp,musical,1,566.3360107990001,image_stim_p.png,46,2,31,21,57
336,mikkel,0.6959300190000022,0.6874683789999381,581.634763947,5.97,13,0.5235784330000115,581.4708740010001,Monday,neu,male,-0.02119054453060663,574.639680406,180,y,575.335610425,580.9472955680001,42,faceWord_exp,power,1,576.336061288,image_stim_n.png,46,2,42,22,58
